rating_id,brief_id,model,language,output_path,overall,objects,spatial,colour,typography,compliance_score_configC,dag_likert_configC,disagreement,dag_compliant,human_compliant,node1_score_configC,node2_score_configC,node3_score_configC,node4_score_configC,suggested_primary_node,error_type,notes
R1-086,MB092,sd15,fr,data\generated_images\phase2b\sd15\fr\MB092_seed42.png,1,1,1,1,1,0.7604,4.0416,3.0416,TRUE,FALSE,1,1,1,0,typography,false_positive,
R1-107,MB022,sd15,es,data\generated_images\phase2b\sd15\es\MB022_seed42.png,1,1,1,1,1,0.7591,4.0364,3.0364,TRUE,FALSE,1,1,1,0,typography,false_positive,
R1-003,MB005,sd15,de,data\generated_images\phase2b\sd15\de\MB005_seed42.png,1,2,1,2,1,0.6604,3.6416,2.6416,TRUE,FALSE,1,1,0.5,0,typography,false_positive,
R1-047,MB066,sd15,de,data\generated_images\phase2b\sd15\de\MB066_seed42.png,1,1,1,1,1,0.6603,3.6412,2.6412,TRUE,FALSE,1,1,0.5,0,typography,false_positive,
R1-018,MB039,sd15,de,data\generated_images\phase2b\sd15\de\MB039_seed42.png,1,1,1,1,1,0.6601,3.6404,2.6404,TRUE,FALSE,1,1,0.5,0,typography,false_positive,
R1-080,MB079,sd15,fr,data\generated_images\phase2b\sd15\fr\MB079_seed42.png,1,1,1,1,1,0.6589,3.6356,2.6356,TRUE,FALSE,1,1,0.5,0,typography,false_positive,
R1-081,MB122,sd15,es,data\generated_images\phase2b\sd15\es\MB122_seed42.png,1,1,1,1,1,0.6587,3.6348,2.6348,TRUE,FALSE,1,1,0.5,0,typography,false_positive,
R1-057,MB082,sd15,de,data\generated_images\phase2b\sd15\de\MB082_seed42.png,1,1,1,1,1,0.6094,3.4376,2.4376,TRUE,FALSE,0.5,1,1,0,typography,false_positive,
R1-097,MB068,flux,de,data\generated_images\phase2b\flux\de\MB068_seed42.png,4,3,1,4,1,0.1604,1.6416,2.3584,FALSE,TRUE,0,0,0.5,0,objects,false_negative,
R1-073,MB079,sd15,de,data\generated_images\phase2b\sd15\de\MB079_seed42.png,1,1,1,1,1,0.5596,3.2384,2.2384,TRUE,FALSE,1,1,0,0,colour,false_positive,
R1-072,MB019,flux,es,data\generated_images\phase2b\flux\es\MB019_seed42.png,5,5,1,5,2,0.4612,2.8448,2.1552,FALSE,TRUE,1,0,0.5,0,spatial,false_negative,
R1-083,MB140,flux,es,data\generated_images\phase2b\flux\es\MB140_seed42.png,5,5,5,5,3,0.4704,2.8816,2.1184,FALSE,TRUE,0,1,0.5,0.5455,objects,false_negative,
R1-062,MB070,flux,de,data\generated_images\phase2b\flux\de\MB070_seed42.png,1,1,1,1,4,0.5108,3.0432,2.0432,TRUE,FALSE,0.5,0,0.5,1,spatial,false_positive,
R1-113,MB113,flux,de,data\generated_images\phase2b\flux\de\MB113_seed42.png,5,3,1,3,1,0.5109,3.0436,1.9564,TRUE,TRUE,0.5,0,1,0.5,spatial,human_overrated_overall,"Traffic light instead of a stop sign, bus and sign are backwards from the brief, and the text on the display reads ""ECALOL E"" not EAGLE. Sub-scores reflect this (objects 3, spatial 1, typography 1) but overall stayed at 5, out of step with its own sub-scores."
R1-098,MB075,flux,de,data\generated_images\phase2b\flux\de\MB075_seed42.png,3,3,1,3,3,0.9611,4.8444,1.8444,TRUE,TRUE,1,1,1,1,objects,dag_missed_spatial_reversal,"Swimsuit and bottle are literally reversed - bottle's on the left, swimsuit's on the right, opposite of the brief. DAG still gave spatial a perfect 1.0 which is just wrong, not a judgment call. Everything else (objects, colour, SILK text) looks reasonably fine which is probably why he didn't rate it a full 1 - more of a ""decent but not perfect"" case than a broken one."
R1-030,MB124,sd15,es,data\generated_images\phase2b\sd15\es\MB124_seed42.png,3,3,2,2,1,0.0587,1.2348,1.7652,FALSE,TRUE,0,0,0,0,objects,false_negative,
R1-041,MB045,flux,de,data\generated_images\phase2b\flux\de\MB045_seed42.png,3,3,1,3,3,0.0604,1.2416,1.7584,FALSE,TRUE,0,0,0,0,objects,false_negative,
R1-096,MB047,flux,es,data\generated_images\phase2b\flux\es\MB047_seed42.png,5,5,2,5,2,0.5612,3.2448,1.7552,TRUE,TRUE,1,0,1,0,spatial,human_overrated_overall,"Jar lid reads ""WAIM,"" not WARM - a legible misread, not a stylistic issue. Objects, colour, and honey jar/toast presentation are otherwise correct. Spatial and typography sub-scores already reflect real issues, but overall stayed high relative to those sub-scores."
R1-088,MB131,sd15,fr,data\generated_images\phase2b\sd15\fr\MB131_seed42.png,2,5,3,2,1,0.6601,3.6404,1.6404,TRUE,FALSE,1,1,0.5,0,typography,false_positive,
R1-024,MB088,flux,fr,data\generated_images\phase2b\flux\fr\MB088_seed42.png,1,1,1,1,1,0.4101,2.6404,1.6404,FALSE,FALSE,0.5,0,0,1,spatial,human_holistic_scoring,"No tie visible anywhere - just one shirt that's colour-blocked blue on one side, white on the other. FINN text is legible but it's on the shirt, not a tie, since there's no tie in the image at all. DAG's node scores (0.5 objects, 0 spatial, 0 colour, 1 typography) roughly track this correctly; human's flat 1/5 doesn't distinguish the one correct element from the rest."
R1-034,MB084,sd15,es,data\generated_images\phase2b\sd15\es\MB084_seed42.png,1,1,1,1,1,0.4098,2.6392,1.6392,FALSE,FALSE,0.5,0,1,0,spatial,dag_overcredited,"Wallet and ""coins"" aren't actually two separate things - it's one wallet with a silver medallion embossed straight into the leather, not coins placed above it. Surface is wood, not marble, and no BRIM text visible. DAG's spatial score of 0 makes sense since there's nothing to be ""below"" anything, but the 0.5 objects credit is generous given the two required objects were never really rendered as distinct items. Human's 1/5 is closer to the mark."
R1-050,MB044,flux,de,data\generated_images\phase2b\flux\de\MB044_seed42.png,4,4,5,4,1,0.3504,2.4016,1.5984,FALSE,TRUE,0.5,0,0.5,0.2,spatial,false_negative,
R1-032,MB101,flux,fr,data\generated_images\phase2b\flux\fr\MB101_seed42.png,4,5,4,4,2,0.3557,2.4228,1.5772,FALSE,TRUE,0.5,0,0.5,0.2222,spatial,false_negative,
R1-052,MB127,flux,de,data\generated_images\phase2b\flux\de\MB127_seed42.png,4,4,4,3,2,0.3566,2.4264,1.5736,FALSE,TRUE,0.5,0,0.5,0.2222,spatial,false_negative,
R1-054,MB039,flux,fr,data\generated_images\phase2b\flux\fr\MB039_seed42.png,5,5,1,5,5,0.6119,3.4476,1.5524,TRUE,TRUE,0.5,0,1,1,spatial,human_overrated_overall,"Strawberries and jar are reversed from the brief - strawberries on the left, jar on the right, opposite of what's specified. Spatial sub-score of 1 already reflects this correctly, but overall stayed at 5, out of step with its own sub-score."
R1-029,MB073,flux,fr,data\generated_images\phase2b\flux\fr\MB073_seed42.png,4,5,2,5,2,0.3917,2.5668,1.4332,FALSE,TRUE,0.5,0,0.5,0.4,spatial,false_negative,
R1-093,MB016,flux,es,data\generated_images\phase2b\flux\es\MB016_seed42.png,4,4,1,4,1,0.407,2.628,1.372,FALSE,TRUE,0,0,1,0.7273,objects,false_negative,
R1-089,MB001,flux,es,data\generated_images\phase2b\flux\es\MB001_seed42.png,5,5,1,3,5,0.662,3.648,1.352,TRUE,TRUE,1,0,0.5,1,spatial,human_overrated_overall,"ZYRA text is clearly legible and correct. Watch band and bezel are gold/tan rather than silver as specified, and the ""wireless charger"" isn't a separate object - it's a small black pedestal the watch sits on, not a distinct item placed beside it. Spatial and colour sub-scores already reflect some of this, but overall stayed at 5 regardless."
R1-059,MB043,flux,fr,data\generated_images\phase2b\flux\fr\MB043_seed42.png,4,4,4,4,1,0.431,2.724,1.276,FALSE,TRUE,0.5,0,0.5,0.6,spatial,false_negative,
R1-053,MB080,sd15,de,data\generated_images\phase2b\sd15\de\MB080_seed42.png,1,1,1,1,1,0.3105,2.242,1.242,FALSE,FALSE,0.5,0,0.5,0,spatial,dag_overcredited,"Just one garment hanging against a wood wall, no sneakers, no gym floor. Logo looks like ""TBAFA"" not XARA so typography's wrong too. DAG's partial objects/colour score (0.5) doesn't match what's actually there — human's 1/5 is closer to correct."
R1-038,MB094,sd15,fr,data\generated_images\phase2b\sd15\fr\MB094_seed42.png,1,1,1,1,1,0.3095,2.238,1.238,FALSE,FALSE,0.5,0,0.5,0,spatial,dag_overcredited,"Motorcycle's on the right not the left, and the ""helmet"" is actually some black-and-white grid panel, not a helmet at all. No HELIX text anywhere. DAG's giving 0.5 on objects and colour but there's really nothing to credit — human's 1/5 is right."
R1-061,MB012,sd15,es,data\generated_images\phase2b\sd15\es\MB012_seed42.png,2,2,1,2,1,0.5594,3.2376,1.2376,TRUE,FALSE,1,0,1,0,spatial,false_positive,
R1-070,MB126,sd15,de,data\generated_images\phase2b\sd15\de\MB126_seed42.png,1,1,1,1,1,0.309,2.236,1.236,FALSE,FALSE,0.5,0,0.5,0,spatial,dag_overcredited,"Cushion should be purple but what's in the image is orange/red woven fabric, and it's a wood-slat wall not a bamboo floor. No CALM text visible. DAG's 0.5 partial credit on objects and colour is too generous — neither required attribute is actually rendered."
R1-027,MB051,sd15,de,data\generated_images\phase2b\sd15\de\MB051_seed42.png,1,1,1,1,1,0.3087,2.2348,1.2348,FALSE,FALSE,0.5,0,0.5,0,spatial,dag_overcredited,"There's no pouch or straw at all in this image, just whole oranges and some kind of wooden cone shape on a grey stone surface. No AMBER text anywhere. DAG's 0.5 on objects and colour doesn't match what's actually there — human's 1/5 is accurate."
R1-090,MB149,sd15,fr,data\generated_images\phase2b\sd15\fr\MB149_seed42.png,1,1,1,1,1,0.3081,2.2324,1.2324,FALSE,FALSE,0.5,0,0.5,0,spatial,dag_overcredited,"There's no incense holder and no beads in this image at all, just wood planks and a little sign that says something like ""Seeeme,"" not SERENE. DAG's still giving 0.5 partial credit on objects and colour but neither required object is actually present — human's 1/5 matches reality here."
R1-049,MB135,flux,fr,data\generated_images\phase2b\flux\fr\MB135_seed42.png,5,5,5,5,5,0.7108,3.8432,1.1568,TRUE,TRUE,0.5,1,0.5,1,objects,human_overrated_per_node,"Spatial is actually fine - thermos on the left, bag on the right, matches the brief. But the VOXA branding is printed on the trail mix bag, not the thermos as required - the thermos itself just has an unrelated small logo. Bag colour also doesn't read as clearly brown. Human rated everything a flawless 5, missing all of this; DAG's partial objects/colour scores (0.5 each) at least hint something's off, though even DAG's typography score doesn't catch the branding being on the wrong object."
R1-056,MB035,flux,es,data\generated_images\phase2b\flux\es\MB035_seed42.png,4,5,5,5,1,0.4615,2.846,1.154,FALSE,TRUE,1,0,0.5,0,spatial,false_negative,
R1-006,MB089,flux,fr,data\generated_images\phase2b\flux\fr\MB089_seed42.png,3,5,2,4,3,0.7623,4.0492,1.0492,TRUE,TRUE,1,0,1,1,spatial,ambiguous_input,"Leggings and shoes are reversed from the brief (leggings left, shoes right), which the spatial score of 2 already reflects reasonably. Objects, colour, and the GILD text are all genuinely present and correct. Minor scoring gradation, not a clear error on either side."
R1-100,MB070,sd15,de,data\generated_images\phase2b\sd15\de\MB070_seed42.png,2,2,1,2,1,0.5115,3.046,1.046,TRUE,FALSE,0.5,1,0.5,0,typography,false_positive,
R1-046,MB029,sd15,es,data\generated_images\phase2b\sd15\es\MB029_seed42.png,3,3,1,4,1,0.7609,4.0436,1.0436,TRUE,TRUE,1,1,1,0,typography,human_underrated_spatial,"The yellow ethernet cable is positioned below the white router as required, so DAG's spatial score of 1.0 is accurate. Human's spatial rating of 1 doesn't match what's actually in the image. Colour and typography ratings correctly reflect the mixed cable colours and illegible FUSE branding; spatial is the one dimension that still looks off relative to the image."
