prompt_id,category,image_id,caption_en,caption_translated,back_translated,cc_score,status,language,cometkiwi_score
P001,people,235836,A boy playing baseball about to hit a ball.,Ein Junge spielt Baseball und will einen Ball schlagen.,A boy is playing baseball and wants to hit a ball.,0.9484,PASS,de,0.7803217172622681
P002,people,186449,An elderly woman sits on a bench with a crowd behind her.,Eine ältere Frau sitzt auf einer Bank mit einer Menschenmenge hinter ihr.,An elderly woman sits on a bench with a crowd of people behind her.,0.9967,PASS,de,0.861226499080658
P003,people,17436,A man sitting on a bench with a tall building behind him.,"Ein Mann sitzt auf einer Bank, hinter ihm ein hohes Gebäude.",A man is sitting on a bench with a tall building behind him.,0.9961,PASS,de,0.849081814289093
P004,people,161781,A woman in gear skiing down a snowy slope,Eine Frau in Ausrüstung fährt einen verschneiten Hang hinunter,A woman in gear rides down a snowy slope,0.9438,PASS,de,0.725511908531189
P005,people,2473,A man flying through the air while riding skis.,"Ein Mann, der beim Skifahren durch die Luft fliegt.",A man flying through the air while skiing.,0.9939,PASS,de,0.843077540397644
P006,people,438907,A man is doing a trick on a skateboard.,Ein Mann macht einen Trick auf einem Skateboard.,A man does a trick on a skateboard.,0.9951,PASS,de,0.8549021482467651
P007,people,476415,A man wearing a white shirt and tie standing in  a room.,Ein Mann mit weißem Hemd und Krawatte steht in einem Raum.,A man in a white shirt and tie is standing in a room.,0.984,PASS,de,0.8515201807022095
P008,people,572462,A group of people standing inside of a moving tram.,"Eine Gruppe von Menschen, die in einer fahrenden Straßenbahn stehen.",A group of people standing in a moving tram.,0.9878,PASS,de,0.8468018770217896
P009,people,259690,A handicapped man in a wheelchair is being helped to hold the bat by another man on a tee ball,Ein behinderter Mann im Rollstuhl wird von einem anderen Mann beim Halten des Schlägers auf einem Teeball unterstützt,A disabled man in a wheelchair is helped by another man to hold the bat on a tee ball,0.9894,PASS,de,0.6847454905509949
P010,people,447187,A man is swinging a bat a ball being pitched at him.,"Ein Mann schwingt einen Schläger, während ihm ein Ball zugeworfen wird.",A man swings a bat while a ball is thrown to him.,0.9842,PASS,de,0.7485820055007935
P011,people,308394,An older woman riding a train while sitting under it's window.,Eine ältere Frau fährt in einem Zug und sitzt unter dem Fenster.,An elderly woman is travelling on a train and sits under the window.,0.9748,PASS,de,0.8192511200904846
P012,people,240250,A woman sitting down at a table with pizza.,"Eine Frau, die sich mit einer Pizza an einen Tisch setzt.",A woman sitting down at a table with a pizza.,0.9989,PASS,de,0.8324044942855835
P013,people,554156,A man holding a tennis racket in the air,Ein Mann hält einen Tennisschläger in die Luft,A man holds a tennis racket in the air,0.9978,PASS,de,0.8414836525917053
P014,vehicles,152771,A bike in the middle of an empty parking lot next to trees,Ein Fahrrad in der Mitte eines leeren Parkplatzes neben den Bäumen,A bicycle in the middle of an empty car park next to the trees,0.9778,PASS,de,0.8560377359390259
P015,vehicles,86220,A car and a public transit vehicle on a road.,Ein Auto und ein öffentliches Verkehrsmittel auf einer Straße.,A car and a means of public transport on one road.,0.9612,PASS,de,0.8477501273155212
P016,vehicles,245448,A man standing with his motorcycle outside of a repair shop.,Ein Mann steht mit seinem Motorrad vor einer Reparaturwerkstatt.,A man is standing in front of a repair shop with his motorbike.,0.9846,PASS,de,0.8563780188560486
P017,vehicles,571264,a man is standing next to a motorcycle outside,ein Mann steht draußen neben einem Motorrad,a man stands outside next to a motorbike,0.9802,PASS,de,0.8448874950408936
P018,vehicles,89556,A couple of silver cars parked around a fire hydrant.,Ein paar silberne Autos parken um einen Hydranten herum.,A few silver cars are parked around a fire hydrant.,0.9592,PASS,de,0.8138992786407471
