brief_id,model,language,n_questions,n_yes,tifa_score,per_object_json,per_colour_json,per_text_json
MB004,sd15,ar,5,0,0.0,"{""smartphone"": false, ""metal stand"": false}","{""smartphone=black"": false, ""metal stand=silver"": false}","{""VOLT"": false}"
MB004,flux,ar,5,1,0.2,"{""smartphone"": false, ""metal stand"": false}","{""smartphone=black"": true, ""metal stand=silver"": false}","{""VOLT"": false}"
MB024,sd15,ar,5,0,0.0,"{""portable projector"": false, ""remote control"": false}","{""portable projector=white"": false, ""remote control=black"": false}","{""AXON"": false}"
MB024,flux,ar,5,0,0.0,"{""portable projector"": false, ""remote control"": false}","{""portable projector=white"": false, ""remote control=black"": false}","{""AXON"": false}"
MB038,sd15,ar,5,0,0.0,"{""water bottle"": false, ""lemon"": false}","{""water bottle=blue"": false, ""lemon=yellow"": false}","{""MIST"": false}"
MB038,flux,ar,5,1,0.2,"{""water bottle"": false, ""lemon"": false}","{""water bottle=blue"": false, ""lemon=yellow"": true}","{""MIST"": false}"
MB039,sd15,ar,5,0,0.0,"{""yogurt container"": false, ""strawberries"": false}","{""yogurt container=white"": false, ""strawberries=red"": false}","{""GLOW"": false}"
MB039,flux,ar,5,0,0.0,"{""yogurt container"": false, ""strawberries"": false}","{""yogurt container=white"": false, ""strawberries=red"": false}","{""GLOW"": false}"
MB061,sd15,ar,5,0,0.0,"{""sneaker"": false, ""shoebox"": false}","{""sneaker=white"": false, ""shoebox=red"": false}","{""MODE"": false}"
MB061,flux,ar,5,0,0.0,"{""sneaker"": false, ""shoebox"": false}","{""sneaker=white"": false, ""shoebox=red"": false}","{""MODE"": false}"
MB084,sd15,ar,5,0,0.0,"{""leather wallet"": false, ""coins"": false}","{""leather wallet=black"": false, ""coins=silver"": false}","{""BRIM"": false}"
MB084,flux,ar,5,0,0.0,"{""leather wallet"": false, ""coins"": false}","{""leather wallet=black"": false, ""coins=silver"": false}","{""BRIM"": false}"
MB094,sd15,ar,5,0,0.0,"{""motorcycle"": false, ""helmet"": false}","{""motorcycle=black"": false, ""helmet=white"": false}","{""HELIX"": false}"
MB094,flux,ar,5,0,0.0,"{""motorcycle"": false, ""helmet"": false}","{""motorcycle=black"": false, ""helmet=white"": false}","{""HELIX"": false}"
MB111,sd15,ar,5,0,0.0,"{""sports hatchback"": false, ""roof rack"": false}","{""sports hatchback=black"": false, ""roof rack=silver"": false}","{""TORVEX"": false}"
MB111,flux,ar,5,0,0.0,"{""sports hatchback"": false, ""roof rack"": false}","{""sports hatchback=black"": false, ""roof rack=silver"": false}","{""TORVEX"": false}"
MB125,sd15,ar,5,0,0.0,"{""protein shaker"": false, ""dumbbell"": false}","{""protein shaker=black"": false, ""dumbbell=silver"": false}","{""PEAK"": false}"
MB125,flux,ar,5,0,0.0,"{""protein shaker"": false, ""dumbbell"": false}","{""protein shaker=black"": false, ""dumbbell=silver"": false}","{""PEAK"": false}"
MB128,sd15,ar,5,0,0.0,"{""resistance bands"": false, ""water bottle"": false}","{""resistance bands=red"": false, ""water bottle=black"": false}","{""TENZO"": false}"
MB128,flux,ar,5,0,0.0,"{""resistance bands"": false, ""water bottle"": false}","{""resistance bands=red"": false, ""water bottle=black"": false}","{""TENZO"": false}"
