prompt_id,category,dag_node,source,human_score,caption_en,caption_translated,back_translated,cc_score,status,language
DB001,Colors,node3_attribute,DrawBench,,A black colored banana.,Eine schwarz gefärbte Banane.,A black coloured banana.,0.9917,PASS,de
DB002,Colors,node3_attribute,DrawBench,,A blue bird and a brown bear.,Ein blauer Vogel und ein brauner Bär.,A blue bird and a brown bear.,1.0,PASS,de
DB003,Colors,node3_attribute,DrawBench,,A red colored car.,Ein rot gefärbtes Auto.,A red coloured car.,0.9958,PASS,de
DB004,Colors,node3_attribute,DrawBench,,A blue cup and a green cell phone.,Eine blaue Tasse und ein grünes Mobiltelefon.,A blue cup and a green mobile phone.,0.9861,PASS,de
DB005,Colors,node3_attribute,DrawBench,,An orange colored sandwich.,Ein orangefarbenes Sandwich.,An orange-coloured sandwich.,0.992,PASS,de
DB006,Colors,node3_attribute,DrawBench,,A white colored sandwich.,Ein weißes Sandwich.,A white sandwich.,0.9744,PASS,de
DB007,Colors,node3_attribute,DrawBench,,A yellow colored giraffe.,Eine gelb gefärbte Giraffe.,A yellow coloured giraffe.,0.9968,PASS,de
DB008,Colors,node3_attribute,DrawBench,,A black colored car.,Ein schwarzes Auto.,A black car.,0.9791,PASS,de
DB009,Colors,node3_attribute,DrawBench,,A black apple and a green backpack.,Ein schwarzer Apfel und ein grüner Rucksack.,A black apple and a green rucksack.,0.9801,PASS,de
DB010,Colors,node3_attribute,DrawBench,,A blue colored dog.,Ein blau gefärbter Hund.,A blue coloured dog.,0.9848,PASS,de
DB011,Colors,node3_attribute,DrawBench,,A pink colored car.,Ein pinkfarbenes Auto.,A pink car.,0.9908,PASS,de
DB012,Colors,node3_attribute,DrawBench,,A pink colored giraffe.,Eine rosafarbene Giraffe.,A pink-coloured giraffe.,0.993,PASS,de
DB013,Colors,node3_attribute,DrawBench,,A red car and a white sheep.,Ein rotes Auto und ein weißes Schaf.,A red car and a white sheep.,1.0,PASS,de
DB014,Counting,node1_object_presence,DrawBench,,One car on the street.,Ein Auto auf der Straße.,A car on the road.,0.9741,PASS,de
DB015,Counting,node1_object_presence,DrawBench,,One dog on the street.,Ein Hund auf der Straße.,A dog on the street.,0.9897,PASS,de
DB016,Counting,node1_object_presence,DrawBench,,One cat and two dogs sitting on the grass.,Eine Katze und zwei Hunde sitzen im Gras.,A cat and two dogs are sitting in the grass.,0.9851,PASS,de
DB017,Counting,node1_object_presence,DrawBench,,Two cars on the street.,Zwei Autos auf der Straße.,Two cars on the road.,0.9762,PASS,de
DB018,Counting,node1_object_presence,DrawBench,,Four dogs on the street.,Vier Hunde auf der Straße.,Four dogs on the street.,1.0,PASS,de
DB019,Counting,node1_object_presence,DrawBench,,Three cats and one dog sitting on the grass.,Drei Katzen und ein Hund sitzen auf der Wiese.,Three cats and a dog are sitting in the meadow.,0.9585,PASS,de
DB020,Counting,node1_object_presence,DrawBench,,Four cars on the street.,Vier Autos auf der Straße.,Four cars on the road.,0.9762,PASS,de
DB021,Counting,node1_object_presence,DrawBench,,Two cats and one dog sitting on the grass.,Zwei Katzen und ein Hund sitzen auf der Wiese.,Two cats and a dog are sitting in the meadow.,0.9563,PASS,de
DB022,Counting,node1_object_presence,DrawBench,,Two cats and three dogs sitting on the grass.,Zwei Katzen und drei Hunde sitzen auf der Wiese.,Two cats and three dogs are sitting on the meadow.,0.9607,PASS,de
DB023,Counting,node1_object_presence,DrawBench,,Three cats and two dogs sitting on the grass.,Drei Katzen und zwei Hunde sitzen auf der Wiese.,Three cats and two dogs are sitting in the meadow.,0.956,PASS,de
DB024,Counting,node1_object_presence,DrawBench,,Three cars on the street.,Drei Autos auf der Straße.,Three cars on the road.,0.9773,PASS,de
DB025,Counting,node1_object_presence,DrawBench,,Five dogs on the street.,Fünf Hunde auf der Straße.,Five dogs on the street.,1.0,PASS,de
DB026,Counting,node1_object_presence,DrawBench,,Three cats and three dogs sitting on the grass.,Drei Katzen und drei Hunde sitzen auf der Wiese.,Three cats and three dogs are sitting in the meadow.,0.9575,PASS,de
DB027,Positional,node2_spatial,DrawBench,,A train on top of a surfboard.,Ein Zug auf einem Surfbrett.,A train on a surfboard.,0.984,PASS,de
DB028,Positional,node2_spatial,DrawBench,,A stop sign on the right of a refrigerator.,Ein Stoppschild auf der rechten Seite eines Kühlschranks.,A stop sign on the right-hand side of a refrigerator.,0.9897,PASS,de
DB029,Positional,node2_spatial,DrawBench,,A pizza on the right of a suitcase.,Eine Pizza auf der rechten Seite eines Koffers.,A pizza on the right side of a suitcase.,0.9963,PASS,de
DB030,Positional,node2_spatial,DrawBench,,A wine glass on top of a dog.,Ein Weinglas auf einem Hund.,A wine glass on a dog.,0.9713,PASS,de
DB031,Positional,node2_spatial,DrawBench,,A tennis racket underneath a traffic light.,Ein Tennisschläger unter einer Ampel.,A tennis racket under a traffic light.,0.9947,PASS,de
DB032,Positional,node2_spatial,DrawBench,,A giraffe underneath a microwave.,Eine Giraffe unter einer Mikrowelle.,A giraffe under a microwave.,0.9959,PASS,de
DB033,Positional,node2_spatial,DrawBench,,A couch on the left of a chair.,Eine Couch links neben einem Stuhl.,A couch to the left of a chair.,0.9972,PASS,de
DB034,Positional,node2_spatial,DrawBench,,An umbrella on top of a spoon.,Ein Regenschirm auf einem Löffel.,An umbrella on a spoon.,0.9851,PASS,de
DB035,Positional,node2_spatial,DrawBench,,A sheep to the right of a wine glass.,Ein Schaf auf der rechten Seite eines Weinglases.,A sheep on the right side of a wine glass.,0.9795,PASS,de
DB036,Positional,node2_spatial,DrawBench,,A cat on the right of a tennis racket.,Eine Katze auf der rechten Seite eines Tennisschlägers.,A cat on the right side of a tennis racket.,0.9886,PASS,de
DB037,Positional,node2_spatial,DrawBench,,A cat on the left of a dog.,Eine Katze auf der linken Seite eines Hundes.,A cat on the left side of a dog.,0.9969,PASS,de
DB038,Positional,node2_spatial,DrawBench,,A bicycle on top of a boat.,Ein Fahrrad auf einem Boot.,A bicycle on a boat.,0.9768,PASS,de
DB039,Text,node4_typography,DrawBench,,A storefront with 'Hello World' written on it.,"Ein Schaufenster mit der Aufschrift ""Hello World"".","A shop window with the inscription ""Hello World"".",0.8983,PASS,de
DB040,Text,node4_typography,DrawBench,,New York Skyline with 'NeurIPS' written with fireworks on the sky.,"New Yorker Skyline mit der Aufschrift ""NeurIPS"" und einem Feuerwerk am Himmel.","New York skyline with the inscription ""NeurIPS"" and fireworks in the sky.",0.9631,PASS,de
DB041,Text,node4_typography,DrawBench,,New York Skyline with 'Diffusion' written with fireworks on the sky.,"New Yorker Skyline mit der Aufschrift ""Diffusion"" und einem Feuerwerk am Himmel.","New York skyline with the inscription ""Diffusion"" and fireworks in the sky.",0.9571,PASS,de
DB042,Text,node4_typography,DrawBench,,A storefront with 'Diffusion' written on it.,"Ein Schaufenster mit der Aufschrift ""Diffusion"".","A shop window labelled ""Diffusion"".",0.938,PASS,de
DB043,Text,node4_typography,DrawBench,,A sign that says 'Diffusion'.,"Ein Schild mit der Aufschrift ""Diffusion"".","A sign with the inscription ""Diffusion"".",0.9332,PASS,de
DB044,Text,node4_typography,DrawBench,,A storefront with 'Google Brain Toronto' written on it.,"Ein Schaufenster mit der Aufschrift ""Google Brain Toronto"".","A shop window labelled ""Google Brain Toronto"".",0.9377,PASS,de
