brief_id,model,language,n_questions,n_yes,tifa_score,per_object_json,per_colour_json,per_text_json
MB001,sd15,en,5,0,0.0,"{""smartwatch"": false, ""wireless charger"": false}","{""smartwatch=silver"": false, ""wireless charger=black"": false}","{""ZYRA"": false}"
MB001,flux,en,5,3,0.6,"{""smartwatch"": true, ""wireless charger"": true}","{""smartwatch=silver"": false, ""wireless charger=black"": true}","{""ZYRA"": false}"
MB002,sd15,en,5,1,0.2,"{""laptop"": true, ""wireless mouse"": false}","{""laptop=black"": false, ""wireless mouse=white"": false}","{""KESTRA"": false}"
MB002,flux,en,5,4,0.8,"{""laptop"": true, ""wireless mouse"": true}","{""laptop=black"": true, ""wireless mouse=white"": true}","{""KESTRA"": false}"
MB003,sd15,en,5,2,0.4,"{""wireless earbuds"": false, ""charging case"": true}","{""wireless earbuds=white"": true, ""charging case=black"": false}","{""APEX"": false}"
MB003,flux,en,5,5,1.0,"{""wireless earbuds"": true, ""charging case"": true}","{""wireless earbuds=white"": true, ""charging case=black"": true}","{""APEX"": true}"
MB004,sd15,en,5,0,0.0,"{""smartphone"": false, ""metal stand"": false}","{""smartphone=black"": false, ""metal stand=silver"": false}","{""VOLT"": false}"
MB004,flux,en,5,5,1.0,"{""smartphone"": true, ""metal stand"": true}","{""smartphone=black"": true, ""metal stand=silver"": true}","{""VOLT"": true}"
MB005,sd15,en,5,4,0.8,"{""tablet"": true, ""stylus pen"": true}","{""tablet=white"": true, ""stylus pen=gold"": true}","{""PRISM"": false}"
MB005,flux,en,5,4,0.8,"{""tablet"": true, ""stylus pen"": true}","{""tablet=white"": true, ""stylus pen=gold"": true}","{""PRISM"": false}"
MB006,sd15,en,5,1,0.2,"{""mechanical keyboard"": true, ""wireless mouse"": false}","{""mechanical keyboard=black"": false, ""wireless mouse=red"": false}","{""SYNTH"": false}"
MB006,flux,en,5,5,1.0,"{""mechanical keyboard"": true, ""wireless mouse"": true}","{""mechanical keyboard=black"": true, ""wireless mouse=red"": true}","{""SYNTH"": true}"
MB007,sd15,en,5,2,0.4,"{""bluetooth speaker"": true, ""smartphone"": false}","{""bluetooth speaker=blue"": true, ""smartphone=black"": false}","{""NEXUS"": false}"
MB007,flux,en,5,5,1.0,"{""bluetooth speaker"": true, ""smartphone"": true}","{""bluetooth speaker=blue"": true, ""smartphone=black"": true}","{""NEXUS"": true}"
MB008,sd15,en,5,3,0.6,"{""camera"": true, ""camera lens"": true}","{""camera=black"": true, ""camera lens=silver"": false}","{""KOVAL"": false}"
