brief_id,language,extracted_objects_json,extracted_colours_json,extracted_spatial_json,extracted_text_json,extraction_error
MB001,en,"[""smartwatch"", ""wireless charger""]","{""smartwatch"": ""silver"", ""wireless charger"": ""black""}","[""smartwatch left of wireless charger""]","[""ZYRA""]",
MB002,en,"[""laptop"", ""wireless mouse"", ""desk""]","{""laptop"": ""black"", ""wireless mouse"": ""white"", ""desk"": ""gray""}","[""wireless mouse right of laptop""]","[""KESTRA logo""]",
MB003,en,"[""wireless earbud"", ""charging case""]","{""wireless earbud"": ""white"", ""charging case"": ""black""}","[""wireless earbud above charging case""]","[""APEX""]",
MB004,en,"[""smartphone"", ""stand""]","{""smartphone"": ""black"", ""stand"": ""silver""}","[""smartphone above stand""]","[""VOLT""]",
MB005,en,"[""tablet"", ""stylus pen""]","{""tablet"": ""white"", ""stylus pen"": ""gold""}","[""stylus pen right of tablet""]","[""PRISM""]",
MB006,en,"[""mechanical keyboard"", ""wireless mouse"", ""desk mat""]","{""mechanical keyboard"": ""black"", ""wireless mouse"": ""red"", ""desk mat"": ""dark""}","[""wireless mouse right of mechanical keyboard""]","[""SYNTH logo on keyboard space bar""]",
MB007,en,"[""bluetooth speaker"", ""smartphone"", ""table""]","{""bluetooth speaker"": ""blue"", ""smartphone"": ""black"", ""table"": ""wooden""}","[""smartphone right of bluetooth speaker""]","[""NEXUS""]",
MB008,en,"[""dslr camera"", ""camera lens"", ""pedestal""]","{""dslr camera"": ""black"", ""camera lens"": ""silver"", ""pedestal"": ""white""}","[""camera lens right of dslr camera""]","[""KOVAL""]",
MB009,en,"[""gaming controller"", ""gaming headset""]","{""gaming controller"": ""white"", ""gaming headset"": ""black""}","[""gaming controller left of gaming headset""]","[""LUNEX logo""]",
MB010,en,"[""smart display"", ""remote control""]","{""smart display"": ""black"", ""remote control"": ""silver""}","[""remote control below of smart display""]","[""KORE""]",
MB011,en,"[""power bank"", ""usb cable""]","{""power bank"": ""white"", ""usb cable"": ""red""}","[""usb cable below of power bank""]","[""LUMIX""]",
MB012,en,"[""laptop"", ""coffee mug""]","{""laptop"": ""silver"", ""coffee mug"": ""white""}","[""coffee mug right of laptop""]","[""MIRAX logo""]",
MB013,en,"[""wireless earbud"", ""smartphone""]","{""wireless earbud"": ""white"", ""smartphone"": ""black""}","[""wireless earbud above smartphone""]","[""NEURO logo""]",
MB014,en,"[""webcam"", ""monitor"", ""desk""]","{""webcam"": ""black"", ""monitor"": ""white"", ""desk"": ""not specified""}","[""webcam above monitor""]","[""OPUS logo""]",
MB015,en,"[""action camera"", ""cycling helmet""]","{""action camera"": ""orange"", ""cycling helmet"": ""white""}","[""action camera left of cycling helmet""]","[""PHASE""]",
MB016,en,"[""smart speaker"", ""digital clock"", ""nightstand""]","{""smart speaker"": ""white"", ""digital clock"": ""black"", ""nightstand"": ""white""}","[""smart speaker left of digital clock""]","[""QUBIT logo""]",
MB017,en,"[""vr headset"", ""motion controller""]","{""vr headset"": ""white"", ""motion controller"": ""black""}","[""vr headset above motion controller""]","[""RADIUS logo""]",
MB018,en,"[""monitor"", ""keyboard"", ""desk""]","{""monitor"": ""black"", ""keyboard"": ""silver"", ""desk"": ""glass""}","[""keyboard below of monitor""]","[""SPARK""]",
MB019,en,"[""quadcopter drone"", ""remote control""]","{""quadcopter drone"": ""black"", ""remote control"": ""gray""}","[""quadcopter drone left of remote control""]","[""VORTA logo""]",
MB020,en,"[""e-reader"", ""reading glasses""]","{""e-reader"": ""white"", ""reading glasses"": ""black""}","[""e-reader left of reading glasses""]","[""RIVOX""]",
MB021,en,"[""usb hub"", ""laptop""]","{""usb hub"": ""gray"", ""laptop"": ""silver""}","[""usb hub left of laptop""]","[""WAVE""]",
MB022,en,"[""gaming headset"", ""headphone stand""]","{""gaming headset"": ""black"", ""headphone stand"": ""white""}","[""gaming headset on top of headphone stand""]","[""XENON""]",
MB023,en,"[""fitness tracker"", ""smartphone""]","{""fitness tracker"": ""black"", ""smartphone"": ""white""}","[""fitness tracker left of smartphone""]","[""ZETA logo""]",
MB024,en,"[""projector"", ""remote control""]","{""projector"": ""white"", ""remote control"": ""black""}","[""projector above remote control""]","[""AXON logo""]",
MB025,en,"[""smart glasses"", ""glasses case""]","{""smart glasses"": ""rose gold"", ""glasses case"": ""black""}","[""smart glasses above glasses case""]","[""BREEZE logo""]",
MB026,en,"[""portable ssd"", ""usb cable""]","{""portable ssd"": ""silver"", ""usb cable"": ""blue""}","[""usb cable right of portable ssd""]","[""CREST""]",
MB027,en,"[""wireless charging pad"", ""smartphone"", ""nightstand""]","{""wireless charging pad"": ""white"", ""smartphone"": ""black"", ""nightstand"": ""brown""}","[""smartphone on top of wireless charging pad"", ""wireless charging pad on top of nightstand""]","[""DAWN""]",
MB028,en,"[""smart lock"", ""door handle"", ""door""]","{""smart lock"": ""black"", ""door handle"": ""silver"", ""door"": ""white""}","[""smart lock above door handle""]","[""NYRIC logo""]",
MB029,en,"[""wifi router"", ""ethernet cable""]","{""wifi router"": ""white"", ""ethernet cable"": ""yellow""}","[""ethernet cable below of wifi router""]","[""FUSE""]",
MB030,en,"[""gaming mouse"", ""mousepad""]","{""gaming mouse"": ""black"", ""mousepad"": ""red""}","[""gaming mouse on top of mousepad""]","[""GRID logo""]",
MB031,en,"[""juice bottle"", ""cup""]","{""juice bottle"": ""orange"", ""cup"": ""white""}","[""juice bottle left of cup""]","[""ZEST""]",
MB032,en,"[""coffee bag"", ""espresso cup""]","{""coffee bag"": ""brown kraft"", ""espresso cup"": ""black""}","[""coffee bag above espresso cup""]","[""PURE""]",
MB033,en,"[""cereal box"", ""milk carton""]","{""cereal box"": ""yellow"", ""milk carton"": ""white""}","[""cereal box left of milk carton""]","[""BLOOM""]",
MB034,en,"[""hot sauce bottle"", ""cutting board""]","{""hot sauce bottle"": ""red"", ""cutting board"": ""brown""}","[""hot sauce bottle right of cutting board""]","[""GROVE""]",
MB035,en,"[""wine bottle"", ""grapes""]","{""wine bottle"": ""green"", ""grapes"": ""purple""}","[""wine bottle right of grapes""]","[""FRESH""]",
MB036,en,"[""tea box"", ""teacup"", ""saucer""]","{""tea box"": ""teal"", ""teacup"": ""white"", ""saucer"": ""white""}","[""tea box above teacup"", ""teacup above saucer""]","[""CRISP""]",
MB037,en,"[""energy drink can"", ""dumbbell""]","{""energy drink can"": ""black"", ""dumbbell"": ""silver""}","[""energy drink can left of dumbbell""]","[""BOLD on can front""]",
MB038,en,"[""water bottle"", ""lemon slice""]","{""water bottle"": ""blue"", ""lemon slice"": ""yellow""}","[""water bottle above lemon slice""]","[""MIST""]",
MB039,en,"[""yogurt container"", ""strawberry""]","{""yogurt container"": ""white"", ""strawberry"": ""red""}","[""yogurt container left of strawberry""]","[""GLOW""]",
MB040,en,"[""cookie tin"", ""glass""]","{""cookie tin"": ""red"", ""glass"": ""white""}","[""cookie tin right of glass""]","[""PETAL""]",
MB041,en,"[""soda can"", ""ice bucket""]","{""soda can"": ""blue"", ""ice bucket"": ""silver""}","[""soda can left of ice bucket""]","[""QUENCH""]",
MB042,en,"[""protein powder jar"", ""shaker bottle""]","{""protein powder jar"": ""black"", ""shaker bottle"": ""white""}","[""protein powder jar left of shaker bottle""]","[""RIPPLE""]",
MB043,en,"[""olive oil bottle"", ""garlic bulb""]","{""olive oil bottle"": ""green"", ""garlic bulb"": ""white""}","[""olive oil bottle above garlic bulb""]","[""SWAY""]",
MB044,en,"[""granola bar"", ""banana""]","{""granola bar"": ""brown"", ""banana"": ""yellow""}","[""granola bar left of banana""]","[""TEMPO""]",
MB045,en,"[""cold brew coffee bottle"", ""metal straw""]","{""cold brew coffee bottle"": ""brown"", ""metal straw"": ""silver""}","[""cold brew coffee bottle left of metal straw""]","[""UMBER""]",
MB046,en,"[""can"", ""lime""]","{""can"": ""blue"", ""lime"": ""green""}","[""can left of lime""]","[""VERDE""]",
MB047,en,"[""honey jar"", ""slice of toast"", ""breakfast board""]","{""honey jar"": ""amber"", ""slice of toast"": ""brown"", ""breakfast board"": ""wooden""}","[""honey jar above slice of toast""]","[""WARM""]",
MB048,en,"[""smoothie bottle"", ""berry""]","{""smoothie bottle"": ""purple"", ""berry"": ""red""}","[""smoothie bottle left of berry""]","[""XTRA""]",
