brief_id,brand_name,language,translated_prompt,brand_survived_in_prompt,required_text_naive_translation,required_text_would_survive_naive_translation,back_translated_en,cc_score,status
MB001,ZYRA,DE,"Produktfoto einer silbernen Smartwatch, die links neben einem schwarzen kabellosen Ladegerät auf einer sauberen weißen Fläche platziert ist; „ZYRA“ auf dem Zifferblatt; minimalistische Studiobeleuchtung",True,Büro,False,Product photo of a silver smartwatch placed to the left of a black wireless charger on a clean white surface; “ZYRA” on the watch face; minimalist studio lighting,0.9881,PASS
MB001,ZYRA,AR,صورة منتج لساعة ذكية فضية موضوعة على يسار شاحن لاسلكي أسود فوق سطح أبيض نظيف، مع ظهور كلمة «ZYRA» على وجه الساعة، وإضاءة استوديو بسيطة,True,المكتب,False,"A product photo of a silver smartwatch placed to the left of a black wireless charger on a clean white surface, with the word “ZYRA” visible on the watch face, and simple studio lighting",0.9438,PASS
MB003,APEX,DE,"Klare Produktfotografie von weißen kabellosen Ohrhörern, die auf einer dunklen Oberfläche über ihrem schwarzen Ladecase platziert sind; auf dem Case ist „APEX“ eingraviert; minimalistischer Stil",True,Der höchste Punkt,False,Clear product photography of white wireless earbuds placed on a dark surface above their black charging case; the case is engraved with “APEX”; minimalist style,0.9857,PASS
MB003,APEX,AR,صورة منتج واضحة لسماعات أذن لاسلكية بيضاء موضوعة فوق علبة الشحن السوداء الخاصة بها على سطح داكن، مع نقش «APEX» على العلبة، بأسلوب بسيط,True,أعلى نقطة,False,"A clear product photo of white wireless earbuds placed on top of their black charging case on a dark surface, with “APEX” engraved on the case in a simple style",0.9578,PASS
MB050,ZEAL,DE,"Produktfotografie einer dunkelbraunen Schokoladentafel, die teilweise in eine goldene Folie eingewickelt ist und auf einer schwarzen Marmorfläche liegt; Aufschrift „ZEAL“ auf der Verpackung; luxuriöse redaktionelle Beleuchtung",True,ZEAL,True,"Product photograph of a dark brown chocolate bar, partially wrapped in gold foil and resting on a black marble surface; “ZEAL” written on the packaging; luxurious editorial lighting",0.9519,PASS
MB050,ZEAL,AR,صورة منتج لقطعة شوكولاتة بنية داكنة ملفوفة جزئيًا بورق ذهبي على سطح من الرخام الأسود، مع كلمة «ZEAL» مكتوبة على الغلاف، وإضاءة تحريرية فاخرة,True,ZEAL,True,"A product photo of a dark brown chocolate bar partially wrapped in gold foil on a black marble surface, with the word “ZEAL” written on the wrapper, and luxurious editorial lighting",0.9616,PASS
MB111,TORVEX,DE,"Produktfoto eines schwarzen Sport-Fließheckmodells mit einem silbernen Dachgepäckträger auf weißem Studioboden, „TORVEX“-Schriftzug auf der Autotür, dramatische Studiobeleuchtung",True,TORVEX,True,"Product photo of a black sports hatchback with a silver roof rack on a white studio floor, “TORVEX” lettering on the car door, dramatic studio lighting",0.951,PASS
MB111,TORVEX,AR,صورة منتج لسيارة هاتشباك رياضية سوداء مزودة بحامل سقف فضي مثبت فوقها، على أرضية استوديو بيضاء، مع وجود كلمة «TORVEX» على باب السيارة، وإضاءة استوديو مثيرة,True,TORVEX,True,"A product photo of a black sports hatchback with a silver roof rack mounted on top, set against a white studio background, featuring the word “TORVEX” on the car door and dramatic studio lighting",0.8053,REVIEW
MB144,MASS,DE,"Produktfoto eines großen schwarzen Beutels mit Proteinpulver, der rechts neben einer roten Shaker-Flasche auf dem Boden eines Fitnessstudios platziert ist; auf der Vorderseite des Beutels steht „MASS“; dramatische Beleuchtung im Fitnessstudio",True,Messe,False,Product photo of a large black bag of protein powder placed on the floor of a gym to the right of a red shaker bottle; the front of the bag reads “MASS”; dramatic lighting in the gym,0.8907,PASS
MB144,MASS,AR,صورة منتج تُظهر كيسًا كبيرًا أسود اللون من مسحوق البروتين موضوعًا على يمين زجاجة شاكر حمراء على أرضية صالة رياضية، مع كلمة «MASS» مكتوبة على واجهة الكيس، وإضاءة درامية في الصالة الرياضية,True,القداس,False,"A product photo showing a large black bag of protein powder placed to the right of a red shaker bottle on a gym floor, with the word “MASS” written on the front of the bag, and dramatic lighting in the gym",0.8685,PASS
