brief_id,language,category,extracted_value,ground_truth_value
MB022,en,spatial_constraints,[],"('gaming headset', 'above', 'headphone stand')"
MB027,en,spatial_constraints,[],"('smartphone', 'above', 'wireless charging pad')"
MB030,en,spatial_constraints,[],"('gaming mouse', 'above', 'mousepad')"
MB050,en,spatial_constraints,[],"('chocolate bar', 'above', 'wrapper')"
MB062,en,spatial_constraints,[],"('leather jacket', 'above', 'wooden hanger')"
MB108,en,required_text,[],ZOOM
MB003,de,objects,"['charging case', 'wireless earphone']",wireless earbud
MB003,de,colours,<missing>,white
MB003,de,spatial_constraints,"[('wireless earphone', 'above', 'charging case')]","('wireless earbud', 'above', 'charging case')"
MB005,de,objects,"['stylu', 'tablet']",stylus pen
MB005,de,colours,<missing>,gold
MB005,de,spatial_constraints,"[('stylu', 'right', 'tablet')]","('stylus pen', 'right', 'tablet')"
MB008,de,spatial_constraints,"[('camera len', 'right', 'pedestal')]","('camera len', 'right', 'camera')"
MB011,de,objects,"['powerbank', 'usb cable']",power bank
MB011,de,colours,<missing>,white
MB011,de,spatial_constraints,"[('usb cable', 'below', 'powerbank')]","('usb cable', 'below', 'power bank')"
MB012,de,objects,"['coffee cup', 'laptop']",coffee mug
MB012,de,colours,<missing>,white
MB012,de,spatial_constraints,"[('coffee cup', 'right', 'laptop')]","('coffee mug', 'right', 'laptop')"
MB013,de,objects,"['earphone', 'smartphone']",wireless earbud
MB013,de,colours,<missing>,white
MB013,de,spatial_constraints,"[('earphone', 'above', 'smartphone')]","('wireless earbud', 'above', 'smartphone')"
MB015,de,objects,"['action camera', 'bicycle helmet']",cycling helmet
MB015,de,colours,<missing>,white
MB015,de,spatial_constraints,"[('action camera', 'left', 'bicycle helmet')]","('action camera', 'left', 'cycling helmet')"
MB019,de,objects,"['quadcopter', 'remote control']",drone
MB019,de,colours,<missing>,black
MB019,de,colours,grey,gray
MB019,de,spatial_constraints,"[('quadcopter', 'left', 'remote control')]","('drone', 'left', 'remote control')"
MB021,de,colours,grey,gray
MB022,de,spatial_constraints,[],"('gaming headset', 'above', 'headphone stand')"
MB027,de,objects,"['nightstand', 'smartphone', 'wireless charger']",wireless charging pad
MB027,de,colours,<missing>,white
MB027,de,spatial_constraints,[],"('smartphone', 'above', 'wireless charging pad')"
MB030,de,objects,"['desk', 'gaming mouse', 'mouse pad']",mousepad
MB030,de,colours,<missing>,red
MB030,de,spatial_constraints,[],"('gaming mouse', 'above', 'mousepad')"
MB033,de,objects,"['milchkarton', 'müslipackung']",cereal box
MB033,de,objects,"['milchkarton', 'müslipackung']",milk carton
MB033,de,colours,<missing>,yellow
MB033,de,colours,<missing>,white
MB033,de,spatial_constraints,"[('müslipackung', 'left', 'milchkarton')]","('cereal box', 'left', 'milk carton')"
MB036,de,objects,"['keramik teetasse', 'teedose', 'untertasse']",tea box
MB036,de,objects,"['keramik teetasse', 'teedose', 'untertasse']",teacup
MB036,de,colours,<missing>,teal
MB036,de,colours,<missing>,white
MB036,de,spatial_constraints,"[('keramik teetasse', 'below', 'teedose'), ('teedose', 'above', 'keramik teetasse')]","('tea box', 'above', 'teacup')"
MB037,de,objects,"['aluminium can', 'dumbbell']",energy drink can
MB037,de,colours,<missing>,black
MB037,de,spatial_constraints,"[('aluminium can', 'left', 'dumbbell')]","('energy drink can', 'left', 'dumbbell')"
MB038,de,objects,"['drinking bottle', 'lemon slice']",water bottle
MB038,de,colours,<missing>,blue
MB038,de,spatial_constraints,"[('drinking bottle', 'above', 'lemon slice')]","('water bottle', 'above', 'lemon')"
MB039,de,objects,"['strawberry', 'yogurt cup']",yogurt container
MB039,de,colours,<missing>,white
MB039,de,spatial_constraints,"[('yogurt cup', 'left', 'strawberry')]","('yogurt container', 'left', 'strawberry')"
MB040,de,objects,"['cookie jar', 'glass of milk']",cookie tin
MB040,de,colours,<missing>,red
MB040,de,spatial_constraints,"[('cookie jar', 'right', 'glass of milk')]","('glass of milk', 'left', 'cookie tin')"
MB041,de,objects,"['drink can', 'ice bucket']",soda can
MB041,de,colours,<missing>,blue
MB041,de,spatial_constraints,"[('drink can', 'left', 'ice bucket')]","('soda can', 'left', 'ice bucket')"
MB042,de,objects,"['protein powder container', 'shaker bottle']",protein powder jar
MB042,de,colours,<missing>,black
MB042,de,spatial_constraints,"[('protein powder container', 'left', 'shaker bottle')]","('protein powder jar', 'left', 'shaker bottle')"
MB044,de,objects,"['banane', 'müsliriegel']",banana
MB044,de,objects,"['banane', 'müsliriegel']",granola bar
MB044,de,colours,<missing>,brown
MB044,de,colours,<missing>,yellow
MB044,de,spatial_constraints,"[('müsliriegel', 'left', 'banane')]","('granola bar', 'left', 'banana')"
MB047,de,objects,"['bread', 'glass', 'honey']",toast
MB047,de,colours,<missing>,brown
MB047,de,spatial_constraints,"[('glass', 'above', 'bread')]","('honey jar', 'above', 'toast')"
MB049,de,objects,"['bamboo', 'teaflask']",tea bottle
MB049,de,colours,<missing>,white
MB049,de,spatial_constraints,"[('teaflask', 'right', 'bamboo')]","('tea bottle', 'right', 'bamboo stalk')"
MB050,de,objects,"['black marble surface', 'chocolate bar', 'gold foil']",wrapper
MB050,de,colours,<missing>,gold
MB050,de,spatial_constraints,[],"('chocolate bar', 'above', 'wrapper')"
MB051,de,objects,"['orange juice bag', 'wood straw']",wooden straw
MB051,de,objects,"['orange juice bag', 'wood straw']",juice pouch
MB051,de,colours,<missing>,orange
MB051,de,colours,<missing>,brown
MB051,de,spatial_constraints,"[('orange juice bag', 'right', 'wood straw')]","('juice pouch', 'right', 'wooden straw')"
