brief_id,prompt_en,prompt_ar,brand_name,tokens_en,tokens_ar,en_truncated,ar_truncated,ar_tokens_dropped,token_ratio_ar_over_en,brand_char_fraction,ar_survival_fraction,brand_likely_truncated
MB001,"Product photography of a silver smartwatch placed to the left of a black wireless charger on a clean white surface, ZYRA on watch face, minimalist studio lighting",صورة منتج لساعة ذكية فضية موضوعة على يسار شاحن لاسلكي أسود فوق سطح أبيض نظيف، مع ظهور اسم «ZYRA» على وجه الساعة، وإضاءة استوديو بسيطة,ZYRA,30,124,False,True,49,4.133333333333334,0.6842105263157895,0.6048387096774194,True
MB002,"Studio product shot of a black laptop with a white wireless mouse to its right on a gray desk, KESTRA logo on laptop lid, overhead lighting",صورة منتج تم التقاطها في الاستوديو لجهاز كمبيوتر محمول أسود اللون، مع ماوس لاسلكي أبيض على يمينه فوق مكتب رمادي اللون، وشعار KESTRA على غطاء الكمبيوتر المحمول، مع إضاءة علوية,KESTRA,29,149,False,True,74,5.137931034482759,0.7183908045977011,0.5033557046979866,True
MB003,"Clean product photography of white wireless earbuds placed above their black charging case on a dark surface, APEX engraved on case, minimal style",صورة منتج واضحة لسماعات أذن لاسلكية بيضاء موضوعة فوق علبة الشحن السوداء الخاصة بها على سطح داكن، مع وجود نقش «APEX» على العلبة، بأسلوب بسيط,APEX,25,122,False,True,47,4.88,0.7913669064748201,0.6147540983606558,True
MB004,"Product shot of a black smartphone mounted on a silver metal stand, VOLT printed on the back of the phone, studio lighting against a blue background",صورة منتج لهاتف ذكي أسود مثبت على حامل معدني فضي، مع كلمة «VOLT» مطبوعة على ظهر الهاتف، وإضاءة استوديو على خلفية زرقاء,VOLT,28,107,False,True,32,3.8214285714285716,0.5,0.7009345794392523,False
MB005,"Overhead product photography of a white tablet with a gold stylus pen to its right on a marble surface, PRISM on tablet bezel, clean composition",صورة منتج ملتقطة من أعلى لقرص أبيض يظهر إلى يمينه قلم ستايلس ذهبي على سطح رخامي، مع ظهور كلمة «PRISM» على حافة القرص، وتركيب بسيط,PRISM,29,118,False,True,43,4.068965517241379,0.7364341085271318,0.635593220338983,True
MB006,"Product photography of a black mechanical keyboard with a red wireless mouse to its right on a dark desk mat, SYNTH logo on keyboard space bar, gaming aesthetic",صورة منتج تُظهر لوحة مفاتيح ميكانيكية سوداء مع ماوس لاسلكي أحمر إلى يمينها على سجادة مكتب داكنة اللون، وشعار SYNTH على مفتاح المسافة في لوحة المفاتيح، بتصميم مستوحى من عالم الألعاب,SYNTH,30,155,False,True,80,5.166666666666667,0.6055555555555555,0.4838709677419355,True
MB007,"Lifestyle product shot of a blue Bluetooth speaker with a black smartphone leaning to its right on a wooden table, NEXUS on speaker body, warm lighting",صورة ترويجية لمنتج من فئة أسلوب الحياة تُظهر مكبر صوت بلوتوث أزرق اللون، مع هاتف ذكي أسود مائل إلى يمينه على طاولة خشبية، وكلمة «NEXUS» مكتوبة على هيكل مكبر الصوت، وإضاءة دافئة,NEXUS,28,159,False,True,84,5.678571428571429,0.7329545454545454,0.4716981132075472,True
MB008,"Studio product photography of a black DSLR camera with a silver camera lens placed to its right on a white pedestal, KOVAL engraved on lens barrel, professional lighting",صورة منتج تم التقاطها في الاستوديو لكاميرا DSLR سوداء اللون مع عدسة فضية موضوعة على يمينها فوق قاعدة بيضاء، وكلمة «KOVAL» محفورة على جسم العدسة، مع إضاءة احترافية,KOVAL,32,135,False,True,60,4.21875,0.7098765432098766,0.5555555555555556,True
MB009,"Product photography of a white gaming controller placed to the left of a black gaming headset on a clean gray surface, LUNEX logo on controller, dramatic side lighting",صورة منتج تُظهر جهاز تحكم ألعاب أبيض موضوعًا على يسار سماعة رأس ألعاب سوداء فوق سطح رمادي نظيف، مع وجود شعار LUNEX على جهاز التحكم، وإضاءة جانبية مثيرة,LUNEX,31,142,False,True,67,4.580645161290323,0.7218543046357616,0.528169014084507,True
MB010,"Clean product shot of a black smart display with a silver remote control placed below it on a white surface, KORE on display screen, studio lighting",صورة واضحة لمنتج عبارة عن شاشة ذكية سوداء مع جهاز تحكم عن بُعد فضي موضوع أسفلها على سطح أبيض، وكلمة «KORE» معروضة على الشاشة، وإضاءة استوديو,KORE,29,128,False,True,53,4.413793103448276,0.7214285714285714,0.5859375,True
MB011,"Minimalist product photography of a white rectangular power bank with a red USB cable coiled below it on a light gray surface, LUMIX on power bank, clean composition",صورة منتج بتصميم بسيط لشاحن محمول أبيض مستطيل الشكل مع كابل USB أحمر ملفوف أسفله على سطح رمادي فاتح، وكلمة «LUMIX» مكتوبة على الشاحن، وتركيب بسيط,LUMIX,32,127,False,True,52,3.96875,0.7448275862068966,0.5905511811023622,True
MB012,"Lifestyle product shot of an open silver laptop with a white ceramic coffee mug to its right on a dark wood desk, MIRAX logo on laptop screen, morning light",صورة ترويجية لمنتج من فئة أسلوب الحياة تُظهر جهاز كمبيوتر محمول فضي مفتوح، بجانبه الأيمن كوب قهوة خزفي أبيض على مكتب خشبي داكن، مع ظهور شعار «MIRAX» على شاشة الكمبيوتر المحمول، في ضوء الصباح,MIRAX,32,166,False,True,91,5.1875,0.7473684210526316,0.45180722891566266,True
MB013,"Product photography of white wireless earbuds placed above a black smartphone on a dark surface, NEURO logo on earbuds case, studio lighting",صورة ترويجية لمنتج عبارة عن سماعات أذن لاسلكية بيضاء موضوعة فوق هاتف ذكي أسود على سطح داكن، مع شعار NEURO على علبة السماعات، وإضاءة الاستوديو,NEURO,24,126,False,True,51,5.25,0.7092198581560284,0.5952380952380952,True
