prompt_id,category,dag_node,source,human_score,caption_en,caption_translated,back_translated,cc_score,status,language,cometkiwi_score
DB001,Colors,node3_attribute,DrawBench,,A black colored banana.,Une banane de couleur noire.,A black banana.,0.9773,PASS,fr,0.8725079894065857
DB002,Colors,node3_attribute,DrawBench,,A blue bird and a brown bear.,Un oiseau bleu et un ours brun.,A blue bird and a brown bear.,1.0,PASS,fr,0.877947211265564
DB003,Colors,node3_attribute,DrawBench,,A red colored car.,Une voiture de couleur rouge.,A red car.,0.9809,PASS,fr,0.8708792924880981
DB004,Colors,node3_attribute,DrawBench,,A blue cup and a green cell phone.,Un gobelet bleu et un téléphone portable vert.,A blue cup and a green mobile phone.,0.9861,PASS,fr,0.8710734844207764
DB005,Colors,node3_attribute,DrawBench,,An orange colored sandwich.,Un sandwich de couleur orange.,An orange sandwich.,0.9687,PASS,fr,0.8654126524925232
DB006,Colors,node3_attribute,DrawBench,,A white colored sandwich.,Un sandwich de couleur blanche.,A white sandwich.,0.9744,PASS,fr,0.8338573575019836
DB007,Colors,node3_attribute,DrawBench,,A yellow colored giraffe.,Une girafe de couleur jaune.,A yellow giraffe.,0.9805,PASS,fr,0.8667823076248169
DB008,Colors,node3_attribute,DrawBench,,A black colored car.,Une voiture de couleur noire.,A black car.,0.9791,PASS,fr,0.875441312789917
DB009,Colors,node3_attribute,DrawBench,,A black apple and a green backpack.,Une pomme noire et un sac à dos vert.,A black apple and a green rucksack.,0.9801,PASS,fr,0.8708813190460205
DB010,Colors,node3_attribute,DrawBench,,A blue colored dog.,Un chien de couleur bleue.,A blue dog.,0.9794,PASS,fr,0.8682445287704468
DB011,Colors,node3_attribute,DrawBench,,A pink colored car.,Une voiture de couleur rose.,A pink car.,0.9908,PASS,fr,0.8745874166488647
DB012,Colors,node3_attribute,DrawBench,,A pink colored giraffe.,Une girafe de couleur rose.,A pink giraffe.,0.9823,PASS,fr,0.8725945353507996
DB013,Colors,node3_attribute,DrawBench,,A red car and a white sheep.,Une voiture rouge et un mouton blanc.,A red car and a white sheep.,1.0,PASS,fr,0.882713794708252
DB014,Counting,node1_object_presence,DrawBench,,One car on the street.,Une voiture dans la rue.,A car in the street.,0.9876,PASS,fr,0.8392519354820251
DB015,Counting,node1_object_presence,DrawBench,,One dog on the street.,Un chien dans la rue.,A dog in the street.,0.9877,PASS,fr,0.8582758903503418
DB016,Counting,node1_object_presence,DrawBench,,One cat and two dogs sitting on the grass.,Un chat et deux chiens assis dans l'herbe.,A cat and two dogs sitting on the grass.,0.985,PASS,fr,0.8786441087722778
DB017,Counting,node1_object_presence,DrawBench,,Two cars on the street.,Deux voitures dans la rue.,Two cars in the street.,0.9984,PASS,fr,0.8558946847915649
DB018,Counting,node1_object_presence,DrawBench,,Four dogs on the street.,Quatre chiens dans la rue.,Four dogs in the street.,0.9985,PASS,fr,0.8689965605735779
DB019,Counting,node1_object_presence,DrawBench,,Three cats and one dog sitting on the grass.,Trois chats et un chien assis dans l'herbe.,Three cats and a dog sitting on the grass.,0.9981,PASS,fr,0.8811229467391968
DB020,Counting,node1_object_presence,DrawBench,,Four cars on the street.,Quatre voitures dans la rue.,Four cars in the street.,0.9984,PASS,fr,0.8611559867858887
DB021,Counting,node1_object_presence,DrawBench,,Two cats and one dog sitting on the grass.,Deux chats et un chien assis dans l'herbe.,Two cats and a dog sitting on the grass.,0.9965,PASS,fr,0.881575345993042
DB022,Counting,node1_object_presence,DrawBench,,Two cats and three dogs sitting on the grass.,Deux chats et trois chiens assis dans l'herbe.,Two cats and three dogs sitting on the grass.,1.0,PASS,fr,0.8799729347229004
DB023,Counting,node1_object_presence,DrawBench,,Three cats and two dogs sitting on the grass.,Trois chats et deux chiens assis dans l'herbe.,Three cats and two dogs sitting on the grass.,1.0,PASS,fr,0.8784086108207703
DB024,Counting,node1_object_presence,DrawBench,,Three cars on the street.,Trois voitures dans la rue.,Three cars in the street.,0.9984,PASS,fr,0.8570435047149658
DB025,Counting,node1_object_presence,DrawBench,,Five dogs on the street.,Cinq chiens dans la rue.,Five dogs in the street.,0.9983,PASS,fr,0.8677771091461182
DB026,Counting,node1_object_presence,DrawBench,,Three cats and three dogs sitting on the grass.,Trois chats et trois chiens assis dans l'herbe.,Three cats and three dogs sitting on the grass.,1.0,PASS,fr,0.8798085451126099
DB027,Positional,node2_spatial,DrawBench,,A train on top of a surfboard.,Un train sur une planche de surf.,A train on a surfboard.,0.984,PASS,fr,0.7531936168670654
DB028,Positional,node2_spatial,DrawBench,,A stop sign on the right of a refrigerator.,Un panneau d'arrêt à droite d'un réfrigérateur.,A stop sign to the right of a refrigerator.,0.9963,PASS,fr,0.8588950037956238
DB029,Positional,node2_spatial,DrawBench,,A pizza on the right of a suitcase.,Une pizza à droite d'une valise.,A pizza to the right of a suitcase.,0.9846,PASS,fr,0.8282492160797119
DB030,Positional,node2_spatial,DrawBench,,A wine glass on top of a dog.,Un verre à vin sur un chien.,A wine glass on a dog.,0.9713,PASS,fr,0.646999716758728
DB031,Positional,node2_spatial,DrawBench,,A tennis racket underneath a traffic light.,Une raquette de tennis sous un feu de signalisation.,A tennis racket under a traffic light.,0.9947,PASS,fr,0.8639207482337952
DB032,Positional,node2_spatial,DrawBench,,A giraffe underneath a microwave.,Une girafe sous un micro-ondes.,A giraffe under a microwave.,0.9959,PASS,fr,0.863877534866333
DB033,Positional,node2_spatial,DrawBench,,A couch on the left of a chair.,Un canapé à gauche d'une chaise.,A sofa to the left of a chair.,0.989,PASS,fr,0.819231390953064
DB034,Positional,node2_spatial,DrawBench,,An umbrella on top of a spoon.,Un parapluie sur une cuillère.,An umbrella on a spoon.,0.9851,PASS,fr,0.7898855209350586
DB035,Positional,node2_spatial,DrawBench,,A sheep to the right of a wine glass.,Un mouton à droite d'un verre à vin.,A sheep to the right of a wine glass.,1.0,PASS,fr,0.8282798528671265
DB036,Positional,node2_spatial,DrawBench,,A cat on the right of a tennis racket.,Un chat à droite d'une raquette de tennis.,A cat to the right of a tennis racket.,0.9754,PASS,fr,0.8365002870559692
DB037,Positional,node2_spatial,DrawBench,,A cat on the left of a dog.,Un chat à gauche d'un chien.,A cat to the left of a dog.,0.9916,PASS,fr,0.7420850396156311
DB038,Positional,node2_spatial,DrawBench,,A bicycle on top of a boat.,Un vélo sur un bateau.,A bike on a boat.,0.9677,PASS,fr,0.8502978086471558
