brief_id,industry,brand_name,prompt_text,prompt_text_en,required_objects,colour_attributes,spatial_constraints,required_text,style_descriptors,back_translated,cc_score,status,language,cometkiwi_score
MB001,tech_product,ZYRA,"Photo de produit représentant une montre connectée argentée placée à gauche d'un chargeur sans fil noir sur une surface blanche immaculée, avec « ZYRA » inscrit sur le cadran, éclairage de studio minimaliste","Product photography of a silver smartwatch placed to the left of a black wireless charger on a clean white surface, ZYRA on watch face, minimalist studio lighting","[""smartwatch"", ""wireless charger""]","{""smartwatch"": ""silver"", ""wireless charger"": ""black""}","[""smartwatch left of wireless charger""]","[""ZYRA""]","[""product photography"", ""minimalist"", ""white background"", ""studio lighting""]","Product photo showing a silver smartwatch placed to the left of a black wireless charger on a pristine white surface, with “ZYRA” inscribed on the dial, minimalist studio lighting",0.9768,PASS,fr,0.8576278686523438
MB002,tech_product,KESTRA,"Photo de produit prise en studio montrant un ordinateur portable noir avec une souris sans fil blanche à sa droite, posés sur un bureau gris ; le logo KESTRA figure sur le couvercle de l'ordinateur portable ; éclairage par le haut","Studio product shot of a black laptop with a white wireless mouse to its right on a gray desk, KESTRA logo on laptop lid, overhead lighting","[""laptop"", ""wireless mouse""]","{""laptop"": ""black"", ""wireless mouse"": ""white""}","[""wireless mouse right of laptop""]","[""KESTRA""]","[""studio lighting"", ""overhead shot"", ""gray background""]","Studio product photo showing a black laptop with a white wireless mouse to its right, both placed on a gray desk; the KESTRA logo appears on the laptop's lid; top lighting",0.9647,PASS,fr,0.846656322479248
MB003,tech_product,APEX,Photo de produit épurée représentant des écouteurs sans fil blancs posés au-dessus de leur boîtier de recharge noir sur une surface sombre ; la mention « APEX » est gravée sur le boîtier ; style minimaliste,"Clean product photography of white wireless earbuds placed above their black charging case on a dark surface, APEX engraved on case, minimal style","[""wireless earbuds"", ""charging case""]","{""wireless earbuds"": ""white"", ""charging case"": ""black""}","[""wireless earbuds above charging case""]","[""APEX""]","[""product photography"", ""dark background"", ""minimal""]",A clean product photo showing white wireless earbuds resting on top of their black charging case on a dark surface; the word “APEX” is engraved on the case; minimalist style,0.9316,PASS,fr,0.8647757768630981
MB004,tech_product,VOLT,"Photo de produit représentant un smartphone noir posé sur un socle en métal argenté, avec l'inscription « VOLT » imprimée au dos de l'appareil, éclairage de studio sur fond bleu","Product shot of a black smartphone mounted on a silver metal stand, VOLT printed on the back of the phone, studio lighting against a blue background","[""smartphone"", ""metal stand""]","{""smartphone"": ""black"", ""metal stand"": ""silver""}","[""smartphone above metal stand""]","[""VOLT""]","[""product photography"", ""studio lighting"", ""blue background""]","Product photo showing a black smartphone resting on a silver metal stand, with the word “VOLT” printed on the back of the device, under studio lighting against a blue background",0.8616,PASS,fr,0.8684508204460144
MB005,tech_product,PRISM,"Photographie de produit prise en plongée d'une tablette blanche avec un stylet doré à sa droite, posée sur une surface en marbre ; inscription « PRISM » sur le cadre de la tablette ; composition épurée","Overhead product photography of a white tablet with a gold stylus pen to its right on a marble surface, PRISM on tablet bezel, clean composition","[""tablet"", ""stylus pen""]","{""tablet"": ""white"", ""stylus pen"": ""gold""}","[""stylus pen right of tablet""]","[""PRISM""]","[""overhead shot"", ""marble surface"", ""clean composition""]","A top-down product photograph of a white tablet with a gold stylus to its right, resting on a marble surface; the word “PRISM” is inscribed on the tablet’s frame; minimalist composition",0.9071,PASS,fr,0.823655366897583
MB006,tech_product,SYNTH,"Photo de produit représentant un clavier mécanique noir, avec une souris sans fil rouge à sa droite, posés sur un tapis de bureau foncé ; logo SYNTH sur la barre d'espace du clavier ; style « gaming ».","Product photography of a black mechanical keyboard with a red wireless mouse to its right on a dark desk mat, SYNTH logo on keyboard space bar, gaming aesthetic","[""mechanical keyboard"", ""wireless mouse""]","{""mechanical keyboard"": ""black"", ""wireless mouse"": ""red""}","[""wireless mouse right of mechanical keyboard""]","[""SYNTH""]","[""product photography"", ""gaming aesthetic"", ""dark background""]","Product photo showing a black mechanical keyboard with a red wireless mouse to its right, both placed on a dark desk mat; the SYNTH logo on the keyboard's space bar; ""gaming"" style.",0.9788,PASS,fr,0.8394478559494019
MB007,tech_product,NEXUS,"Photo de produit lifestyle représentant une enceinte Bluetooth bleue, avec un smartphone noir posé à sa droite sur une table en bois ; l'inscription « NEXUS » figure sur le boîtier de l'enceinte, dans un éclairage chaleureux","Lifestyle product shot of a blue Bluetooth speaker with a black smartphone leaning to its right on a wooden table, NEXUS on speaker body, warm lighting","[""bluetooth speaker"", ""smartphone""]","{""bluetooth speaker"": ""blue"", ""smartphone"": ""black""}","[""smartphone right of bluetooth speaker""]","[""NEXUS""]","[""lifestyle photography"", ""wooden surface"", ""warm lighting""]","Lifestyle product photo showing a blue Bluetooth speaker with a black smartphone placed to its right on a wooden table; the word “NEXUS” appears on the speaker’s casing, bathed in warm lighting",0.8956,PASS,fr,0.8393292427062988
MB008,tech_product,KOVAL,"Photographie de produit en studio représentant un appareil photo reflex numérique noir, avec un objectif argenté placé à sa droite sur un socle blanc ; la mention « KOVAL » est gravée sur le barillet de l'objectif ; éclairage professionnel","Studio product photography of a black DSLR camera with a silver camera lens placed to its right on a white pedestal, KOVAL engraved on lens barrel, professional lighting","[""camera"", ""camera lens""]","{""camera"": ""black"", ""camera lens"": ""silver""}","[""camera lens right of camera""]","[""KOVAL""]","[""studio photography"", ""white background"", ""professional lighting""]",Studio product photograph showing a black digital SLR camera with a silver lens placed to its right on a white stand; the word “KOVAL” is engraved on the lens barrel; professional lighting,0.9583,PASS,fr,0.8506192564964294
MB009,tech_product,LUNEX,"Photo de produit représentant une manette de jeu blanche placée à gauche d'un casque de jeu noir sur une surface grise unie, avec le logo LUNEX sur la manette et un éclairage latéral spectaculaire","Product photography of a white gaming controller placed to the left of a black gaming headset on a clean gray surface, LUNEX logo on controller, dramatic side lighting","[""gaming controller"", ""gaming headset""]","{""gaming controller"": ""white"", ""gaming headset"": ""black""}","[""gaming controller left of gaming headset""]","[""LUNEX""]","[""product photography"", ""gray background"", ""dramatic lighting""]","Product photo showing a white game controller placed to the left of a black gaming headset on a solid gray surface, with the LUNEX logo on the controller and dramatic side lighting",0.9837,PASS,fr,0.7987339496612549
MB010,tech_product,KORE,Photo de produit épurée représentant un écran connecté noir avec une télécommande argentée posée en dessous sur une surface blanche ; le mot « KORE » s'affiche à l'écran ; éclairage de studio,"Clean product shot of a black smart display with a silver remote control placed below it on a white surface, KORE on display screen, studio lighting","[""smart display"", ""remote control""]","{""smart display"": ""black"", ""remote control"": ""silver""}","[""remote control below smart display""]","[""KORE""]","[""product photography"", ""white background"", ""studio lighting""]",Minimalist product photo showing a black smart TV with a silver remote control placed beneath it on a white surface; the word “KORE” is displayed on the screen; studio lighting,0.9318,PASS,fr,0.8263744115829468
