prompt_id,category,dag_node,source,human_score,caption_en,caption_translated,back_translated,cc_score,status,language
DB001,Colors,node3_attribute,DrawBench,,A black colored banana.,Une banane de couleur noire.,A black banana.,0.9773,PASS,fr
DB002,Colors,node3_attribute,DrawBench,,A blue bird and a brown bear.,Un oiseau bleu et un ours brun.,A blue bird and a brown bear.,1.0,PASS,fr
DB003,Colors,node3_attribute,DrawBench,,A red colored car.,Une voiture de couleur rouge.,A red car.,0.9809,PASS,fr
DB004,Colors,node3_attribute,DrawBench,,A blue cup and a green cell phone.,Un gobelet bleu et un téléphone portable vert.,A blue cup and a green mobile phone.,0.9861,PASS,fr
DB005,Colors,node3_attribute,DrawBench,,An orange colored sandwich.,Un sandwich de couleur orange.,An orange sandwich.,0.9687,PASS,fr
DB006,Colors,node3_attribute,DrawBench,,A white colored sandwich.,Un sandwich de couleur blanche.,A white sandwich.,0.9744,PASS,fr
DB007,Colors,node3_attribute,DrawBench,,A yellow colored giraffe.,Une girafe de couleur jaune.,A yellow giraffe.,0.9805,PASS,fr
DB008,Colors,node3_attribute,DrawBench,,A black colored car.,Une voiture de couleur noire.,A black car.,0.9791,PASS,fr
DB009,Colors,node3_attribute,DrawBench,,A black apple and a green backpack.,Une pomme noire et un sac à dos vert.,A black apple and a green rucksack.,0.9801,PASS,fr
DB010,Colors,node3_attribute,DrawBench,,A blue colored dog.,Un chien de couleur bleue.,A blue dog.,0.9794,PASS,fr
DB011,Colors,node3_attribute,DrawBench,,A pink colored car.,Une voiture de couleur rose.,A pink car.,0.9908,PASS,fr
DB012,Colors,node3_attribute,DrawBench,,A pink colored giraffe.,Une girafe de couleur rose.,A pink giraffe.,0.9823,PASS,fr
DB013,Colors,node3_attribute,DrawBench,,A red car and a white sheep.,Une voiture rouge et un mouton blanc.,A red car and a white sheep.,1.0,PASS,fr
DB014,Counting,node1_object_presence,DrawBench,,One car on the street.,Une voiture dans la rue.,A car in the street.,0.9876,PASS,fr
DB015,Counting,node1_object_presence,DrawBench,,One dog on the street.,Un chien dans la rue.,A dog in the street.,0.9877,PASS,fr
DB016,Counting,node1_object_presence,DrawBench,,One cat and two dogs sitting on the grass.,Un chat et deux chiens assis dans l'herbe.,A cat and two dogs sitting on the grass.,0.985,PASS,fr
DB017,Counting,node1_object_presence,DrawBench,,Two cars on the street.,Deux voitures dans la rue.,Two cars in the street.,0.9984,PASS,fr
DB018,Counting,node1_object_presence,DrawBench,,Four dogs on the street.,Quatre chiens dans la rue.,Four dogs in the street.,0.9985,PASS,fr
DB019,Counting,node1_object_presence,DrawBench,,Three cats and one dog sitting on the grass.,Trois chats et un chien assis dans l'herbe.,Three cats and a dog sitting on the grass.,0.9981,PASS,fr
DB020,Counting,node1_object_presence,DrawBench,,Four cars on the street.,Quatre voitures dans la rue.,Four cars in the street.,0.9984,PASS,fr
DB021,Counting,node1_object_presence,DrawBench,,Two cats and one dog sitting on the grass.,Deux chats et un chien assis dans l'herbe.,Two cats and a dog sitting on the grass.,0.9965,PASS,fr
DB022,Counting,node1_object_presence,DrawBench,,Two cats and three dogs sitting on the grass.,Deux chats et trois chiens assis dans l'herbe.,Two cats and three dogs sitting on the grass.,1.0,PASS,fr
DB023,Counting,node1_object_presence,DrawBench,,Three cats and two dogs sitting on the grass.,Trois chats et deux chiens assis dans l'herbe.,Three cats and two dogs sitting on the grass.,1.0,PASS,fr
DB024,Counting,node1_object_presence,DrawBench,,Three cars on the street.,Trois voitures dans la rue.,Three cars in the street.,0.9984,PASS,fr
DB025,Counting,node1_object_presence,DrawBench,,Five dogs on the street.,Cinq chiens dans la rue.,Five dogs in the street.,0.9983,PASS,fr
DB026,Counting,node1_object_presence,DrawBench,,Three cats and three dogs sitting on the grass.,Trois chats et trois chiens assis dans l'herbe.,Three cats and three dogs sitting on the grass.,1.0,PASS,fr
DB027,Positional,node2_spatial,DrawBench,,A train on top of a surfboard.,Un train sur une planche de surf.,A train on a surfboard.,0.984,PASS,fr
DB028,Positional,node2_spatial,DrawBench,,A stop sign on the right of a refrigerator.,Un panneau d'arrêt à droite d'un réfrigérateur.,A stop sign to the right of a refrigerator.,0.9963,PASS,fr
DB029,Positional,node2_spatial,DrawBench,,A pizza on the right of a suitcase.,Une pizza à droite d'une valise.,A pizza to the right of a suitcase.,0.9846,PASS,fr
DB030,Positional,node2_spatial,DrawBench,,A wine glass on top of a dog.,Un verre à vin sur un chien.,A wine glass on a dog.,0.9713,PASS,fr
DB031,Positional,node2_spatial,DrawBench,,A tennis racket underneath a traffic light.,Une raquette de tennis sous un feu de signalisation.,A tennis racket under a traffic light.,0.9947,PASS,fr
DB032,Positional,node2_spatial,DrawBench,,A giraffe underneath a microwave.,Une girafe sous un micro-ondes.,A giraffe under a microwave.,0.9959,PASS,fr
