brief_id,industry,brand_name,prompt_text,prompt_text_en,required_objects,colour_attributes,spatial_constraints,required_text,style_descriptors,back_translated,cc_score,status,language,cometkiwi_score
MB001,tech_product,ZYRA,صورة منتج لساعة ذكية فضية موضوعة على يسار شاحن لاسلكي أسود فوق سطح أبيض نظيف، مع ظهور اسم «ZYRA» على وجه الساعة، وإضاءة استوديو بسيطة,"Product photography of a silver smartwatch placed to the left of a black wireless charger on a clean white surface, ZYRA on watch face, minimalist studio lighting","[""smartwatch"", ""wireless charger""]","{""smartwatch"": ""silver"", ""wireless charger"": ""black""}","[""smartwatch left of wireless charger""]","[""ZYRA""]","[""product photography"", ""minimalist"", ""white background"", ""studio lighting""]","A product photo of a silver smartwatch placed to the left of a black wireless charger on a clean white surface, with the name “ZYRA” visible on the watch face and simple studio lighting",0.9508,PASS,ar,0.7707286477088928
MB002,tech_product,KESTRA,صورة منتج تم التقاطها في الاستوديو لجهاز كمبيوتر محمول أسود اللون، مع ماوس لاسلكي أبيض على يمينه فوق مكتب رمادي اللون، وشعار KESTRA على غطاء الكمبيوتر المحمول، مع إضاءة علوية,"Studio product shot of a black laptop with a white wireless mouse to its right on a gray desk, KESTRA logo on laptop lid, overhead lighting","[""laptop"", ""wireless mouse""]","{""laptop"": ""black"", ""wireless mouse"": ""white""}","[""wireless mouse right of laptop""]","[""KESTRA""]","[""studio lighting"", ""overhead shot"", ""gray background""]","A studio-shot product photo of a black laptop, with a white wireless mouse to its right on a gray desk; the KESTRA logo is visible on the laptop’s lid, with overhead lighting",0.9562,PASS,ar,0.7787648439407349
MB003,tech_product,APEX,صورة منتج واضحة لسماعات أذن لاسلكية بيضاء موضوعة فوق علبة الشحن السوداء الخاصة بها على سطح داكن، مع وجود نقش «APEX» على العلبة، بأسلوب بسيط,"Clean product photography of white wireless earbuds placed above their black charging case on a dark surface, APEX engraved on case, minimal style","[""wireless earbuds"", ""charging case""]","{""wireless earbuds"": ""white"", ""charging case"": ""black""}","[""wireless earbuds above charging case""]","[""APEX""]","[""product photography"", ""dark background"", ""minimal""]","A clear product photo of white wireless earbuds placed on top of their black charging case on a dark surface, with “APEX” engraved on the case in a simple style",0.9578,PASS,ar,0.7875727415084839
MB004,tech_product,VOLT,صورة منتج لهاتف ذكي أسود مثبت على حامل معدني فضي، مع كلمة «VOLT» مطبوعة على ظهر الهاتف، وإضاءة استوديو على خلفية زرقاء,"Product shot of a black smartphone mounted on a silver metal stand, VOLT printed on the back of the phone, studio lighting against a blue background","[""smartphone"", ""metal stand""]","{""smartphone"": ""black"", ""metal stand"": ""silver""}","[""smartphone above metal stand""]","[""VOLT""]","[""product photography"", ""studio lighting"", ""blue background""]","A product photo of a black smartphone mounted on a silver metal stand, with the word “VOLT” printed on the back of the phone, and studio lighting against a blue background",0.9311,PASS,ar,0.796654999256134
MB005,tech_product,PRISM,صورة منتج ملتقطة من أعلى لقرص أبيض يظهر إلى يمينه قلم ستايلس ذهبي على سطح رخامي، مع ظهور كلمة «PRISM» على حافة القرص، وتركيب بسيط,"Overhead product photography of a white tablet with a gold stylus pen to its right on a marble surface, PRISM on tablet bezel, clean composition","[""tablet"", ""stylus pen""]","{""tablet"": ""white"", ""stylus pen"": ""gold""}","[""stylus pen right of tablet""]","[""PRISM""]","[""overhead shot"", ""marble surface"", ""clean composition""]","A top-down product photo of a white disc with a gold Stylus pen to its right on a marble surface; the word “PRISM” appears on the edge of the disc, and the composition is simple.",0.8762,PASS,ar,0.7351231575012207
MB006,tech_product,SYNTH,صورة منتج تُظهر لوحة مفاتيح ميكانيكية سوداء مع ماوس لاسلكي أحمر إلى يمينها على سجادة مكتب داكنة اللون، وشعار SYNTH على مفتاح المسافة في لوحة المفاتيح، بتصميم مستوحى من عالم الألعاب,"Product photography of a black mechanical keyboard with a red wireless mouse to its right on a dark desk mat, SYNTH logo on keyboard space bar, gaming aesthetic","[""mechanical keyboard"", ""wireless mouse""]","{""mechanical keyboard"": ""black"", ""wireless mouse"": ""red""}","[""wireless mouse right of mechanical keyboard""]","[""SYNTH""]","[""product photography"", ""gaming aesthetic"", ""dark background""]","A product photo showing a black mechanical keyboard with a red wireless mouse to its right on a dark-colored desk mat, featuring the SYNTH logo on the keyboard’s spacebar, with a design inspired by the world of gaming",0.917,PASS,ar,0.7798899412155151
MB007,tech_product,NEXUS,صورة ترويجية لمنتج من فئة أسلوب الحياة تُظهر مكبر صوت بلوتوث أزرق اللون، مع هاتف ذكي أسود مائل إلى يمينه على طاولة خشبية، وكلمة «NEXUS» مكتوبة على هيكل مكبر الصوت، وإضاءة دافئة,"Lifestyle product shot of a blue Bluetooth speaker with a black smartphone leaning to its right on a wooden table, NEXUS on speaker body, warm lighting","[""bluetooth speaker"", ""smartphone""]","{""bluetooth speaker"": ""blue"", ""smartphone"": ""black""}","[""smartphone right of bluetooth speaker""]","[""NEXUS""]","[""lifestyle photography"", ""wooden surface"", ""warm lighting""]","A promotional image for a lifestyle product showing a blue Bluetooth speaker, with a black smartphone tilted to its right on a wooden table; the word “NEXUS” is written on the speaker’s body, and warm lighting is visible",0.8061,REVIEW,ar,0.813186526298523
MB008,tech_product,KOVAL,صورة منتج تم التقاطها في الاستوديو لكاميرا DSLR سوداء اللون مع عدسة فضية موضوعة على يمينها فوق قاعدة بيضاء، وكلمة «KOVAL» محفورة على جسم العدسة، مع إضاءة احترافية,"Studio product photography of a black DSLR camera with a silver camera lens placed to its right on a white pedestal, KOVAL engraved on lens barrel, professional lighting","[""camera"", ""camera lens""]","{""camera"": ""black"", ""camera lens"": ""silver""}","[""camera lens right of camera""]","[""KOVAL""]","[""studio photography"", ""white background"", ""professional lighting""]","A product photo taken in a studio of a black DSLR camera with a silver lens positioned to its right on a white base; the word “KOVAL” is engraved on the lens barrel, with professional lighting",0.9444,PASS,ar,0.7808682322502136
MB009,tech_product,LUNEX,صورة منتج تُظهر جهاز تحكم ألعاب أبيض موضوعًا على يسار سماعة رأس ألعاب سوداء فوق سطح رمادي نظيف، مع وجود شعار LUNEX على جهاز التحكم، وإضاءة جانبية مثيرة,"Product photography of a white gaming controller placed to the left of a black gaming headset on a clean gray surface, LUNEX logo on controller, dramatic side lighting","[""gaming controller"", ""gaming headset""]","{""gaming controller"": ""white"", ""gaming headset"": ""black""}","[""gaming controller left of gaming headset""]","[""LUNEX""]","[""product photography"", ""gray background"", ""dramatic lighting""]","A product photo showing a white game controller placed to the left of a black gaming headset on a clean gray surface, with the LUNEX logo on the controller and striking side lighting",0.9761,PASS,ar,0.7796039581298828
MB010,tech_product,KORE,صورة واضحة لمنتج عبارة عن شاشة ذكية سوداء مع جهاز تحكم عن بُعد فضي موضوع أسفلها على سطح أبيض، وكلمة «KORE» معروضة على الشاشة، وإضاءة استوديو,"Clean product shot of a black smart display with a silver remote control placed below it on a white surface, KORE on display screen, studio lighting","[""smart display"", ""remote control""]","{""smart display"": ""black"", ""remote control"": ""silver""}","[""remote control below smart display""]","[""KORE""]","[""product photography"", ""white background"", ""studio lighting""]","A clear image of a product: a black smart screen with a silver remote control placed beneath it on a white surface; the word “KORE” is displayed on the screen, and studio lighting is visible.",0.9011,PASS,ar,0.7737579345703125
