rating_id,pass,overall,objects,spatial,colour,typography,brief_id,model,language,output_path,node1_pass_configC,node1_score_configC,node1_short_circuit_configC,node2_pass_configC,node2_score_configC,node2_skipped_configC,node3_pass_configC,node3_score_configC,node3_skipped_configC,node4_pass_configC,node4_score_configC,node4_skipped_configC,node4_skipped_reason_configC,node4_clcg_interpretable_configC,node5_pass_configC,node5_score_configC,compliance_score_configC,failure_diagnosis_configC,compliant,output_path_configC,node1_pass_configB,node1_score_configB,node1_short_circuit_configB,node2_pass_configB,node2_score_configB,node2_skipped_configB,node3_pass_configB,node3_score_configB,node3_skipped_configB,node4_pass_configB,node4_score_configB,node4_skipped_configB,node4_skipped_reason_configB,node4_clcg_interpretable_configB,node5_pass_configB,node5_score_configB,compliance_score_configB,failure_diagnosis_configB,clip_score_configA,clip_score_norm_configA
R1-001,1,4,4,3,4,4,MB074,sd15,fr,data\generated_images\phase2b\sd15\fr\MB074_seed42.png,True,1.0,False,True,1.0,False,False,0.0,False,,0.0,True,sd15_architectural,False,True,0.6033,0.5603,[MB074] NON-COMPLIANT — Node3: colour attributes not satisfied; Node4: SD v1.5 architectural limitation — text rendering unreliable (Phase 1C accuracy=0.1667); scored as 0.0,True,data\generated_images\phase2b\sd15\fr\MB074_seed42.png,True,1.0,False,True,1.0,False,False,0.0,False,,0.0,True,sd15_architectural,False,True,0.6033,0.5603,[MB074] NON-COMPLIANT — Node3: colour attributes not satisfied; Node4: SD v1.5 architectural limitation — text rendering unreliable (Phase 1C accuracy=0.1667); scored as 0.0 in compliance score; excluded from CLCG heatmap in Phase 2B,29.2956,0.44238699945756765
R1-002,1,3,3,3,4,2,MB011,sd15,fr,data\generated_images\phase2b\sd15\fr\MB011_seed42.png,False,0.5,True,True,1.0,False,False,0.5,False,,0.0,True,sd15_architectural,False,True,0.6144,0.5114,[MB011] NON-COMPLIANT — Node1: required objects absent; (informational only — flat pipeline: Nodes 2-5 still executed); Node3: colour attributes not satisfied; Node4: SD v1.5 architectural limitation — text rendering unreliable (Phase 1C accuracy=0.1667); scored as 0.0,True,data\generated_images\phase2b\sd15\fr\MB011_seed42.png,False,0.5,True,,0.0,True,,0.0,True,,0.0,True,short_circuit,False,,0.0,0.15,[MB011] NON-COMPLIANT — Node1: required objects absent (short-circuit triggered); Node2/Node3: skipped — object presence failed upstream,36.3618,0.7049168146590479
R1-003,1,3,3,3,3,3,MB005,sd15,de,data\generated_images\phase2b\sd15\de\MB005_seed42.png,True,1.0,False,True,1.0,False,False,0.5,False,,0.0,True,sd15_architectural,False,True,0.604,0.6604,[MB005] NON-COMPLIANT — Node3: colour attributes not satisfied; Node4: SD v1.5 architectural limitation — text rendering unreliable (Phase 1C accuracy=0.1667); scored as 0.0,True,data\generated_images\phase2b\sd15\de\MB005_seed42.png,True,1.0,False,True,1.0,False,False,0.5,False,,0.0,True,sd15_architectural,False,True,0.604,0.6604,[MB005] NON-COMPLIANT — Node3: colour attributes not satisfied; Node4: SD v1.5 architectural limitation — text rendering unreliable (Phase 1C accuracy=0.1667); scored as 0.0 in compliance score; excluded from CLCG heatmap in Phase 2B,33.0158,0.5806032144688249
R1-004,1,2,4,2,3,2,MB109,sd15,fr,data\generated_images\phase2b\sd15\fr\MB109_seed42.png,False,0.5,True,False,0.0,False,False,0.5,False,,0.0,True,sd15_architectural,False,True,0.6054,0.3105,[MB109] NON-COMPLIANT — Node1: required objects absent; (informational only — flat pipeline: Nodes 2-5 still executed); Node2: spatial constraints not satisfied; Node3: colour attributes not satisfied; Node4: SD v1.5 architectural limitation — text rendering unreliable (Phase 1C accuracy=0.1667); scored as 0.0,False,data\generated_images\phase2b\sd15\fr\MB109_seed42.png,False,0.5,True,,0.0,True,,0.0,True,,0.0,True,short_circuit,False,,0.0,0.15,[MB109] NON-COMPLIANT — Node1: required objects absent (short-circuit triggered); Node2/Node3: skipped — object presence failed upstream,26.6329,0.3434599751818634
R1-005,1,5,5,5,4,5,MB067,flux,de,data\generated_images\phase2b\flux\de\MB067_seed42.png,True,1.0,False,True,1.0,False,True,1.0,False,True,1.0,False,,True,True,0.6207,0.9621,[MB067] COMPLIANT — all constraints satisfied,True,data\generated_images\phase2b\flux\de\MB067_seed42.png,True,1.0,False,True,1.0,False,True,1.0,False,True,1.0,False,,True,True,0.6207,0.9621,[MB067] COMPLIANT — all constraints satisfied,36.8326,0.7224083995274151
R1-006,1,5,5,5,5,4,MB089,flux,fr,data\generated_images\phase2b\flux\fr\MB089_seed42.png,True,1.0,False,False,0.0,False,True,1.0,False,True,1.0,False,,True,True,0.6233,0.7623,[MB089] NON-COMPLIANT — Node2: spatial constraints not satisfied,True,data\generated_images\phase2b\flux\fr\MB089_seed42.png,True,1.0,False,False,0.0,False,True,1.0,False,True,1.0,False,,True,True,0.6233,0.7623,[MB089] NON-COMPLIANT — Node2: spatial constraints not satisfied,36.1111,0.6956025828695412
R1-007,1,2,2,2,2,2,MB096,flux,fr,data\generated_images\phase2b\flux\fr\MB096_seed42.png,False,0.0,True,False,0.0,False,False,0.0,False,False,0.0,False,,True,True,0.6097,0.061,[MB096] NON-COMPLIANT — Node1: required objects absent; (informational only — flat pipeline: Nodes 2-5 still executed); Node2: spatial constraints not satisfied; Node3: colour attributes not satisfied; Node4: required text not legibly rendered,False,data\generated_images\phase2b\flux\fr\MB096_seed42.png,False,0.0,True,,0.0,True,,0.0,True,,0.0,True,short_circuit,True,,0.0,0.0,[MB096] NON-COMPLIANT — Node1: required objects absent (short-circuit triggered); Node2/Node3: skipped — object presence failed upstream,32.2827,0.5533664241820788
R1-008,1,1,1,1,1,1,MB023,sd15,de,data\generated_images\phase2b\sd15\de\MB023_seed42.png,False,0.0,True,False,0.0,False,False,0.5,False,,0.0,True,sd15_architectural,False,True,0.5959,0.1596,[MB023] NON-COMPLIANT — Node1: required objects absent; (informational only — flat pipeline: Nodes 2-5 still executed); Node2: spatial constraints not satisfied; Node3: colour attributes not satisfied; Node4: SD v1.5 architectural limitation — text rendering unreliable (Phase 1C accuracy=0.1667); scored as 0.0,False,data\generated_images\phase2b\sd15\de\MB023_seed42.png,False,0.0,True,,0.0,True,,0.0,True,,0.0,True,short_circuit,False,,0.0,0.0,[MB023] NON-COMPLIANT — Node1: required objects absent (short-circuit triggered); Node2/Node3: skipped — object presence failed upstream,24.2835,0.2561729541756143
R1-009,1,3,3,3,3,1,MB048,sd15,fr,data\generated_images\phase2b\sd15\fr\MB048_seed42.png,False,0.5,True,True,1.0,False,True,1.0,False,,0.0,True,sd15_architectural,False,True,0.6109,0.6111,[MB048] NON-COMPLIANT — Node1: required objects absent; (informational only — flat pipeline: Nodes 2-5 still executed); Node4: SD v1.5 architectural limitation — text rendering unreliable (Phase 1C accuracy=0.1667); scored as 0.0,True,data\generated_images\phase2b\sd15\fr\MB048_seed42.png,False,0.5,True,,0.0,True,,0.0,True,,0.0,True,short_circuit,False,,0.0,0.15,[MB048] NON-COMPLIANT — Node1: required objects absent (short-circuit triggered); Node2/Node3: skipped — object presence failed upstream,35.7095,0.6806819786147912
R1-010,1,4,4,4,5,3,MB090,flux,es,data\generated_images\phase2b\flux\es\MB090_seed42.png,True,1.0,False,True,1.0,False,True,1.0,False,False,0.2857,False,,True,True,0.6115,0.8183,[MB090] NON-COMPLIANT — Node4: required text not legibly rendered,True,data\generated_images\phase2b\flux\es\MB090_seed42.png,True,1.0,False,True,1.0,False,True,1.0,False,False,0.2857,False,,True,True,0.6115,0.8183,[MB090] NON-COMPLIANT — Node4: required text not legibly rendered,36.1345,0.696471960707094
R1-011,1,1,1,1,1,1,MB041,sd15,de,data\generated_images\phase2b\sd15\de\MB041_seed42.png,False,0.0,True,False,0.0,False,False,0.0,False,,0.0,True,sd15_architectural,False,True,0.5939,0.0594,[MB041] NON-COMPLIANT — Node1: required objects absent; (informational only — flat pipeline: Nodes 2-5 still executed); Node2: spatial constraints not satisfied; Node3: colour attributes not satisfied; Node4: SD v1.5 architectural limitation — text rendering unreliable (Phase 1C accuracy=0.1667); scored as 0.0,False,data\generated_images\phase2b\sd15\de\MB041_seed42.png,False,0.0,True,,0.0,True,,0.0,True,,0.0,True,short_circuit,False,,0.0,0.0,[MB041] NON-COMPLIANT — Node1: required objects absent (short-circuit triggered); Node2/Node3: skipped — object presence failed upstream,29.7218,0.4582215650287192
R1-012,1,5,5,5,5,4,MB007,flux,fr,data\generated_images\phase2b\flux\fr\MB007_seed42.png,True,1.0,False,True,1.0,False,True,1.0,False,True,1.0,False,,True,True,0.6251,0.9625,[MB007] COMPLIANT — all constraints satisfied,True,data\generated_images\phase2b\flux\fr\MB007_seed42.png,True,1.0,False,True,1.0,False,True,1.0,False,True,1.0,False,,True,True,0.6251,0.9625,[MB007] COMPLIANT — all constraints satisfied,37.6227,0.7517629050594818
R1-013,1,2,2,2,2,2,MB056,sd15,de,data\generated_images\phase2b\sd15\de\MB056_seed42.png,False,0.0,True,False,0.0,False,False,0.0,False,,0.0,True,sd15_architectural,False,True,0.5973,0.0597,[MB056] NON-COMPLIANT — Node1: required objects absent; (informational only — flat pipeline: Nodes 2-5 still executed); Node2: spatial constraints not satisfied; Node3: colour attributes not satisfied; Node4: SD v1.5 architectural limitation — text rendering unreliable (Phase 1C accuracy=0.1667); scored as 0.0,False,data\generated_images\phase2b\sd15\de\MB056_seed42.png,False,0.0,True,,0.0,True,,0.0,True,,0.0,True,short_circuit,False,,0.0,0.0,[MB056] NON-COMPLIANT — Node1: required objects absent (short-circuit triggered); Node2/Node3: skipped — object presence failed upstream,30.5801,0.49010989827536244
R1-014,1,3,3,3,3,3,MB106,flux,de,data\generated_images\phase2b\flux\de\MB106_seed42.png,False,0.5,True,False,0.0,False,False,0.5,False,False,0.0,False,,True,True,0.6303,0.313,[MB106] NON-COMPLIANT — Node1: required objects absent; (informational only — flat pipeline: Nodes 2-5 still executed); Node2: spatial constraints not satisfied; Node3: colour attributes not satisfied; Node4: required text not legibly rendered,False,data\generated_images\phase2b\flux\de\MB106_seed42.png,False,0.5,True,,0.0,True,,0.0,True,,0.0,True,short_circuit,True,,0.0,0.15,[MB106] NON-COMPLIANT — Node1: required objects absent (short-circuit triggered); Node2/Node3: skipped — object presence failed upstream,35.1526,0.6599915291390187
R1-015,1,4,4,4,4,4,MB120,sd15,es,data\generated_images\phase2b\sd15\es\MB120_seed42.png,False,0.5,True,True,1.0,False,False,0.5,False,,0.0,True,sd15_architectural,False,True,0.607,0.5107,[MB120] NON-COMPLIANT — Node1: required objects absent; (informational only — flat pipeline: Nodes 2-5 still executed); Node3: colour attributes not satisfied; Node4: SD v1.5 architectural limitation — text rendering unreliable (Phase 1C accuracy=0.1667); scored as 0.0,True,data\generated_images\phase2b\sd15\es\MB120_seed42.png,False,0.5,True,,0.0,True,,0.0,True,,0.0,True,short_circuit,False,,0.0,0.15,[MB120] NON-COMPLIANT — Node1: required objects absent (short-circuit triggered); Node2/Node3: skipped — object presence failed upstream,33.5294,0.5996849434161348
