prompt_id,category,image_id,caption_en,caption_translated,back_translated,cc_score,status,language,cometkiwi_score
P001,people,235836,A boy playing baseball about to hit a ball.,Un niño jugando al béisbol a punto de golpear una pelota.,A boy playing baseball about to hit a ball.,1.0,PASS,es,0.7984573841094971
P002,people,186449,An elderly woman sits on a bench with a crowd behind her.,Una anciana sentada en un banco con una multitud detrás.,An old woman sitting on a bench with a crowd behind her.,0.9891,PASS,es,0.8595567941665649
P003,people,17436,A man sitting on a bench with a tall building behind him.,Un hombre sentado en un banco con un edificio alto detrás.,A man sitting on a bench with a tall building behind him.,1.0,PASS,es,0.8757975101470947
P004,people,161781,A woman in gear skiing down a snowy slope,Una mujer en marcha esquiando por una ladera nevada,A woman on the move skiing down a snowy slope,0.9825,PASS,es,0.6099727153778076
P005,people,2473,A man flying through the air while riding skis.,Un hombre volando por los aires mientras monta en esquís.,A man flying through the air while riding skis.,1.0,PASS,es,0.851271390914917
P006,people,438907,A man is doing a trick on a skateboard.,Un hombre está haciendo un truco en un monopatín.,A man is doing a trick on a skateboard.,1.0,PASS,es,0.8628509640693665
P007,people,476415,A man wearing a white shirt and tie standing in  a room.,Un hombre con camisa blanca y corbata de pie en una habitación.,A man in a white shirt and tie standing in a room.,0.9954,PASS,es,0.8630610704421997
P008,people,572462,A group of people standing inside of a moving tram.,Un grupo de personas de pie en el interior de un tranvía en marcha.,A group of people standing inside a moving tram.,0.9992,PASS,es,0.8677506446838379
P009,people,259690,A handicapped man in a wheelchair is being helped to hold the bat by another man on a tee ball,Otro hombre ayuda a un discapacitado en silla de ruedas a sujetar el bate en un tee ball.,Another man helps a disabled man in a wheelchair hold the bat on a tee ball.,0.9822,PASS,es,0.80702805519104
P010,people,447187,A man is swinging a bat a ball being pitched at him.,Un hombre batea una pelota que le lanzan.,A man bats at a ball thrown to him.,0.9296,PASS,es,0.7562599182128906
P011,people,308394,An older woman riding a train while sitting under it's window.,Una mujer mayor montada en un tren y sentada bajo su ventanilla.,An older woman riding a train and sitting under its window.,0.9943,PASS,es,0.860004186630249
P012,people,240250,A woman sitting down at a table with pizza.,Una mujer sentada en una mesa con pizza.,A woman sitting at a table with pizza.,0.9974,PASS,es,0.857006311416626
P013,people,554156,A man holding a tennis racket in the air,Un hombre sostiene una raqueta de tenis en el aire,A man holds a tennis racket in the air.,0.9959,PASS,es,0.8745261430740356
P014,vehicles,152771,A bike in the middle of an empty parking lot next to trees,Una bicicleta en medio de un aparcamiento vacío junto a árboles,A bicycle in the middle of an empty car park next to trees.,0.9746,PASS,es,0.8711594343185425
P015,vehicles,86220,A car and a public transit vehicle on a road.,Un coche y un vehículo de transporte público en una carretera.,A car and a public transport vehicle on a road.,0.9962,PASS,es,0.8699662685394287
P016,vehicles,245448,A man standing with his motorcycle outside of a repair shop.,Un hombre con su motocicleta en la puerta de un taller.,A man with his motorbike outside a garage.,0.9311,PASS,es,0.8278751969337463
P017,vehicles,571264,a man is standing next to a motorcycle outside,un hombre está de pie junto a una motocicleta en el exterior,a man stands next to a motorbike outside,0.9831,PASS,es,0.8398720622062683
P018,vehicles,89556,A couple of silver cars parked around a fire hydrant.,Un par de coches plateados aparcados alrededor de una boca de incendios.,A pair of silver cars parked around a fire hydrant.,0.9824,PASS,es,0.7775267362594604
P019,vehicles,269632,A bright yellow transit bus is making it's way down a street in the dark.,Un autobús de color amarillo brillante recorre una calle en la oscuridad.,A bright yellow bus drives down a street in the dark.,0.966,PASS,es,0.847125232219696
P020,vehicles,574425,Two old fashioned buses parked on the side of the road.,Dos autobuses antiguos aparcados a un lado de la carretera.,Two old buses parked at the side of the road.,0.9901,PASS,es,0.876087486743927
P021,vehicles,48924,A dirt bike parked near a tent in the woods.,Una moto de cross aparcada cerca de una tienda en el bosque.,A dirt bike parked near a tent in the forest.,0.9901,PASS,es,0.7756869792938232
P022,vehicles,516143,a green and white bus is on the street,un autobús verde y blanco está en la calle,a green and white bus is on the street,1.0,PASS,es,0.8537880778312683
P023,vehicles,259830,A moped is parked next to bicycles on a sidewalk.,Un ciclomotor está aparcado junto a bicicletas en una acera.,A moped is parked next to bicycles on a pavement.,0.9921,PASS,es,0.8864588141441345
P024,vehicles,286507,A long red train traveling through snow covered country side.,Un largo tren rojo recorre un paisaje nevado.,A long red train runs through a snowy landscape.,0.9795,PASS,es,0.8769271373748779
P025,vehicles,134722,Fast commuter train moving past an outdoor platform.,Tren rápido de cercanías pasando por un andén al aire libre.,Fast local train passing through an open-air platform.,0.9775,PASS,es,0.8354231119155884
P026,vehicles,137727,A motorized cart fills a train with luggage,Un carro motorizado llena de equipaje un tren,A motorised carriage fills a train with luggage,0.964,PASS,es,0.858703076839447
P027,food,460929,A hot dog with mustard is next to a bottle of soda.,Un perrito caliente con mostaza está junto a una botella de refresco.,A hot dog with mustard is next to a bottle of soft drink.,0.9926,PASS,es,0.7842286825180054
P028,food,47112,A dining table has a large pizza and wine glasses.,Una mesa de comedor tiene una pizza grande y copas de vino.,A dining table has a large pizza and wine glasses.,1.0,PASS,es,0.8717854619026184
P029,food,99053,"A bowl of noodles, meat and broccoli with a fork.","Un bol de fideos, carne y brócoli con un tenedor.","A bowl of noodles, meat and broccoli with a fork.",1.0,PASS,es,0.7609238624572754
P030,food,91406,Several women gathered together posing with 6 pizzas in take out boxes.,Varias mujeres reunidas posando con 6 pizzas en cajas para llevar.,Several women gathered together posing with 6 pizzas in take-away boxes.,0.9935,PASS,es,0.8127349615097046
P031,food,108253,A plate of cheese bread next to bread sticks and wine.,Un plato de pan con queso junto a palitos de pan y vino.,A plate of bread and cheese with breadsticks and wine.,0.9852,PASS,es,0.8524307012557983
P032,food,371472,A pile of pineapple sitting next to a pile of bananas.,Un montón de piñas junto a un montón de plátanos.,A pile of pineapples next to a pile of bananas.,0.9915,PASS,es,0.8007745146751404
P033,food,66706,A plate topped with banana slice covered pan cakes.,Un plato cubierto con panqueques cubiertos de rodajas de plátano.,A plate covered with pancakes topped with banana slices.,0.961,PASS,es,0.7140588760375977
P034,food,348708,The banana is laying next to an almost empty bowl.,El plátano está junto a un cuenco casi vacío.,The banana is next to an almost empty bowl.,0.9846,PASS,es,0.8709612488746643
P035,food,323151,A pizza sitting on top of a white plate next to a glass of beer.,Una pizza sobre un plato blanco junto a un vaso de cerveza.,A pizza on a white plate next to a glass of beer.,0.985,PASS,es,0.8627702593803406
P036,food,286908,Various dishes of food sit in bowls on a table.,Varios platos de comida en cuencos sobre una mesa.,Several plates of food in bowls on a table.,0.9753,PASS,es,0.7190555930137634
P037,food,112378,A wooden table topped with a bunch of green bananas.,Una mesa de madera cubierta con un racimo de plátanos verdes.,A wooden table covered with a bunch of green bananas.,0.9943,PASS,es,0.8695425987243652
P038,food,75456,A pizza with Canadian bacon and pineapple in a fluted pan.,Una pizza con bacon canadiense y piña en una sartén acanalada.,A pizza with Canadian bacon and pineapple in a fluted pan.,1.0,PASS,es,0.7561795115470886
P039,animals,193162,a man on a three wheeler following behind a two dogs and a cow,un hombre en un triciclo siguiendo a dos perros y una vaca,a man on a tricycle following two dogs and a cow,0.9723,PASS,es,0.8548943996429443
P040,animals,90062,A black and white cow stands in a paddock with firewood in the background.,Una vaca blanca y negra en un prado con leña al fondo.,A black and white cow in a meadow with firewood in the background.,0.9427,PASS,es,0.7104483842849731
P041,animals,155571,An elephant walking across a green grass covered field.,Un elefante camina por un campo cubierto de hierba verde.,An elephant walks through a field covered with green grass.,0.9861,PASS,es,0.8781027793884277
P042,animals,357060,A bird is trying to find food in the water.,Un pájaro intenta encontrar comida en el agua.,A bird tries to find food in the water.,0.993,PASS,es,0.8936690092086792
P043,animals,345261,Two giraffe standing on to of a dry grass covered field.,Dos jirafas de pie sobre un campo cubierto de hierba seca.,Two giraffes standing on a field covered with dry grass.,0.9853,PASS,es,0.776742160320282
P044,animals,347664,A herd of cattle walking across a sandy beach near the ocean.,Un rebaño de ganado caminando por una playa de arena cerca del océano.,A herd of cattle walking along a sandy beach near the ocean.,0.9987,PASS,es,0.8796354532241821
P045,animals,222235,A cat is playing with a plan in a park.,Un gato juega con un plan en un parque.,A cat plays with a plan in a park.,0.9972,PASS,es,0.8094730377197266
P046,animals,180011,"Four young giraffes in a zoo, with one of them being fed leaves by a person","Cuatro jirafas jóvenes en un zoo, con una de ellas siendo alimentada con hojas por una persona","Four young giraffes at a zoo, with one of them being fed leaves by a person.",0.9958,PASS,es,0.881044864654541
P047,animals,512648,A brown cow under a tree in a grassy area.,Una vaca parda bajo un árbol en una zona de hierba.,A brown cow under a tree in a grassy area.,1.0,PASS,es,0.8705942034721375
P048,animals,547383,Two adult sheep lay on the green grass.,Dos ovejas adultas yacen sobre la hierba verde.,Two adult sheep lie on the green grass.,0.992,PASS,es,0.8870851993560791
P049,animals,357081,A photograph of two cows grazing on a green pasture.,Fotografía de dos vacas pastando en un prado verde.,Photograph of two cows grazing in a green meadow.,0.9883,PASS,es,0.8807631731033325
P050,animals,1675,A cat resting on an open laptop computer.,Un gato descansando sobre un ordenador portátil abierto.,A cat resting on an open laptop computer.,1.0,PASS,es,0.8627213835716248
