model,language,metric,n_prompts,spearman_rho,p_value
sd15,en,clip_score,50,0.3466,0.0137
sd15,en,mclip_score,50,0.2247,0.1167
sd15,de,clip_score,50,0.0832,0.5656
sd15,de,mclip_score,50,0.1341,0.3532
sd15,fr,clip_score,50,0.5368,0.0001
sd15,fr,mclip_score,50,0.378,0.0068
sd15,es,clip_score,50,0.3744,0.0074
sd15,es,mclip_score,50,0.2402,0.0929
sd15,ar,clip_score,50,-0.2385,0.0953
sd15,ar,mclip_score,50,-0.0416,0.7745
flux,en,clip_score,50,0.2081,0.147
flux,en,mclip_score,50,0.0975,0.5007
flux,de,clip_score,50,0.2461,0.085
flux,de,mclip_score,50,0.0259,0.8583
flux,fr,clip_score,50,0.2452,0.0861
flux,fr,mclip_score,50,0.1289,0.3723
flux,es,clip_score,50,0.4002,0.004
flux,es,mclip_score,50,0.1188,0.4114
flux,ar,clip_score,50,-0.1152,0.4256
flux,ar,mclip_score,50,-0.0943,0.515
