"Timestamp","I am at least 18 years old and agree to participate.","What is your native language (the language you learned first as a child)?","Ich habe den obigen Text gelesen und stimme der Teilnahme zu.","MB002 [SF]","MB002 [BT]","MB025 [SF]","MB025 [BT]","MB034 [SF]","MB034 [BT]","MB059 [SF]","MB059 [BT]","MB075 [SF]","MB075 [BT]","MB088 [SF]","MB088 [BT]","MB107 [SF]","MB107 [BT]","MB110 [SF]","MB110 [BT]","MB129 [SF]","MB129 [BT]","MB141 [SF]","MB141 [BT]","Was there anything you noticed or anything else you would like to tell us? 
(Optional, feel free to skip)","J'ai lu le texte ci-dessus et j'accepte de participer.","MB002 [Fl]","MB002 [FS]","MB015 [Fl]","MB015 [FS]","MB038 [Fl]","MB038 [FS]","MB046 [Fl]","MB046 [FS]","MB066 [Fl]","MB066 [FS]","MB080 [Fl]","MB080 [FS]","MB102 [Fl]","MB102 [FS]","MB117 [Fl]","MB117 [FS]","MB132 [Fl]","MB132 [FS]","MB143 [Fl]","MB143 [FS]","Was there anything you noticed or anything else you would like to tell us? 
(Optional, feel free to skip)","He leído el texto anterior y acepto participar.","MB001 [Fl]","MB001 [FS]","MB018 [Fl]","MB018 [FS]","MB047 [Fl]","MB047 [FS]","MB050 [Fl]","MB050 [FS]","MB070 [Fl]","MB070 [FS]","MB071 [Fl]","MB071 [FS]","MB104 [Fl]","MB104 [FS]","MB115 [Fl]","MB115 [FS]","MB129 [Fl]","MB129 [FS]","MB150 [Fl]","MB150 [FS]","Was there anything you noticed or anything else you would like to tell us? 
(Optional, feel free to skip)","لقد قرأت النص أعلاه وأوافق على المشاركة.","MB006 [الطلاقة]","MB006 [الدقة]","MB021 [الطلاقة]","MB021 [الدقة]","MB043 [الطلاقة]","MB043 [الدقة]","MB058 [الطلاقة]","MB058 [الدقة]","MB076 [الطلاقة]","MB076 [الدقة]","MB080 [الطلاقة]","MB080 [الدقة]","MB109 [الطلاقة]","MB109 [الدقة]","MB114 [الطلاقة]","MB114 [الدقة]","MB126 [الطلاقة]","MB126 [الدقة]","MB136 [الطلاقة]","MB136 [الدقة]","Was there anything you noticed or anything else you would like to tell us? 
(Optional, feel free to skip)"
"2026/08/31 10:22:49 AM GMT+3","Yes, I agree","None of these","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/08/31 11:33:54 AM GMT+3","Yes, I agree","None of these","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/09/01 10:05:33 AM GMT+3","Yes, I agree","Spanish","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí, acepto","4","3","4","4","4","5","4","3","4","3","4","3","3","2","4","3","4","3","3","3","","","","","","","","","","","","","","","","","","","","","","",""
"2026/09/01 12:23:26 PM GMT+3","Yes, I agree","Arabic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","نعم، أوافق","3","4","2","2","3","3","3","4","2","2","2","3","3","3","3","3","4","3","3","3","Most issues is from some instances of literal translation and placement of foreign language words.thanks.have fun"
"2026/09/01 2:13:58 PM GMT+3","Yes, I agree","Spanish","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí, acepto","4","4","3","4","4","5","3","4","3","4","4","4","3","3","3","4","4","4","4","4","","","","","","","","","","","","","","","","","","","","","","",""
"2026/09/03 1:43:56 PM GMT+3","Yes, I agree","German","Ja, ich stimme zu","5","5","5","5","5","5","4","3","4","3","5","3","4","5","5","5","5","5","5","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026/09/06 11:27:49 PM GMT+3","Yes, I agree","Arabic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","نعم، أوافق","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",""
"2026/09/07 12:18:47 AM GMT+3","Yes, I agree","Arabic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","نعم، أوافق","5","3","4","3","5","5","4","3","5","4","5","5","4","2","5","5","5","5","4","5","Sometimes the arabic sentences are reversed due to English words involved. It’s a common thing with arabic language though "
"2026/09/07 12:28:20 AM GMT+3","Yes, I agree","Spanish","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí, acepto","3","2","3","4","1","4","2","4","3","3","2","3","3","4","4","4","5","5","2","4","It’s weird for us Spanish speakers to use “;” to connect two different phrases in one. Either you use a concrete preposition or you use verbs, which adds to the fluidity of the phrase. In this case, only some of the examples had that and that’s what got most of them lesser grades in fluidity than significance. On top of that, there are certain syntax differences in how we build our adjectives into a phrase. Eg. in English “clean white table” could refer to the characteristics of the colour, but also just to the appearance of the table. In Spanish, since it added a “y” (“and”), it got directly translated into what would be “a white and clean table”. If we’re talking about colour, an appropriate way would be “una mesa de color blanco limpio”. Basically it depends on what you’re actually trying to convey. ","","","","","","","","","","","","","","","","","","","","","",""
"2026/09/07 1:39:43 AM GMT+3","Yes, I agree","Spanish","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí, acepto","4","5","3","4","5","5","3","4","3","4","3","3","3","4","5","5","4","5","5","4","","","","","","","","","","","","","","","","","","","","","","",""
