brief_id,industry,brand_name,prompt_text,prompt_text_en,required_objects,colour_attributes,spatial_constraints,required_text,style_descriptors,back_translated,cc_score,status,language,cometkiwi_score
MB001,tech_product,ZYRA,"Produktfoto einer silbernen Smartwatch, die links neben einem schwarzen kabellosen Ladegerät auf einer sauberen weißen Fläche platziert ist; auf dem Zifferblatt steht „ZYRA“; minimalistische Studiobeleuchtung","Product photography of a silver smartwatch placed to the left of a black wireless charger on a clean white surface, ZYRA on watch face, minimalist studio lighting","[""smartwatch"", ""wireless charger""]","{""smartwatch"": ""silver"", ""wireless charger"": ""black""}","[""smartwatch left of wireless charger""]","[""ZYRA""]","[""product photography"", ""minimalist"", ""white background"", ""studio lighting""]",Product photo of a silver smartwatch placed to the left of a black wireless charger on a clean white surface; the watch face reads “ZYRA”; minimalist studio lighting,0.9851,PASS,de,0.830829381942749
MB002,tech_product,KESTRA,Studioaufnahme eines schwarzen Laptops mit einer weißen kabellosen Maus rechts davon auf einem grauen Schreibtisch; KESTRA-Logo auf dem Laptopdeckel; Deckenbeleuchtung,"Studio product shot of a black laptop with a white wireless mouse to its right on a gray desk, KESTRA logo on laptop lid, overhead lighting","[""laptop"", ""wireless mouse""]","{""laptop"": ""black"", ""wireless mouse"": ""white""}","[""wireless mouse right of laptop""]","[""KESTRA""]","[""studio lighting"", ""overhead shot"", ""gray background""]",Studio shot of a black laptop with a white wireless mouse to its right on a gray desk; KESTRA logo on the laptop lid; overhead lighting,0.9863,PASS,de,0.831243097782135
MB003,tech_product,APEX,"Klare Produktfotografie von weißen kabellosen Ohrhörern, die auf einer dunklen Oberfläche über ihrem schwarzen Ladecase platziert sind; auf dem Case ist „APEX“ eingraviert; minimalistischer Stil","Clean product photography of white wireless earbuds placed above their black charging case on a dark surface, APEX engraved on case, minimal style","[""wireless earbuds"", ""charging case""]","{""wireless earbuds"": ""white"", ""charging case"": ""black""}","[""wireless earbuds above charging case""]","[""APEX""]","[""product photography"", ""dark background"", ""minimal""]",Clear product photography of white wireless earbuds placed on a dark surface above their black charging case; the case is engraved with “APEX”; minimalist style,0.9857,PASS,de,0.8359992504119873
MB004,tech_product,VOLT,"Produktfoto eines schwarzen Smartphones, das auf einem silbernen Metallständer befestigt ist; auf der Rückseite des Telefons ist „VOLT“ aufgedruckt; Studiobeleuchtung vor blauem Hintergrund","Product shot of a black smartphone mounted on a silver metal stand, VOLT printed on the back of the phone, studio lighting against a blue background","[""smartphone"", ""metal stand""]","{""smartphone"": ""black"", ""metal stand"": ""silver""}","[""smartphone above metal stand""]","[""VOLT""]","[""product photography"", ""studio lighting"", ""blue background""]","Product photo of a black smartphone mounted on a silver metal stand; ""VOLT"" is printed on the back of the phone; studio lighting against a blue background",0.9777,PASS,de,0.8560952544212341
MB005,tech_product,PRISM,Produktfotografie aus der Vogelperspektive: eine weiße Tablette mit einem goldenen Stylus-Stift rechts davon auf einer Marmoroberfläche; „PRISM“ auf dem Tablet-Rahmen; klare Bildkomposition,"Overhead product photography of a white tablet with a gold stylus pen to its right on a marble surface, PRISM on tablet bezel, clean composition","[""tablet"", ""stylus pen""]","{""tablet"": ""white"", ""stylus pen"": ""gold""}","[""stylus pen right of tablet""]","[""PRISM""]","[""overhead shot"", ""marble surface"", ""clean composition""]","Bird's-eye view product photography: a white tablet with a gold stylus to its right on a marble surface; ""PRISM"" on the tablet's frame; clean image composition",0.9267,PASS,de,0.76557457447052
MB006,tech_product,SYNTH,"Produktfoto einer schwarzen mechanischen Tastatur, rechts davon eine rote kabellose Maus auf einer dunklen Schreibtischunterlage; SYNTH-Logo auf der Leertaste der Tastatur; Gaming-Optik","Product photography of a black mechanical keyboard with a red wireless mouse to its right on a dark desk mat, SYNTH logo on keyboard space bar, gaming aesthetic","[""mechanical keyboard"", ""wireless mouse""]","{""mechanical keyboard"": ""black"", ""wireless mouse"": ""red""}","[""wireless mouse right of mechanical keyboard""]","[""SYNTH""]","[""product photography"", ""gaming aesthetic"", ""dark background""]","Product photo of a black mechanical keyboard, with a red wireless mouse to its right on a dark desk mat; SYNTH logo on the spacebar of the keyboard; gaming-style design",0.9783,PASS,de,0.8290010690689087
MB007,tech_product,NEXUS,"Lifestyle-Produktfoto eines blauen Bluetooth-Lautsprechers, an dessen rechter Seite ein schwarzes Smartphone auf einem Holztisch lehnt; „NEXUS“ auf dem Lautsprechergehäuse; warme Beleuchtung","Lifestyle product shot of a blue Bluetooth speaker with a black smartphone leaning to its right on a wooden table, NEXUS on speaker body, warm lighting","[""bluetooth speaker"", ""smartphone""]","{""bluetooth speaker"": ""blue"", ""smartphone"": ""black""}","[""smartphone right of bluetooth speaker""]","[""NEXUS""]","[""lifestyle photography"", ""wooden surface"", ""warm lighting""]",Lifestyle product photo of a blue Bluetooth speaker with a black smartphone resting against its right side on a wooden table; “NEXUS” on the speaker enclosure; warm lighting,0.9549,PASS,de,0.8299801349639893
MB008,tech_product,KOVAL,"Studioaufnahme einer schwarzen DSLR-Kamera mit einem silbernen Kameraobjektiv, das rechts davon auf einem weißen Sockel platziert ist; auf dem Objektivtubus ist „KOVAL“ eingraviert; professionelle Beleuchtung","Studio product photography of a black DSLR camera with a silver camera lens placed to its right on a white pedestal, KOVAL engraved on lens barrel, professional lighting","[""camera"", ""camera lens""]","{""camera"": ""black"", ""camera lens"": ""silver""}","[""camera lens right of camera""]","[""KOVAL""]","[""studio photography"", ""white background"", ""professional lighting""]",Studio shot of a black DSLR camera with a silver lens placed to its right on a white stand; “KOVAL” is engraved on the lens barrel; professional lighting,0.9583,PASS,de,0.8352574110031128
MB009,tech_product,LUNEX,"Produktfoto eines weißen Gaming-Controllers, der links neben einem schwarzen Gaming-Headset auf einer schlichten grauen Unterlage platziert ist; LUNEX-Logo auf dem Controller; dramatische Seitenbeleuchtung","Product photography of a white gaming controller placed to the left of a black gaming headset on a clean gray surface, LUNEX logo on controller, dramatic side lighting","[""gaming controller"", ""gaming headset""]","{""gaming controller"": ""white"", ""gaming headset"": ""black""}","[""gaming controller left of gaming headset""]","[""LUNEX""]","[""product photography"", ""gray background"", ""dramatic lighting""]",Product photo of a white gaming controller placed to the left of a black gaming headset on a plain gray background; LUNEX logo on the controller; dramatic side lighting,0.9881,PASS,de,0.8458244204521179
MB010,tech_product,KORE,"Klares Produktfoto eines schwarzen Smart-Displays mit einer silbernen Fernbedienung, die darunter auf einer weißen Fläche liegt; auf dem Bildschirm ist „KORE“ zu sehen; Studiobeleuchtung","Clean product shot of a black smart display with a silver remote control placed below it on a white surface, KORE on display screen, studio lighting","[""smart display"", ""remote control""]","{""smart display"": ""black"", ""remote control"": ""silver""}","[""remote control below smart display""]","[""KORE""]","[""product photography"", ""white background"", ""studio lighting""]",A clear product photo of a black smart display with a silver remote control resting on a white surface below it; the screen displays “KORE”; studio lighting,0.983,PASS,de,0.8300436735153198
MB011,tech_product,LUMIX,"Minimalistische Produktfotografie einer weißen, rechteckigen Powerbank mit einem roten USB-Kabel, das darunter auf einer hellgrauen Unterlage aufgerollt ist; „LUMIX“-Schriftzug auf der Powerbank; klare Bildkomposition","Minimalist product photography of a white rectangular power bank with a red USB cable coiled below it on a light gray surface, LUMIX on power bank, clean composition","[""power bank"", ""USB cable""]","{""power bank"": ""white"", ""USB cable"": ""red""}","[""USB cable below power bank""]","[""LUMIX""]","[""minimalist"", ""gray background"", ""clean composition""]","Minimalist product photography of a white, rectangular power bank with a red USB cable coiled beneath it on a light gray surface; “LUMIX” lettering on the power bank; clean image composition",0.9348,PASS,de,0.824974000453949
MB012,tech_product,MIRAX,"Lifestyle-Produktfoto eines geöffneten silbernen Laptops, rechts davon eine weiße Keramik-Kaffeetasse auf einem Schreibtisch aus dunklem Holz; MIRAX-Logo auf dem Laptop-Bildschirm, Morgenlicht","Lifestyle product shot of an open silver laptop with a white ceramic coffee mug to its right on a dark wood desk, MIRAX logo on laptop screen, morning light","[""laptop"", ""coffee mug""]","{""laptop"": ""silver"", ""coffee mug"": ""white""}","[""coffee mug right of laptop""]","[""MIRAX""]","[""lifestyle photography"", ""dark wood surface"", ""morning light""]","Lifestyle product photo of an open silver laptop, with a white ceramic coffee mug to its right on a dark wooden desk; MIRAX logo on the laptop screen, morning light",0.9914,PASS,de,0.8376319408416748
