prompt_id,text
CV001,a blue bench and a green cake
CV002,a red orange and a brown sheep
CV003,a brown orange and a red sheep
CV004,a brown banana and a green dog
CV005,a green banana and a brown horse
CV006,a blue backpack and a green banana
CV007,a red horse and a brown orange
CV008,a blue backpack and a gold clock
CV009,a brown backpack and a blue sheep
CV010,a blue bowl and a red train
CV011,a brown giraffe and a red train
CV012,a blue boat and a red suitcase
CV013,a blue backpack and a red car
CV014,a brown banana and a green cow
CV015,a brown giraffe and a blue vase
CV016,a blue giraffe and a brown vase
CV017,a red cow and a brown suitcase
CV018,a green banana and a brown giraffe
CV019,a red chair and a brown sheep
CV020,a yellow apple and red bananas
CV021,a red hat and a black scarf
CV022,a yellow grass and a green dandelion
CV023,a gray cat and a black mouse
CV024,a yellow tomato and a red pepper
CV025,a green jay and a blue parrot
CV026,a black squirrel and a brown nut
CV027,a black jacket and a brown hat
CV028,Bathroom scene with white background and tan accents.
CV029,A white carpet in a bathroom with red fixtures.
CV030,"Bathroom scene, white commode and matching white sink on light brown tone tiled floor."
