brief_id,industry,brand_name,prompt_text,prompt_text_en,required_objects,colour_attributes,spatial_constraints,required_text,style_descriptors,back_translated,cc_score,status,language,cometkiwi_score
MB001,tech_product,ZYRA,Fotografía de producto de un reloj inteligente plateado situado a la izquierda de un cargador inalámbrico negro sobre una superficie blanca y limpia; la palabra «ZYRA» aparece en la esfera del reloj; iluminación minimalista de estudio.,"Product photography of a silver smartwatch placed to the left of a black wireless charger on a clean white surface, ZYRA on watch face, minimalist studio lighting","[""smartwatch"", ""wireless charger""]","{""smartwatch"": ""silver"", ""wireless charger"": ""black""}","[""smartwatch left of wireless charger""]","[""ZYRA""]","[""product photography"", ""minimalist"", ""white background"", ""studio lighting""]",Product photograph of a silver smartwatch positioned to the left of a black wireless charger on a clean white surface; the word “ZYRA” appears on the watch face; minimalist studio lighting.,0.9623,PASS,es,0.8495113849639893
MB002,tech_product,KESTRA,Fotografía de producto tomada en estudio de un portátil negro con un ratón inalámbrico blanco a su derecha sobre un escritorio gris; el logotipo de KESTRA aparece en la tapa del portátil; iluminación cenital.,"Studio product shot of a black laptop with a white wireless mouse to its right on a gray desk, KESTRA logo on laptop lid, overhead lighting","[""laptop"", ""wireless mouse""]","{""laptop"": ""black"", ""wireless mouse"": ""white""}","[""wireless mouse right of laptop""]","[""KESTRA""]","[""studio lighting"", ""overhead shot"", ""gray background""]",Studio product photograph of a black laptop with a white wireless mouse to its right on a gray desk; the KESTRA logo appears on the laptop's lid; overhead lighting.,0.9727,PASS,es,0.8256926536560059
MB003,tech_product,APEX,Fotografía de producto nítida de unos auriculares inalámbricos blancos colocados sobre su estuche de carga negro sobre una superficie oscura; la palabra «APEX» grabada en el estuche; estilo minimalista.,"Clean product photography of white wireless earbuds placed above their black charging case on a dark surface, APEX engraved on case, minimal style","[""wireless earbuds"", ""charging case""]","{""wireless earbuds"": ""white"", ""charging case"": ""black""}","[""wireless earbuds above charging case""]","[""APEX""]","[""product photography"", ""dark background"", ""minimal""]",A sharp product photo of white wireless earbuds placed on their black charging case on a dark surface; the word “APEX” engraved on the case; minimalist style.,0.9596,PASS,es,0.8585036993026733
MB004,tech_product,VOLT,"Fotografía de producto de un smartphone negro colocado sobre un soporte metálico plateado, con la palabra «VOLT» impresa en la parte trasera del teléfono, iluminado con luces de estudio sobre un fondo azul","Product shot of a black smartphone mounted on a silver metal stand, VOLT printed on the back of the phone, studio lighting against a blue background","[""smartphone"", ""metal stand""]","{""smartphone"": ""black"", ""metal stand"": ""silver""}","[""smartphone above metal stand""]","[""VOLT""]","[""product photography"", ""studio lighting"", ""blue background""]","Product photo of a black smartphone placed on a silver metal stand, with the word “VOLT” printed on the back of the phone, lit by studio lights against a blue background",0.9086,PASS,es,0.8501620292663574
MB005,tech_product,PRISM,Fotografía de producto tomada desde arriba de una tableta blanca con un lápiz óptico dorado a su derecha sobre una superficie de mármol; la palabra «PRISM» aparece en el bisel de la tableta; composición limpia.,"Overhead product photography of a white tablet with a gold stylus pen to its right on a marble surface, PRISM on tablet bezel, clean composition","[""tablet"", ""stylus pen""]","{""tablet"": ""white"", ""stylus pen"": ""gold""}","[""stylus pen right of tablet""]","[""PRISM""]","[""overhead shot"", ""marble surface"", ""clean composition""]",Product photograph taken from above of a white tablet with a gold stylus to its right on a marble surface; the word “PRISM” appears on the tablet’s bezel; clean composition.,0.9174,PASS,es,0.8319053649902344
MB006,tech_product,SYNTH,Fotografía de producto de un teclado mecánico negro con un ratón inalámbrico rojo a su derecha sobre una alfombrilla de escritorio oscura; el logotipo de SYNTH aparece en la barra espaciadora del teclado; estética de videojuegos.,"Product photography of a black mechanical keyboard with a red wireless mouse to its right on a dark desk mat, SYNTH logo on keyboard space bar, gaming aesthetic","[""mechanical keyboard"", ""wireless mouse""]","{""mechanical keyboard"": ""black"", ""wireless mouse"": ""red""}","[""wireless mouse right of mechanical keyboard""]","[""SYNTH""]","[""product photography"", ""gaming aesthetic"", ""dark background""]",Product photo of a black mechanical keyboard with a red wireless mouse to its right on a dark desk mat; the SYNTH logo appears on the keyboard's space bar; video game aesthetic.,0.9789,PASS,es,0.8576290607452393
MB007,tech_product,NEXUS,Fotografía de producto de estilo de vida en la que aparece un altavoz Bluetooth azul con un smartphone negro apoyado a su derecha sobre una mesa de madera; la inscripción «NEXUS» en el cuerpo del altavoz; iluminación cálida.,"Lifestyle product shot of a blue Bluetooth speaker with a black smartphone leaning to its right on a wooden table, NEXUS on speaker body, warm lighting","[""bluetooth speaker"", ""smartphone""]","{""bluetooth speaker"": ""blue"", ""smartphone"": ""black""}","[""smartphone right of bluetooth speaker""]","[""NEXUS""]","[""lifestyle photography"", ""wooden surface"", ""warm lighting""]",A lifestyle product photograph featuring a blue Bluetooth speaker with a black smartphone resting to its right on a wooden table; the word “NEXUS” on the speaker’s body; warm lighting.,0.9432,PASS,es,0.8365002274513245
MB008,tech_product,KOVAL,Fotografía de producto de estudio de una cámara réflex digital negra con un objetivo plateado situado a su derecha sobre un pedestal blanco; la inscripción «KOVAL» grabada en el cuerpo del objetivo; iluminación profesional.,"Studio product photography of a black DSLR camera with a silver camera lens placed to its right on a white pedestal, KOVAL engraved on lens barrel, professional lighting","[""camera"", ""camera lens""]","{""camera"": ""black"", ""camera lens"": ""silver""}","[""camera lens right of camera""]","[""KOVAL""]","[""studio photography"", ""white background"", ""professional lighting""]",Studio product photograph of a black digital SLR camera with a silver lens positioned to its right on a white pedestal; the word “KOVAL” is engraved on the lens barrel; professional lighting.,0.9764,PASS,es,0.8476453423500061
MB009,tech_product,LUNEX,"Fotografía de producto de un mando de videojuegos blanco situado a la izquierda de unos auriculares de videojuegos negros sobre una superficie gris lisa; el logotipo de LUNEX aparece en el mando, con una iluminación lateral espectacular.","Product photography of a white gaming controller placed to the left of a black gaming headset on a clean gray surface, LUNEX logo on controller, dramatic side lighting","[""gaming controller"", ""gaming headset""]","{""gaming controller"": ""white"", ""gaming headset"": ""black""}","[""gaming controller left of gaming headset""]","[""LUNEX""]","[""product photography"", ""gray background"", ""dramatic lighting""]","Product photo of a white video game controller positioned to the left of a pair of black video game headphones on a smooth gray surface; the LUNEX logo appears on the controller, with dramatic side lighting.",0.9419,PASS,es,0.8570243120193481
MB010,tech_product,KORE,Fotografía nítida de un producto: una pantalla inteligente negra con un mando a distancia plateado colocado debajo de ella sobre una superficie blanca; en la pantalla se ve «KORE»; iluminación de estudio.,"Clean product shot of a black smart display with a silver remote control placed below it on a white surface, KORE on display screen, studio lighting","[""smart display"", ""remote control""]","{""smart display"": ""black"", ""remote control"": ""silver""}","[""remote control below smart display""]","[""KORE""]","[""product photography"", ""white background"", ""studio lighting""]",A sharp product photograph: a black smart screen with a silver remote control placed beneath it on a white surface; the screen displays “KORE”; studio lighting.,0.9559,PASS,es,0.8246346712112427
