prompt_id,category,dag_node,source,human_score,caption_en,caption_translated,back_translated,cc_score,status,language,cometkiwi_score
DB001,Colors,node3_attribute,DrawBench,,A black colored banana.,موزة سوداء اللون,Black Banana,0.9273,PASS,ar,0.8362529873847961
DB002,Colors,node3_attribute,DrawBench,,A blue bird and a brown bear.,طائر أزرق ودب بني اللون,Blue bird and brown bear,0.9755,PASS,ar,0.8371533155441284
DB003,Colors,node3_attribute,DrawBench,,A red colored car.,سيارة حمراء اللون.,Red coloured car.,0.9902,PASS,ar,0.8448435664176941
DB004,Colors,node3_attribute,DrawBench,,A blue cup and a green cell phone.,كوب أزرق وهاتف خلوي أخضر,Blue mug and green mobile phone,0.9397,PASS,ar,0.8174935579299927
DB005,Colors,node3_attribute,DrawBench,,An orange colored sandwich.,شطيرة برتقالية اللون,Orange Sandwich,0.9399,PASS,ar,0.7818588018417358
DB006,Colors,node3_attribute,DrawBench,,A white colored sandwich.,ساندويتش أبيض اللون,White Sandwich,0.9534,PASS,ar,0.8355640769004822
DB007,Colors,node3_attribute,DrawBench,,A yellow colored giraffe.,زرافة صفراء اللون.,Yellow coloured giraffe.,0.9883,PASS,ar,0.8165788054466248
DB008,Colors,node3_attribute,DrawBench,,A black colored car.,سيارة سوداء اللون أسود اللون.,Black coloured car.,0.9875,PASS,ar,0.5298166871070862
DB009,Colors,node3_attribute,DrawBench,,A black apple and a green backpack.,تفاحة سوداء وحقيبة ظهر خضراء.,Black apple and green backpack.,0.9861,PASS,ar,0.8095649480819702
DB010,Colors,node3_attribute,DrawBench,,A blue colored dog.,كلب أزرق اللون أزرق اللون,Blue coloured dog Blue,0.9772,PASS,ar,0.5663924813270569
DB011,Colors,node3_attribute,DrawBench,,A pink colored car.,سيارة وردية اللون.,Pink car.,0.9732,PASS,ar,0.8399074077606201
DB012,Colors,node3_attribute,DrawBench,,A pink colored giraffe.,زرافة وردية اللون,Pink Giraffe,0.9326,PASS,ar,0.83937668800354
DB013,Colors,node3_attribute,DrawBench,,A red car and a white sheep.,سيارة حمراء وخروف أبيض.,A red car and a white sheep.,1.0,PASS,ar,0.8429004549980164
DB014,Counting,node1_object_presence,DrawBench,,One car on the street.,سيارة واحدة في الشارع,One car on the street,0.9974,PASS,ar,0.781829297542572
DB015,Counting,node1_object_presence,DrawBench,,One dog on the street.,كلب واحد في الشارع,One dog on the street,0.9971,PASS,ar,0.8299914002418518
DB016,Counting,node1_object_presence,DrawBench,,One cat and two dogs sitting on the grass.,قطة واحدة وكلبان يجلسون على العشب.,One cat and two dogs sitting on the grass.,1.0,PASS,ar,0.8237853050231934
DB017,Counting,node1_object_presence,DrawBench,,Two cars on the street.,سيارتان في الشارع,Two cars on the street,0.9972,PASS,ar,0.8472784757614136
DB018,Counting,node1_object_presence,DrawBench,,Four dogs on the street.,أربعة كلاب في الشارع,Four dogs on the street,0.996,PASS,ar,0.8495193719863892
DB019,Counting,node1_object_presence,DrawBench,,Three cats and one dog sitting on the grass.,ثلاث قطط وكلب واحد يجلسون على العشب.,Three cats and one dog sit on the grass.,0.998,PASS,ar,0.8528145551681519
DB020,Counting,node1_object_presence,DrawBench,,Four cars on the street.,أربع سيارات في الشارع,Four cars on the street,0.9959,PASS,ar,0.8382328748703003
DB021,Counting,node1_object_presence,DrawBench,,Two cats and one dog sitting on the grass.,قطتان وكلب واحد يجلسون على العشب.,Two cats and one dog sit on the grass.,0.998,PASS,ar,0.853699266910553
DB022,Counting,node1_object_presence,DrawBench,,Two cats and three dogs sitting on the grass.,قطتان وثلاثة كلاب يجلسون على العشب.,Two cats and three dogs sit on the grass.,0.9967,PASS,ar,0.8540239334106445
DB023,Counting,node1_object_presence,DrawBench,,Three cats and two dogs sitting on the grass.,ثلاث قطط وكلبان يجلسون على العشب.,Three cats and two dogs sit on the grass.,0.997,PASS,ar,0.8333418369293213
DB024,Counting,node1_object_presence,DrawBench,,Three cars on the street.,ثلاث سيارات في الشارع,Three cars on the street,0.9964,PASS,ar,0.8397072553634644
DB025,Counting,node1_object_presence,DrawBench,,Five dogs on the street.,خمسة كلاب في الشارع,Five dogs on the street,0.9954,PASS,ar,0.8497477769851685
DB026,Counting,node1_object_presence,DrawBench,,Three cats and three dogs sitting on the grass.,ثلاث قطط وثلاثة كلاب تجلس على العشب.,Three cats and three dogs sit on the grass.,0.9964,PASS,ar,0.8270418643951416
DB027,Positional,node2_spatial,DrawBench,,A train on top of a surfboard.,قطار فوق لوح تزلج,Train on a skateboard,0.8993,PASS,ar,0.7340866327285767
DB028,Positional,node2_spatial,DrawBench,,A stop sign on the right of a refrigerator.,علامة توقف على يمين الثلاجة.,Stop sign to the right of the fridge.,0.8978,PASS,ar,0.8100448846817017
DB029,Positional,node2_spatial,DrawBench,,A pizza on the right of a suitcase.,بيتزا على يمين الحقيبة.,Pizza to the right of the bag.,0.8815,PASS,ar,0.7200735807418823
DB030,Positional,node2_spatial,DrawBench,,A wine glass on top of a dog.,كأس نبيذ فوق كلب,Wine glass over a dog,0.9501,PASS,ar,0.7845577001571655
DB031,Positional,node2_spatial,DrawBench,,A tennis racket underneath a traffic light.,مضرب تنس تحت إشارة مرور.,Tennis racket under a traffic light.,0.9832,PASS,ar,0.8160072565078735
DB032,Positional,node2_spatial,DrawBench,,A giraffe underneath a microwave.,زرافة تحت الميكروويف.,Giraffe under the microwave.,0.9626,PASS,ar,0.8335078954696655
DB033,Positional,node2_spatial,DrawBench,,A couch on the left of a chair.,أريكة على يسار الكرسي.,Sofa to the left of the chair.,0.9658,PASS,ar,0.8150084018707275
DB034,Positional,node2_spatial,DrawBench,,An umbrella on top of a spoon.,مظلة فوق ملعقة.,An umbrella over a spoon.,0.9847,PASS,ar,0.7854001522064209
DB035,Positional,node2_spatial,DrawBench,,A sheep to the right of a wine glass.,خروف على يمين كأس النبيذ.,Lamb to the right of the wine glass.,0.9549,PASS,ar,0.7836997509002686
DB036,Positional,node2_spatial,DrawBench,,A cat on the right of a tennis racket.,قطة على يمين مضرب التنس.,A cat to the right of the tennis racket.,0.9678,PASS,ar,0.7865195274353027
DB037,Positional,node2_spatial,DrawBench,,A cat on the left of a dog.,قطة على يسار كلب,Cat on the left of a dog,0.9956,PASS,ar,0.6146546006202698
DB038,Positional,node2_spatial,DrawBench,,A bicycle on top of a boat.,دراجة هوائية فوق قارب,Bicycle on a boat,0.9666,PASS,ar,0.6905373930931091
DB039,Text,node4_typography,DrawBench,,A storefront with 'Hello World' written on it.,"واجهة متجر مكتوب عليها ""مرحباً بالعالم"".","A shop window that reads ""Welcome to the World"".",0.9021,PASS,ar,0.8171943426132202
DB040,Text,node4_typography,DrawBench,,New York Skyline with 'NeurIPS' written with fireworks on the sky.,"أفق نيويورك مع عبارة ""NeurIPS"" مكتوب عليها ""NeurIPS"" مع ألعاب نارية في السماء.","New York skyline with the words ""NeurIPS"" written on it with fireworks in the sky.",0.9724,PASS,ar,0.6538690328598022
