prompt_id,category,image_id,caption_en,caption_translated,back_translated,cc_score,status,language
P001,people,235836,A boy playing baseball about to hit a ball.,Ein Junge spielt Baseball und will einen Ball schlagen.,A boy is playing baseball and wants to hit a ball.,0.9484,PASS,de
P002,people,186449,An elderly woman sits on a bench with a crowd behind her.,Eine ältere Frau sitzt auf einer Bank mit einer Menschenmenge hinter ihr.,An elderly woman sits on a bench with a crowd of people behind her.,0.9967,PASS,de
P003,people,17436,A man sitting on a bench with a tall building behind him.,"Ein Mann sitzt auf einer Bank, hinter ihm ein hohes Gebäude.",A man is sitting on a bench with a tall building behind him.,0.9961,PASS,de
P004,people,161781,A woman in gear skiing down a snowy slope,Eine Frau in Ausrüstung fährt einen verschneiten Hang hinunter,A woman in gear rides down a snowy slope,0.9438,PASS,de
P005,people,2473,A man flying through the air while riding skis.,"Ein Mann, der beim Skifahren durch die Luft fliegt.",A man flying through the air while skiing.,0.9939,PASS,de
P006,people,438907,A man is doing a trick on a skateboard.,Ein Mann macht einen Trick auf einem Skateboard.,A man does a trick on a skateboard.,0.9951,PASS,de
P007,people,476415,A man wearing a white shirt and tie standing in  a room.,Ein Mann mit weißem Hemd und Krawatte steht in einem Raum.,A man in a white shirt and tie is standing in a room.,0.984,PASS,de
P008,people,572462,A group of people standing inside of a moving tram.,"Eine Gruppe von Menschen, die in einer fahrenden Straßenbahn stehen.",A group of people standing in a moving tram.,0.9878,PASS,de
P009,people,259690,A handicapped man in a wheelchair is being helped to hold the bat by another man on a tee ball,Ein behinderter Mann im Rollstuhl wird von einem anderen Mann beim Halten des Schlägers auf einem Teeball unterstützt,A disabled man in a wheelchair is helped by another man to hold the bat on a tee ball,0.9894,PASS,de
P010,people,447187,A man is swinging a bat a ball being pitched at him.,"Ein Mann schwingt einen Schläger, während ihm ein Ball zugeworfen wird.",A man swings a bat while a ball is thrown to him.,0.9842,PASS,de
P011,people,308394,An older woman riding a train while sitting under it's window.,Eine ältere Frau fährt in einem Zug und sitzt unter dem Fenster.,An elderly woman is travelling on a train and sits under the window.,0.9748,PASS,de
P012,people,240250,A woman sitting down at a table with pizza.,"Eine Frau, die sich mit einer Pizza an einen Tisch setzt.",A woman sitting down at a table with a pizza.,0.9989,PASS,de
P013,people,554156,A man holding a tennis racket in the air,Ein Mann hält einen Tennisschläger in die Luft,A man holds a tennis racket in the air,0.9978,PASS,de
P014,vehicles,152771,A bike in the middle of an empty parking lot next to trees,Ein Fahrrad in der Mitte eines leeren Parkplatzes neben den Bäumen,A bicycle in the middle of an empty car park next to the trees,0.9778,PASS,de
P015,vehicles,86220,A car and a public transit vehicle on a road.,Ein Auto und ein öffentliches Verkehrsmittel auf einer Straße.,A car and a means of public transport on one road.,0.9612,PASS,de
P016,vehicles,245448,A man standing with his motorcycle outside of a repair shop.,Ein Mann steht mit seinem Motorrad vor einer Reparaturwerkstatt.,A man is standing in front of a repair shop with his motorbike.,0.9846,PASS,de
P017,vehicles,571264,a man is standing next to a motorcycle outside,ein Mann steht draußen neben einem Motorrad,a man stands outside next to a motorbike,0.9802,PASS,de
P018,vehicles,89556,A couple of silver cars parked around a fire hydrant.,Ein paar silberne Autos parken um einen Hydranten herum.,A few silver cars are parked around a fire hydrant.,0.9592,PASS,de
P019,vehicles,269632,A bright yellow transit bus is making it's way down a street in the dark.,Ein leuchtend gelber Linienbus fährt in der Dunkelheit eine Straße entlang.,A bright yellow bus drives along a road in the dark.,0.9484,PASS,de
P020,vehicles,574425,Two old fashioned buses parked on the side of the road.,Zwei altmodische Busse parken am Straßenrand.,Two old-fashioned buses are parked at the side of the road.,0.9805,PASS,de
P021,vehicles,48924,A dirt bike parked near a tent in the woods.,"Ein Geländemotorrad, das in der Nähe eines Zeltes im Wald geparkt ist.",An off-road motorbike parked near a tent in the forest.,0.9074,PASS,de
P022,vehicles,516143,a green and white bus is on the street,ein grün-weißer Bus steht auf der Straße,a green and white bus is parked on the road,0.9706,PASS,de
P023,vehicles,259830,A moped is parked next to bicycles on a sidewalk.,Ein Moped ist neben Fahrrädern auf einem Gehweg geparkt.,A moped is parked next to bicycles on a pavement.,0.9921,PASS,de
P024,vehicles,286507,A long red train traveling through snow covered country side.,"Ein langer roter Zug, der durch eine schneebedeckte Landschaft fährt.",A long red train travelling through a snow-covered landscape.,0.9749,PASS,de
P025,vehicles,134722,Fast commuter train moving past an outdoor platform.,"Schneller Nahverkehrszug, der an einem Außenbahnsteig vorbeifährt.",Fast local train passing an outside platform.,0.9722,PASS,de
P026,vehicles,137727,A motorized cart fills a train with luggage,Ein motorisierter Wagen füllt einen Zug mit Gepäck,A motorised carriage fills a train with luggage,0.964,PASS,de
P027,food,460929,A hot dog with mustard is next to a bottle of soda.,Ein Hot Dog mit Senf steht neben einer Flasche Limonade.,A hot dog with mustard stands next to a bottle of lemonade.,0.9376,PASS,de
P028,food,47112,A dining table has a large pizza and wine glasses.,Ein Esstisch mit einer großen Pizza und Weingläsern.,A dining table with a large pizza and wine glasses.,0.9743,PASS,de
P029,food,99053,"A bowl of noodles, meat and broccoli with a fork.","Eine Schüssel mit Nudeln, Fleisch und Brokkoli mit einer Gabel.","A bowl of pasta, meat and broccoli with a fork.",0.96,PASS,de
P030,food,91406,Several women gathered together posing with 6 pizzas in take out boxes.,Mehrere Frauen haben sich versammelt und posieren mit 6 Pizzen in Boxen zum Mitnehmen.,Several women have gathered and are posing with 6 pizzas in takeaway boxes.,0.9785,PASS,de
P031,food,108253,A plate of cheese bread next to bread sticks and wine.,"Ein Teller mit Käsebrot, daneben Brotstangen und Wein.","A plate with cheese bread, breadsticks and wine next to it.",0.965,PASS,de
P032,food,371472,A pile of pineapple sitting next to a pile of bananas.,Ein Stapel Ananas liegt neben einem Stapel Bananen.,A pile of pineapples lies next to a pile of bananas.,0.9877,PASS,de
P033,food,66706,A plate topped with banana slice covered pan cakes.,"Ein Teller mit Bananenscheiben, die mit Pfannkuchen belegt sind.",A plate of banana slices topped with pancakes.,0.9455,PASS,de
P034,food,348708,The banana is laying next to an almost empty bowl.,Die Banane liegt neben einer fast leeren Schüssel.,The banana is lying next to an almost empty bowl.,0.998,PASS,de
P035,food,323151,A pizza sitting on top of a white plate next to a glass of beer.,Eine Pizza liegt auf einem weißen Teller neben einem Glas Bier.,A pizza lies on a white plate next to a glass of beer.,0.9808,PASS,de
P036,food,286908,Various dishes of food sit in bowls on a table.,Auf einem Tisch stehen verschiedene Gerichte in Schüsseln.,Various dishes are placed in bowls on a table.,0.9796,PASS,de
P037,food,112378,A wooden table topped with a bunch of green bananas.,"Ein Holztisch, auf dem ein Bündel grüner Bananen liegt.",A wooden table with a bunch of green bananas on it.,0.993,PASS,de
P038,food,75456,A pizza with Canadian bacon and pineapple in a fluted pan.,Eine Pizza mit kanadischem Speck und Ananas in einer geriffelten Pfanne.,A pizza with Canadian bacon and pineapple in a ribbed pan.,0.9925,PASS,de
P039,animals,193162,a man on a three wheeler following behind a two dogs and a cow,"ein Mann auf einem Dreirad, der zwei Hunden und einer Kuh hinterherfährt",a man on a tricycle chasing two dogs and a cow,0.9569,PASS,de
P040,animals,90062,A black and white cow stands in a paddock with firewood in the background.,Eine schwarz-weiße Kuh steht auf einer Koppel mit Brennholz im Hintergrund.,A black and white cow stands in a paddock with firewood in the background.,1.0,PASS,de
P041,animals,155571,An elephant walking across a green grass covered field.,"Ein Elefant, der über ein grünes, grasbewachsenes Feld läuft.","An elephant running across a green, grassy field.",0.9714,PASS,de
P042,animals,357060,A bird is trying to find food in the water.,"Ein Vogel versucht, im Wasser nach Nahrung zu suchen.",A bird tries to search for food in the water.,0.9912,PASS,de
P043,animals,345261,Two giraffe standing on to of a dry grass covered field.,Zwei Giraffen stehen auf einem mit trockenem Gras bewachsenen Feld.,Two giraffes are standing in a field overgrown with dry grass.,0.9751,PASS,de
P044,animals,347664,A herd of cattle walking across a sandy beach near the ocean.,"Eine Rinderherde, die über einen Sandstrand in Meeresnähe läuft.",A herd of cattle running across a sandy beach near the sea.,0.9862,PASS,de
P045,animals,222235,A cat is playing with a plan in a park.,Eine Katze spielt mit einem Plan in einem Park.,A cat plays with a plan in a park.,0.9972,PASS,de
P046,animals,180011,"Four young giraffes in a zoo, with one of them being fed leaves by a person","Vier junge Giraffen in einem Zoo, wobei eine von ihnen von einem Menschen mit Blättern gefüttert wird","Four young giraffes in a zoo, one of them being fed leaves by a human",0.9915,PASS,de
P047,animals,512648,A brown cow under a tree in a grassy area.,Eine braune Kuh unter einem Baum auf einer Wiese.,A brown cow under a tree in a meadow.,0.9749,PASS,de
P048,animals,547383,Two adult sheep lay on the green grass.,Zwei erwachsene Schafe lagen auf dem grünen Gras.,Two adult sheep were lying on the green grass.,0.9752,PASS,de
P049,animals,357081,A photograph of two cows grazing on a green pasture.,Ein Foto von zwei grasenden Kühen auf einer grünen Weide.,A photo of two grazing cows in a green pasture.,0.9925,PASS,de
P050,animals,1675,A cat resting on an open laptop computer.,"Eine Katze, die sich auf einem offenen Laptop ausruht.",A cat resting on an open laptop.,0.9769,PASS,de
P001,people,235836,A boy playing baseball about to hit a ball.,Un garçon jouant au base-ball s'apprête à frapper une balle.,A boy playing baseball is about to hit a ball.,0.9803,PASS,fr
P002,people,186449,An elderly woman sits on a bench with a crowd behind her.,Une femme âgée est assise sur un banc avec une foule derrière elle.,An elderly woman sits on a bench with a crowd behind her.,1.0,PASS,fr
P003,people,17436,A man sitting on a bench with a tall building behind him.,Un homme assis sur un banc avec un grand bâtiment derrière lui.,A man sitting on a bench with a large building behind him.,0.9756,PASS,fr
P004,people,161781,A woman in gear skiing down a snowy slope,Une femme en tenue de ski sur une pente enneigée,A woman in ski gear on a snow-covered slope,0.9774,PASS,fr
P005,people,2473,A man flying through the air while riding skis.,Un homme qui vole dans les airs en faisant du ski.,A man flying through the air while skiing.,0.9939,PASS,fr
P006,people,438907,A man is doing a trick on a skateboard.,Un homme fait une figure sur un skateboard.,A man does a trick on a skateboard.,0.9951,PASS,fr
P007,people,476415,A man wearing a white shirt and tie standing in  a room.,Un homme portant une chemise blanche et une cravate se tient dans une pièce.,A man wearing a white shirt and tie stands in a room.,0.9972,PASS,fr
P008,people,572462,A group of people standing inside of a moving tram.,Un groupe de personnes à l'intérieur d'un tramway en marche.,A group of people inside a moving tram.,0.9811,PASS,fr
P009,people,259690,A handicapped man in a wheelchair is being helped to hold the bat by another man on a tee ball,Un homme handicapé en fauteuil roulant est aidé à tenir la batte par un autre homme lors d'un match de tee-ball.,A disabled man in a wheelchair is helped to hold the bat by another man during a tee-ball match.,0.9659,PASS,fr
P010,people,447187,A man is swinging a bat a ball being pitched at him.,Un homme donne un coup de batte à une balle qui lui est lancée.,A man swings a bat at a ball thrown at him.,0.9838,PASS,fr
P011,people,308394,An older woman riding a train while sitting under it's window.,Une femme d'un certain âge monte dans un train et s'assoit sous la fenêtre.,An elderly woman gets on a train and sits down under the window.,0.97,PASS,fr
P012,people,240250,A woman sitting down at a table with pizza.,Une femme assise à une table avec une pizza.,A woman sitting at a table with a pizza.,0.9966,PASS,fr
P013,people,554156,A man holding a tennis racket in the air,Un homme tenant une raquette de tennis en l'air,A man holding a tennis racket in the air,1.0,PASS,fr
P014,vehicles,152771,A bike in the middle of an empty parking lot next to trees,Un vélo au milieu d'un parking vide à côté d'arbres,A bike in the middle of an empty car park next to trees,0.9893,PASS,fr
P015,vehicles,86220,A car and a public transit vehicle on a road.,Une voiture et un véhicule de transport en commun sur une route.,A car and a public transport vehicle on a road.,0.9962,PASS,fr
P016,vehicles,245448,A man standing with his motorcycle outside of a repair shop.,Un homme debout avec sa moto à l'extérieur d'un atelier de réparation.,A man standing with his motorbike outside a repair shop.,0.9921,PASS,fr
P017,vehicles,571264,a man is standing next to a motorcycle outside,un homme se tient à côté d'une moto à l'extérieur,a man stands next to a motorbike outside,0.9831,PASS,fr
P018,vehicles,89556,A couple of silver cars parked around a fire hydrant.,Deux voitures argentées garées autour d'une bouche d'incendie.,Two silver cars parked around a fire hydrant.,0.9918,PASS,fr
P019,vehicles,269632,A bright yellow transit bus is making it's way down a street in the dark.,Un bus de transport en commun jaune vif descend une rue dans l'obscurité.,A bright yellow public transport bus drives down a street in the dark.,0.963,PASS,fr
P020,vehicles,574425,Two old fashioned buses parked on the side of the road.,Deux bus à l'ancienne stationnés sur le bord de la route.,Two old-fashioned buses parked on the side of the road.,0.9967,PASS,fr
P021,vehicles,48924,A dirt bike parked near a tent in the woods.,Une moto tout-terrain garée près d'une tente dans les bois.,A dirt bike parked next to a tent in the woods.,0.9944,PASS,fr
P022,vehicles,516143,a green and white bus is on the street,un bus vert et blanc est dans la rue,a green and white bus is on the street,1.0,PASS,fr
P023,vehicles,259830,A moped is parked next to bicycles on a sidewalk.,Un cyclomoteur est garé à côté de vélos sur un trottoir.,A moped is parked next to bicycles on a pavement.,0.9921,PASS,fr
P024,vehicles,286507,A long red train traveling through snow covered country side.,Un long train rouge traversant une campagne enneigée.,A long red train through snowy countryside.,0.9858,PASS,fr
P025,vehicles,134722,Fast commuter train moving past an outdoor platform.,Train de banlieue rapide passant devant un quai extérieur.,Fast commuter train passing an outside platform.,0.9894,PASS,fr
P026,vehicles,137727,A motorized cart fills a train with luggage,Un chariot motorisé remplit un train de bagages,A motorised trolley fills a luggage train,0.9629,PASS,fr
P027,food,460929,A hot dog with mustard is next to a bottle of soda.,Un hot-dog avec de la moutarde se trouve à côté d'une bouteille de soda.,A hot dog with mustard is next to a bottle of soda.,1.0,PASS,fr
P028,food,47112,A dining table has a large pizza and wine glasses.,La table à manger est équipée d'une grande pizza et de verres à vin.,The dining table is equipped with a large pizza and wine glasses.,0.9795,PASS,fr
P029,food,99053,"A bowl of noodles, meat and broccoli with a fork.","Un bol de nouilles, de viande et de brocoli avec une fourchette.","A bowl of noodles, meat and broccoli with a fork.",1.0,PASS,fr
P030,food,91406,Several women gathered together posing with 6 pizzas in take out boxes.,Plusieurs femmes rassemblées posent avec 6 pizzas dans des boîtes à emporter.,Several women pose together with 6 pizzas in takeaway boxes.,0.9764,PASS,fr
P031,food,108253,A plate of cheese bread next to bread sticks and wine.,Une assiette de pain au fromage à côté de gressins et de vin.,A plate of cheese bread alongside breadsticks and wine.,0.9864,PASS,fr
P032,food,371472,A pile of pineapple sitting next to a pile of bananas.,Une pile d'ananas à côté d'une pile de bananes.,A pile of pineapples next to a pile of bananas.,0.9915,PASS,fr
P033,food,66706,A plate topped with banana slice covered pan cakes.,Une assiette garnie de pan cakes recouverts de tranches de banane.,A plate of pan cakes topped with banana slices.,0.9767,PASS,fr
P034,food,348708,The banana is laying next to an almost empty bowl.,La banane est posée à côté d'un bol presque vide.,The banana sits next to an almost empty bowl.,0.9874,PASS,fr
P035,food,323151,A pizza sitting on top of a white plate next to a glass of beer.,Une pizza posée sur une assiette blanche à côté d'un verre de bière.,A pizza on a white plate next to a glass of beer.,0.985,PASS,fr
P036,food,286908,Various dishes of food sit in bowls on a table.,Divers plats de nourriture sont posés dans des bols sur une table.,Various dishes of food are placed in bowls on a table.,0.9869,PASS,fr
P037,food,112378,A wooden table topped with a bunch of green bananas.,Une table en bois surmontée d'un régime de bananes vertes.,A wooden table topped with a bunch of green bananas.,1.0,PASS,fr
P038,food,75456,A pizza with Canadian bacon and pineapple in a fluted pan.,Une pizza au bacon canadien et à l'ananas dans une poêle cannelée.,A Canadian bacon and pineapple pizza in a fluted pan.,0.9883,PASS,fr
P039,animals,193162,a man on a three wheeler following behind a two dogs and a cow,un homme sur un véhicule à trois roues qui suit deux chiens et une vache,a man on a three-wheeled vehicle following two dogs and a cow,0.9631,PASS,fr
P040,animals,90062,A black and white cow stands in a paddock with firewood in the background.,Une vache noire et blanche se tient dans un enclos avec du bois de chauffage en arrière-plan.,A black and white cow stands in a paddock with firewood in the background.,1.0,PASS,fr
P041,animals,155571,An elephant walking across a green grass covered field.,Un éléphant marchant dans un champ couvert d'herbe verte.,An elephant walking through a field covered in green grass.,0.994,PASS,fr
P042,animals,357060,A bird is trying to find food in the water.,Un oiseau essaie de trouver de la nourriture dans l'eau.,A bird tries to find food in the water.,0.993,PASS,fr
P043,animals,345261,Two giraffe standing on to of a dry grass covered field.,Deux girafes debout dans un champ couvert d'herbe sèche.,Two giraffes standing in a field of dry grass.,0.9876,PASS,fr
P044,animals,347664,A herd of cattle walking across a sandy beach near the ocean.,Troupeau de bovins marchant sur une plage de sable près de l'océan.,Herd of cattle walking on a sandy beach near the ocean.,0.9933,PASS,fr
P045,animals,222235,A cat is playing with a plan in a park.,Un chat joue avec un plan dans un parc.,A cat plays with a map in a park.,0.9367,PASS,fr
P046,animals,180011,"Four young giraffes in a zoo, with one of them being fed leaves by a person","Quatre jeunes girafes dans un zoo, l'une d'entre elles étant nourrie de feuilles par une personne.","Four young giraffes in a zoo, one of them being fed leaves by someone.",0.9889,PASS,fr
P047,animals,512648,A brown cow under a tree in a grassy area.,Une vache brune sous un arbre dans une zone herbeuse.,A brown cow under a tree in a grassy area.,1.0,PASS,fr
P048,animals,547383,Two adult sheep lay on the green grass.,Deux moutons adultes sont couchés sur l'herbe verte.,Two adult sheep are lying on the green grass.,0.9924,PASS,fr
P049,animals,357081,A photograph of two cows grazing on a green pasture.,Photographie de deux vaches broutant dans un vert pâturage.,Photograph of two cows grazing in a green pasture.,0.9982,PASS,fr
P050,animals,1675,A cat resting on an open laptop computer.,Un chat se reposant sur un ordinateur portable ouvert.,A cat resting on an open laptop.,0.9769,PASS,fr
P001,people,235836,A boy playing baseball about to hit a ball.,Un niño jugando al béisbol a punto de golpear una pelota.,A boy playing baseball about to hit a ball.,1.0,PASS,es
P002,people,186449,An elderly woman sits on a bench with a crowd behind her.,Una anciana sentada en un banco con una multitud detrás.,An old woman sitting on a bench with a crowd behind her.,0.9891,PASS,es
P003,people,17436,A man sitting on a bench with a tall building behind him.,Un hombre sentado en un banco con un edificio alto detrás.,A man sitting on a bench with a tall building behind him.,1.0,PASS,es
P004,people,161781,A woman in gear skiing down a snowy slope,Una mujer en marcha esquiando por una ladera nevada,A woman on the move skiing down a snowy slope,0.9825,PASS,es
P005,people,2473,A man flying through the air while riding skis.,Un hombre volando por los aires mientras monta en esquís.,A man flying through the air while riding skis.,1.0,PASS,es
P006,people,438907,A man is doing a trick on a skateboard.,Un hombre está haciendo un truco en un monopatín.,A man is doing a trick on a skateboard.,1.0,PASS,es
P007,people,476415,A man wearing a white shirt and tie standing in  a room.,Un hombre con camisa blanca y corbata de pie en una habitación.,A man in a white shirt and tie standing in a room.,0.9954,PASS,es
P008,people,572462,A group of people standing inside of a moving tram.,Un grupo de personas de pie en el interior de un tranvía en marcha.,A group of people standing inside a moving tram.,0.9992,PASS,es
P009,people,259690,A handicapped man in a wheelchair is being helped to hold the bat by another man on a tee ball,Otro hombre ayuda a un discapacitado en silla de ruedas a sujetar el bate en un tee ball.,Another man helps a disabled man in a wheelchair hold the bat on a tee ball.,0.9822,PASS,es
P010,people,447187,A man is swinging a bat a ball being pitched at him.,Un hombre batea una pelota que le lanzan.,A man bats at a ball thrown to him.,0.9296,PASS,es
P011,people,308394,An older woman riding a train while sitting under it's window.,Una mujer mayor montada en un tren y sentada bajo su ventanilla.,An older woman riding a train and sitting under its window.,0.9943,PASS,es
P012,people,240250,A woman sitting down at a table with pizza.,Una mujer sentada en una mesa con pizza.,A woman sitting at a table with pizza.,0.9974,PASS,es
P013,people,554156,A man holding a tennis racket in the air,Un hombre sostiene una raqueta de tenis en el aire,A man holds a tennis racket in the air.,0.9959,PASS,es
P014,vehicles,152771,A bike in the middle of an empty parking lot next to trees,Una bicicleta en medio de un aparcamiento vacío junto a árboles,A bicycle in the middle of an empty car park next to trees.,0.9746,PASS,es
P015,vehicles,86220,A car and a public transit vehicle on a road.,Un coche y un vehículo de transporte público en una carretera.,A car and a public transport vehicle on a road.,0.9962,PASS,es
P016,vehicles,245448,A man standing with his motorcycle outside of a repair shop.,Un hombre con su motocicleta en la puerta de un taller.,A man with his motorbike outside a garage.,0.9311,PASS,es
P017,vehicles,571264,a man is standing next to a motorcycle outside,un hombre está de pie junto a una motocicleta en el exterior,a man stands next to a motorbike outside,0.9831,PASS,es
