prompt_id,category,image_id,caption_en,caption_translated,back_translated,cc_score,status,language,cometkiwi_score
P001,people,235836,A boy playing baseball about to hit a ball.,صبي يلعب البيسبول على وشك أن يضرب الكرة.,A boy playing baseball is about to hit the ball.,0.9742,PASS,ar,0.8185302019119263
P002,people,186449,An elderly woman sits on a bench with a crowd behind her.,امرأة مسنة تجلس على مقعد وخلفها حشد من الناس.,An elderly woman sits on a bench with a crowd of people behind her.,0.9967,PASS,ar,0.8494362831115723
P003,people,17436,A man sitting on a bench with a tall building behind him.,رجل يجلس على مقعد وخلفه مبنى مرتفع.,A man sits on a bench with a tall building behind him.,0.9979,PASS,ar,0.8457846641540527
P004,people,161781,A woman in gear skiing down a snowy slope,امرأة في ترس تتزلج على منحدر ثلجي,Woman in gear skiing down a snowy slope,0.9919,PASS,ar,0.6611917018890381
P005,people,2473,A man flying through the air while riding skis.,رجل يطير في الهواء أثناء ركوبه الزلاجات.,A man flies through the air while riding skis.,0.9947,PASS,ar,0.6256985664367676
P006,people,438907,A man is doing a trick on a skateboard.,رجل يقوم بخدعة على لوح تزلج.,A man doing a trick on a skateboard.,0.9913,PASS,ar,0.765849769115448
P007,people,476415,A man wearing a white shirt and tie standing in  a room.,رجل يرتدي قميصاً أبيض وربطة عنق بيضاء يقف في غرفة.,A man wearing a white shirt and white tie stands in a room.,0.9922,PASS,ar,0.8449181318283081
P008,people,572462,A group of people standing inside of a moving tram.,مجموعة من الأشخاص يقفون داخل ترام متحرك.,A group of people standing inside a moving tram.,0.9992,PASS,ar,0.8388423919677734
P009,people,259690,A handicapped man in a wheelchair is being helped to hold the bat by another man on a tee ball,رجل معاق على كرسي متحرك يساعده رجل آخر في حمل المضرب على كرة القدم,A disabled man in a wheelchair is helped by another man to carry a football bat,0.9499,PASS,ar,0.6348637342453003
P010,people,447187,A man is swinging a bat a ball being pitched at him.,رجل يتأرجح بمضربه على كرة تُقذف إليه.,A man swings his bat at a ball thrown to him.,0.9816,PASS,ar,0.526893138885498
P011,people,308394,An older woman riding a train while sitting under it's window.,امرأة عجوز تركب القطار بينما تجلس تحت نافذته.,An old woman rides the train while sitting under the window.,0.9839,PASS,ar,0.805899441242218
P012,people,240250,A woman sitting down at a table with pizza.,امرأة تجلس على طاولة عليها بيتزا.,A woman sits at a table with a pizza on it.,0.9913,PASS,ar,0.8267291784286499
P013,people,554156,A man holding a tennis racket in the air,رجل يمسك بمضرب تنس في الهواء,Man holding a tennis racket in the air,0.9941,PASS,ar,0.8014639019966125
P014,vehicles,152771,A bike in the middle of an empty parking lot next to trees,دراجة في وسط موقف سيارات فارغ بجوار الأشجار,Bike in the middle of an empty car park next to trees,0.9794,PASS,ar,0.8427338600158691
P015,vehicles,86220,A car and a public transit vehicle on a road.,سيارة ومركبة نقل عام على الطريق.,A car and a public transport vehicle on the road.,0.9917,PASS,ar,0.8018161058425903
P016,vehicles,245448,A man standing with his motorcycle outside of a repair shop.,رجل يقف بدراجته النارية خارج ورشة تصليح.,A man stands with his motorbike outside a repair shop.,0.9884,PASS,ar,0.8498343229293823
P017,vehicles,571264,a man is standing next to a motorcycle outside,رجل يقف إلى جانب دراجة نارية في الخارج,A man stands next to a motorbike outside,0.9806,PASS,ar,0.8321579098701477
P018,vehicles,89556,A couple of silver cars parked around a fire hydrant.,سيارتان فضيّتان متوقفتان حول صنبور إطفاء الحريق.,Two silver cars parked around the fire hydrant.,0.9917,PASS,ar,0.8259618282318115
P019,vehicles,269632,A bright yellow transit bus is making it's way down a street in the dark.,حافلة نقل صفراء زاهية اللون تشق طريقها في الشارع في الظلام.,A bright yellow bus makes its way down the street in the dark.,0.9854,PASS,ar,0.8271830081939697
P020,vehicles,574425,Two old fashioned buses parked on the side of the road.,حافلتان من الطراز القديم متوقفتان على جانب الطريق.,Two old-fashioned buses are parked on the side of the road.,0.9863,PASS,ar,0.772789478302002
P021,vehicles,48924,A dirt bike parked near a tent in the woods.,دراجة ترابية متوقفة بالقرب من خيمة في الغابة.,A dirt bike parked near a tent in the forest.,0.9901,PASS,ar,0.830092191696167
P022,vehicles,516143,a green and white bus is on the street,حافلة خضراء وبيضاء في الشارع,Green and white bus on the street,0.9833,PASS,ar,0.7417771816253662
P023,vehicles,259830,A moped is parked next to bicycles on a sidewalk.,دراجة بخارية متوقفة بجانب الدراجات على الرصيف.,A motorbike parked next to bicycles on the pavement.,0.9722,PASS,ar,0.8477082252502441
P024,vehicles,286507,A long red train traveling through snow covered country side.,قطار طويل أحمر اللون يسافر عبر الجانب الريفي المغطى بالثلوج.,A long red train travelling through the snow-covered countryside.,0.9878,PASS,ar,0.819536566734314
