prompt_id,category,dag_node,source,human_score,caption_en,caption_translated,back_translated,cc_score,status,language,cometkiwi_score
DB001,Colors,node3_attribute,DrawBench,,A black colored banana.,Eine schwarz gefärbte Banane.,A black coloured banana.,0.9917,PASS,de,0.8514420986175537
DB002,Colors,node3_attribute,DrawBench,,A blue bird and a brown bear.,Ein blauer Vogel und ein brauner Bär.,A blue bird and a brown bear.,1.0,PASS,de,0.8584492802619934
DB003,Colors,node3_attribute,DrawBench,,A red colored car.,Ein rot gefärbtes Auto.,A red coloured car.,0.9958,PASS,de,0.8531997203826904
DB004,Colors,node3_attribute,DrawBench,,A blue cup and a green cell phone.,Eine blaue Tasse und ein grünes Mobiltelefon.,A blue cup and a green mobile phone.,0.9861,PASS,de,0.8455425500869751
DB005,Colors,node3_attribute,DrawBench,,An orange colored sandwich.,Ein orangefarbenes Sandwich.,An orange-coloured sandwich.,0.992,PASS,de,0.8596784472465515
DB006,Colors,node3_attribute,DrawBench,,A white colored sandwich.,Ein weißes Sandwich.,A white sandwich.,0.9744,PASS,de,0.8319109678268433
DB007,Colors,node3_attribute,DrawBench,,A yellow colored giraffe.,Eine gelb gefärbte Giraffe.,A yellow coloured giraffe.,0.9968,PASS,de,0.8443191647529602
DB008,Colors,node3_attribute,DrawBench,,A black colored car.,Ein schwarzes Auto.,A black car.,0.9791,PASS,de,0.8513003587722778
DB009,Colors,node3_attribute,DrawBench,,A black apple and a green backpack.,Ein schwarzer Apfel und ein grüner Rucksack.,A black apple and a green rucksack.,0.9801,PASS,de,0.8536169528961182
DB010,Colors,node3_attribute,DrawBench,,A blue colored dog.,Ein blau gefärbter Hund.,A blue coloured dog.,0.9848,PASS,de,0.84322190284729
DB011,Colors,node3_attribute,DrawBench,,A pink colored car.,Ein pinkfarbenes Auto.,A pink car.,0.9908,PASS,de,0.8588076829910278
DB012,Colors,node3_attribute,DrawBench,,A pink colored giraffe.,Eine rosafarbene Giraffe.,A pink-coloured giraffe.,0.993,PASS,de,0.8551406860351562
DB013,Colors,node3_attribute,DrawBench,,A red car and a white sheep.,Ein rotes Auto und ein weißes Schaf.,A red car and a white sheep.,1.0,PASS,de,0.865509033203125
DB014,Counting,node1_object_presence,DrawBench,,One car on the street.,Ein Auto auf der Straße.,A car on the road.,0.9741,PASS,de,0.8408662676811218
DB015,Counting,node1_object_presence,DrawBench,,One dog on the street.,Ein Hund auf der Straße.,A dog on the street.,0.9897,PASS,de,0.8498088121414185
DB016,Counting,node1_object_presence,DrawBench,,One cat and two dogs sitting on the grass.,Eine Katze und zwei Hunde sitzen im Gras.,A cat and two dogs are sitting in the grass.,0.9851,PASS,de,0.8632417917251587
DB017,Counting,node1_object_presence,DrawBench,,Two cars on the street.,Zwei Autos auf der Straße.,Two cars on the road.,0.9762,PASS,de,0.8431533575057983
DB018,Counting,node1_object_presence,DrawBench,,Four dogs on the street.,Vier Hunde auf der Straße.,Four dogs on the street.,1.0,PASS,de,0.8515898585319519
DB019,Counting,node1_object_presence,DrawBench,,Three cats and one dog sitting on the grass.,Drei Katzen und ein Hund sitzen auf der Wiese.,Three cats and a dog are sitting in the meadow.,0.9585,PASS,de,0.864067554473877
DB020,Counting,node1_object_presence,DrawBench,,Four cars on the street.,Vier Autos auf der Straße.,Four cars on the road.,0.9762,PASS,de,0.850068211555481
DB021,Counting,node1_object_presence,DrawBench,,Two cats and one dog sitting on the grass.,Zwei Katzen und ein Hund sitzen auf der Wiese.,Two cats and a dog are sitting in the meadow.,0.9563,PASS,de,0.8619445562362671
DB022,Counting,node1_object_presence,DrawBench,,Two cats and three dogs sitting on the grass.,Zwei Katzen und drei Hunde sitzen auf der Wiese.,Two cats and three dogs are sitting on the meadow.,0.9607,PASS,de,0.8597683906555176
DB023,Counting,node1_object_presence,DrawBench,,Three cats and two dogs sitting on the grass.,Drei Katzen und zwei Hunde sitzen auf der Wiese.,Three cats and two dogs are sitting in the meadow.,0.956,PASS,de,0.8599487543106079
DB024,Counting,node1_object_presence,DrawBench,,Three cars on the street.,Drei Autos auf der Straße.,Three cars on the road.,0.9773,PASS,de,0.8500393629074097
