brief_id,model,language,n_questions,n_yes,tifa_score,per_object_json,per_colour_json,per_text_json
MB001,sd15,de,5,0,0.0,"{""smartwatch"": false, ""wireless charger"": false}","{""smartwatch=silver"": false, ""wireless charger=black"": false}","{""ZYRA"": false}"
MB001,flux,de,5,4,0.8,"{""smartwatch"": true, ""wireless charger"": true}","{""smartwatch=silver"": true, ""wireless charger=black"": true}","{""ZYRA"": false}"
MB002,sd15,de,5,0,0.0,"{""laptop"": false, ""wireless mouse"": false}","{""laptop=black"": false, ""wireless mouse=white"": false}","{""KESTRA"": false}"
MB002,flux,de,5,3,0.6,"{""laptop"": true, ""wireless mouse"": true}","{""laptop=black"": false, ""wireless mouse=white"": true}","{""KESTRA"": false}"
MB003,sd15,de,5,0,0.0,"{""wireless earbuds"": false, ""charging case"": false}","{""wireless earbuds=white"": false, ""charging case=black"": false}","{""APEX"": false}"
MB003,flux,de,5,5,1.0,"{""wireless earbuds"": true, ""charging case"": true}","{""wireless earbuds=white"": true, ""charging case=black"": true}","{""APEX"": true}"
MB004,sd15,de,5,1,0.2,"{""smartphone"": true, ""metal stand"": false}","{""smartphone=black"": false, ""metal stand=silver"": false}","{""VOLT"": false}"
MB004,flux,de,5,3,0.6,"{""smartphone"": true, ""metal stand"": false}","{""smartphone=black"": true, ""metal stand=silver"": false}","{""VOLT"": true}"
MB005,sd15,de,5,3,0.6,"{""tablet"": true, ""stylus pen"": true}","{""tablet=white"": false, ""stylus pen=gold"": true}","{""PRISM"": false}"
MB005,flux,de,5,4,0.8,"{""tablet"": true, ""stylus pen"": true}","{""tablet=white"": true, ""stylus pen=gold"": true}","{""PRISM"": false}"
MB006,sd15,de,5,2,0.4,"{""mechanical keyboard"": true, ""wireless mouse"": false}","{""mechanical keyboard=black"": true, ""wireless mouse=red"": false}","{""SYNTH"": false}"
MB006,flux,de,5,2,0.4,"{""mechanical keyboard"": true, ""wireless mouse"": false}","{""mechanical keyboard=black"": true, ""wireless mouse=red"": false}","{""SYNTH"": false}"
MB007,sd15,de,5,1,0.2,"{""bluetooth speaker"": true, ""smartphone"": false}","{""bluetooth speaker=blue"": false, ""smartphone=black"": false}","{""NEXUS"": false}"
MB007,flux,de,5,5,1.0,"{""bluetooth speaker"": true, ""smartphone"": true}","{""bluetooth speaker=blue"": true, ""smartphone=black"": true}","{""NEXUS"": true}"
MB008,sd15,de,5,1,0.2,"{""camera"": false, ""camera lens"": false}","{""camera=black"": true, ""camera lens=silver"": false}","{""KOVAL"": false}"
MB008,flux,de,5,4,0.8,"{""camera"": true, ""camera lens"": true}","{""camera=black"": true, ""camera lens=silver"": false}","{""KOVAL"": true}"
MB009,sd15,de,5,2,0.4,"{""gaming controller"": true, ""gaming headset"": false}","{""gaming controller=white"": true, ""gaming headset=black"": false}","{""LUNEX"": false}"
MB009,flux,de,5,4,0.8,"{""gaming controller"": true, ""gaming headset"": true}","{""gaming controller=white"": true, ""gaming headset=black"": true}","{""LUNEX"": false}"
MB010,sd15,de,5,2,0.4,"{""smart display"": true, ""remote control"": false}","{""smart display=black"": true, ""remote control=silver"": false}","{""KORE"": false}"
MB010,flux,de,5,3,0.6,"{""smart display"": true, ""remote control"": true}","{""smart display=black"": false, ""remote control=silver"": false}","{""KORE"": true}"
MB011,sd15,de,5,3,0.6,"{""power bank"": true, ""USB cable"": true}","{""power bank=white"": true, ""USB cable=red"": false}","{""LUMIX"": false}"
MB011,flux,de,5,4,0.8,"{""power bank"": true, ""USB cable"": true}","{""power bank=white"": true, ""USB cable=red"": false}","{""LUMIX"": true}"
MB012,sd15,de,5,4,0.8,"{""laptop"": true, ""coffee mug"": true}","{""laptop=silver"": true, ""coffee mug=white"": true}","{""MIRAX"": false}"
MB012,flux,de,5,5,1.0,"{""laptop"": true, ""coffee mug"": true}","{""laptop=silver"": true, ""coffee mug=white"": true}","{""MIRAX"": true}"
MB013,sd15,de,5,2,0.4,"{""wireless earbuds"": false, ""smartphone"": true}","{""wireless earbuds=white"": false, ""smartphone=black"": true}","{""NEURO"": false}"
MB013,flux,de,5,5,1.0,"{""wireless earbuds"": true, ""smartphone"": true}","{""wireless earbuds=white"": true, ""smartphone=black"": true}","{""NEURO"": true}"
MB014,sd15,de,5,1,0.2,"{""webcam"": false, ""monitor"": true}","{""webcam=black"": false, ""monitor=white"": false}","{""OPUS"": false}"
MB014,flux,de,5,4,0.8,"{""webcam"": true, ""monitor"": true}","{""webcam=black"": true, ""monitor=white"": false}","{""OPUS"": true}"
MB015,sd15,de,5,3,0.6,"{""action camera"": false, ""cycling helmet"": true}","{""action camera=orange"": true, ""cycling helmet=white"": true}","{""PHASE"": false}"
MB015,flux,de,5,5,1.0,"{""action camera"": true, ""cycling helmet"": true}","{""action camera=orange"": true, ""cycling helmet=white"": true}","{""PHASE"": true}"
MB016,sd15,de,5,3,0.6,"{""smart speaker"": true, ""digital clock"": true}","{""smart speaker=white"": true, ""digital clock=black"": false}","{""QUBIT"": false}"
MB016,flux,de,5,5,1.0,"{""smart speaker"": true, ""digital clock"": true}","{""smart speaker=white"": true, ""digital clock=black"": true}","{""QUBIT"": true}"
MB017,sd15,de,5,0,0.0,"{""VR headset"": false, ""motion controllers"": false}","{""VR headset=white"": false, ""motion controllers=black"": false}","{""RADIUS"": false}"
MB017,flux,de,5,4,0.8,"{""VR headset"": true, ""motion controllers"": false}","{""VR headset=white"": true, ""motion controllers=black"": true}","{""RADIUS"": true}"
MB018,sd15,de,5,1,0.2,"{""curved monitor"": false, ""keyboard"": true}","{""curved monitor=black"": false, ""keyboard=silver"": false}","{""SPARK"": false}"
MB018,flux,de,5,2,0.4,"{""curved monitor"": false, ""keyboard"": true}","{""curved monitor=black"": false, ""keyboard=silver"": false}","{""SPARK"": true}"
MB019,sd15,de,5,1,0.2,"{""drone"": true, ""remote control"": false}","{""drone=black"": false, ""remote control=gray"": false}","{""VORTA"": false}"
MB019,flux,de,5,5,1.0,"{""drone"": true, ""remote control"": true}","{""drone=black"": true, ""remote control=gray"": true}","{""VORTA"": true}"
MB020,sd15,de,5,2,0.4,"{""e-reader"": true, ""reading glasses"": false}","{""e-reader=white"": true, ""reading glasses=black"": false}","{""RIVOX"": false}"
MB020,flux,de,5,3,0.6,"{""e-reader"": true, ""reading glasses"": false}","{""e-reader=white"": true, ""reading glasses=black"": false}","{""RIVOX"": true}"
MB021,sd15,de,5,2,0.4,"{""USB hub"": true, ""laptop"": false}","{""USB hub=gray"": true, ""laptop=silver"": false}","{""WAVE"": false}"
MB021,flux,de,5,5,1.0,"{""USB hub"": true, ""laptop"": true}","{""USB hub=gray"": true, ""laptop=silver"": true}","{""WAVE"": true}"
MB022,sd15,de,5,0,0.0,"{""gaming headset"": false, ""headphone stand"": false}","{""gaming headset=black"": false, ""headphone stand=white"": false}","{""XENON"": false}"
MB022,flux,de,5,5,1.0,"{""gaming headset"": true, ""headphone stand"": true}","{""gaming headset=black"": true, ""headphone stand=white"": true}","{""XENON"": true}"
MB023,sd15,de,5,2,0.4,"{""fitness tracker"": true, ""smartphone"": false}","{""fitness tracker=black"": true, ""smartphone=white"": false}","{""ZETA"": false}"
MB023,flux,de,5,5,1.0,"{""fitness tracker"": true, ""smartphone"": true}","{""fitness tracker=black"": true, ""smartphone=white"": true}","{""ZETA"": true}"
MB024,sd15,de,5,1,0.2,"{""portable projector"": true, ""remote control"": false}","{""portable projector=white"": false, ""remote control=black"": false}","{""AXON"": false}"
MB024,flux,de,5,3,0.6,"{""portable projector"": true, ""remote control"": false}","{""portable projector=white"": true, ""remote control=black"": false}","{""AXON"": true}"
MB025,sd15,de,5,0,0.0,"{""smart glasses"": false, ""glasses case"": false}","{""smart glasses=rose gold"": false, ""glasses case=black"": false}","{""BREEZE"": false}"
MB025,flux,de,5,3,0.6,"{""smart glasses"": false, ""glasses case"": true}","{""smart glasses=rose gold"": false, ""glasses case=black"": true}","{""BREEZE"": true}"
MB026,sd15,de,5,2,0.4,"{""portable SSD"": false, ""USB cable"": true}","{""portable SSD=silver"": true, ""USB cable=blue"": false}","{""CREST"": false}"
