brief_id,model,language,node1_pass,node1_score,node1_short_circuit,node2_pass,node2_score,node2_skipped,node3_pass,node3_score,node3_skipped,node4_pass,node4_score,node4_skipped,node4_skipped_reason,node4_clcg_interpretable,node5_pass,node5_score,compliance_score,failure_diagnosis,compliant,output_path
MB069,sd15,de,False,0.5,True,False,0.0,False,False,0.5,False,,0.0,True,sd15_architectural,False,True,0.6061,0.3106,[MB069] NON-COMPLIANT — Node1: required objects absent; (informational only — flat pipeline: Nodes 2-5 still executed); Node2: spatial constraints not satisfied; Node3: colour attributes not satisfied; Node4: SD v1.5 architectural limitation — text rendering unreliable (Phase 1C accuracy=0.1667); scored as 0.0,False,data\generated_images\phase2b\sd15\de\MB069_seed42.png
MB080,sd15,de,False,0.5,True,False,0.0,False,False,0.5,False,,0.0,True,sd15_architectural,False,True,0.6052,0.3105,[MB080] NON-COMPLIANT — Node1: required objects absent; (informational only — flat pipeline: Nodes 2-5 still executed); Node2: spatial constraints not satisfied; Node3: colour attributes not satisfied; Node4: SD v1.5 architectural limitation — text rendering unreliable (Phase 1C accuracy=0.1667); scored as 0.0,False,data\generated_images\phase2b\sd15\de\MB080_seed42.png
MB051,sd15,de,False,0.5,True,False,0.0,False,False,0.5,False,,0.0,True,sd15_architectural,False,True,0.5873,0.3087,[MB051] NON-COMPLIANT — Node1: required objects absent; (informational only — flat pipeline: Nodes 2-5 still executed); Node2: spatial constraints not satisfied; Node3: colour attributes not satisfied; Node4: SD v1.5 architectural limitation — text rendering unreliable (Phase 1C accuracy=0.1667); scored as 0.0,False,data\generated_images\phase2b\sd15\de\MB051_seed42.png
MB067,flux,de,True,1.0,False,True,1.0,False,True,1.0,False,True,1.0,False,,True,True,0.6207,0.9621,[MB067] COMPLIANT — all constraints satisfied,True,data\generated_images\phase2b\flux\de\MB067_seed42.png
MB005,sd15,de,True,1.0,False,True,1.0,False,False,0.5,False,,0.0,True,sd15_architectural,False,True,0.604,0.6604,[MB005] NON-COMPLIANT — Node3: colour attributes not satisfied; Node4: SD v1.5 architectural limitation — text rendering unreliable (Phase 1C accuracy=0.1667); scored as 0.0,True,data\generated_images\phase2b\sd15\de\MB005_seed42.png
MB058,sd15,de,False,0.0,True,False,0.0,False,False,0.5,False,,0.0,True,sd15_architectural,False,True,0.5977,0.1598,[MB058] NON-COMPLIANT — Node1: required objects absent; (informational only — flat pipeline: Nodes 2-5 still executed); Node2: spatial constraints not satisfied; Node3: colour attributes not satisfied; Node4: SD v1.5 architectural limitation — text rendering unreliable (Phase 1C accuracy=0.1667); scored as 0.0,False,data\generated_images\phase2b\sd15\de\MB058_seed42.png
MB068,flux,de,False,0.0,True,False,0.0,False,False,0.5,False,False,0.0,False,,True,True,0.6035,0.1604,[MB068] NON-COMPLIANT — Node1: required objects absent; (informational only — flat pipeline: Nodes 2-5 still executed); Node2: spatial constraints not satisfied; Node3: colour attributes not satisfied; Node4: required text not legibly rendered,False,data\generated_images\phase2b\flux\de\MB068_seed42.png
MB070,flux,de,False,0.5,True,False,0.0,False,False,0.5,False,True,1.0,False,,True,True,0.6079,0.5108,[MB070] NON-COMPLIANT — Node1: required objects absent; (informational only — flat pipeline: Nodes 2-5 still executed); Node2: spatial constraints not satisfied; Node3: colour attributes not satisfied,True,data\generated_images\phase2b\flux\de\MB070_seed42.png
MB044,flux,de,False,0.5,True,False,0.0,False,False,0.5,False,False,0.2,False,,True,True,0.604,0.3504,[MB044] NON-COMPLIANT — Node1: required objects absent; (informational only — flat pipeline: Nodes 2-5 still executed); Node2: spatial constraints not satisfied; Node3: colour attributes not satisfied; Node4: required text not legibly rendered,False,data\generated_images\phase2b\flux\de\MB044_seed42.png
MB079,sd15,de,True,1.0,False,True,1.0,False,False,0.0,False,,0.0,True,sd15_architectural,False,True,0.5965,0.5596,[MB079] NON-COMPLIANT — Node3: colour attributes not satisfied; Node4: SD v1.5 architectural limitation — text rendering unreliable (Phase 1C accuracy=0.1667); scored as 0.0,True,data\generated_images\phase2b\sd15\de\MB079_seed42.png
