prompt_id,model,prompt_text,color_pairs,blip_score,mclip_score,image_found
CV001,sd15,a blue bench and a green cake,"[('blue', 'bench'), ('green', 'cake')]",0.5,0.2842,1
CV002,sd15,a red orange and a brown sheep,"[('red', 'orange'), ('brown', 'sheep')]",0.5,0.2883,1
CV003,sd15,a brown orange and a red sheep,"[('red', 'sheep'), ('brown', 'orange')]",0.0,0.3116,1
CV004,sd15,a brown banana and a green dog,"[('green', 'dog'), ('brown', 'banana')]",,,0
CV005,sd15,a green banana and a brown horse,"[('green', 'banana'), ('brown', 'horse')]",0.5,0.2811,1
CV006,sd15,a blue backpack and a green banana,"[('blue', 'backpack'), ('green', 'banana')]",0.5,0.3363,1
CV007,sd15,a red horse and a brown orange,"[('red', 'horse'), ('brown', 'orange')]",0.0,0.3073,1
CV008,sd15,a blue backpack and a gold clock,"[('blue', 'backpack'), ('gold', 'clock')]",0.5,0.3237,1
CV009,sd15,a brown backpack and a blue sheep,"[('blue', 'sheep'), ('brown', 'backpack')]",0.5,0.3343,1
CV010,sd15,a blue bowl and a red train,"[('red', 'train'), ('blue', 'bowl')]",1.0,0.3678,1
CV011,sd15,a brown giraffe and a red train,"[('red', 'train'), ('brown', 'giraffe')]",1.0,0.316,1
CV012,sd15,a blue boat and a red suitcase,"[('red', 'suitcase'), ('blue', 'boat')]",1.0,0.3219,1
CV013,sd15,a blue backpack and a red car,"[('red', 'car'), ('blue', 'backpack')]",1.0,0.3506,1
CV014,sd15,a brown banana and a green cow,"[('green', 'cow'), ('brown', 'banana')]",0.0,0.3165,1
CV015,sd15,a brown giraffe and a blue vase,"[('blue', 'vase'), ('brown', 'giraffe')]",1.0,0.3739,1
CV016,sd15,a blue giraffe and a brown vase,"[('blue', 'giraffe'), ('brown', 'vase')]",0.5,0.3128,1
CV017,sd15,a red cow and a brown suitcase,"[('red', 'cow'), ('brown', 'suitcase')]",0.5,0.3507,1
CV018,sd15,a green banana and a brown giraffe,"[('green', 'banana'), ('brown', 'giraffe')]",1.0,0.2782,1
CV019,sd15,a red chair and a brown sheep,"[('red', 'chair'), ('brown', 'sheep')]",0.5,0.3492,1
CV020,sd15,a yellow apple and red bananas,"[('red', 'bananas'), ('yellow', 'apple')]",0.5,0.2656,1
CV021,sd15,a red hat and a black scarf,"[('red', 'hat'), ('black', 'scarf')]",0.5,0.3111,1
CV022,sd15,a yellow grass and a green dandelion,"[('green', 'dandelion'), ('yellow', 'grass')]",0.0,0.3231,1
CV023,sd15,a gray cat and a black mouse,"[('black', 'mouse'), ('gray', 'cat')]",1.0,0.3294,1
CV024,sd15,a yellow tomato and a red pepper,"[('red', 'pepper'), ('yellow', 'tomato')]",0.5,0.2905,1
CV025,sd15,a green jay and a blue parrot,"[('blue', 'parrot'), ('green', 'jay')]",0.5,0.2996,1
CV026,sd15,a black squirrel and a brown nut,"[('brown', 'nut'), ('black', 'squirrel')]",0.5,0.3178,1
CV027,sd15,a black jacket and a brown hat,"[('brown', 'hat'), ('black', 'jacket')]",0.5,0.2762,1
CV028,sd15,Bathroom scene with white background and tan accents.,"[('white', 'background')]",1.0,0.2747,1
CV029,sd15,A white carpet in a bathroom with red fixtures.,"[('red', 'fixtures'), ('white', 'carpet')]",0.5,0.3055,1
