brief_id,industry,brand_name,prompt_text,required_objects,colour_attributes,spatial_constraints,required_text,style_descriptors
MB001,tech_product,ZYRA,"Product photography of a silver smartwatch placed to the left of a black wireless charger on a clean white surface, ZYRA on watch face, minimalist studio lighting","[""smartwatch"", ""wireless charger""]","{""smartwatch"": ""silver"", ""wireless charger"": ""black""}","[""smartwatch left of wireless charger""]","[""ZYRA""]","[""product photography"", ""minimalist"", ""white background"", ""studio lighting""]"
MB002,tech_product,KESTRA,"Studio product shot of a black laptop with a white wireless mouse to its right on a gray desk, KESTRA logo on laptop lid, overhead lighting","[""laptop"", ""wireless mouse""]","{""laptop"": ""black"", ""wireless mouse"": ""white""}","[""wireless mouse right of laptop""]","[""KESTRA""]","[""studio lighting"", ""overhead shot"", ""gray background""]"
MB003,tech_product,APEX,"Clean product photography of white wireless earbuds placed above their black charging case on a dark surface, APEX engraved on case, minimal style","[""wireless earbuds"", ""charging case""]","{""wireless earbuds"": ""white"", ""charging case"": ""black""}","[""wireless earbuds above charging case""]","[""APEX""]","[""product photography"", ""dark background"", ""minimal""]"
MB004,tech_product,VOLT,"Product shot of a black smartphone mounted on a silver metal stand, VOLT printed on the back of the phone, studio lighting against a blue background","[""smartphone"", ""metal stand""]","{""smartphone"": ""black"", ""metal stand"": ""silver""}","[""smartphone above metal stand""]","[""VOLT""]","[""product photography"", ""studio lighting"", ""blue background""]"
MB005,tech_product,PRISM,"Overhead product photography of a white tablet with a gold stylus pen to its right on a marble surface, PRISM on tablet bezel, clean composition","[""tablet"", ""stylus pen""]","{""tablet"": ""white"", ""stylus pen"": ""gold""}","[""stylus pen right of tablet""]","[""PRISM""]","[""overhead shot"", ""marble surface"", ""clean composition""]"
MB006,tech_product,SYNTH,"Product photography of a black mechanical keyboard with a red wireless mouse to its right on a dark desk mat, SYNTH logo on keyboard space bar, gaming aesthetic","[""mechanical keyboard"", ""wireless mouse""]","{""mechanical keyboard"": ""black"", ""wireless mouse"": ""red""}","[""wireless mouse right of mechanical keyboard""]","[""SYNTH""]","[""product photography"", ""gaming aesthetic"", ""dark background""]"
MB007,tech_product,NEXUS,"Lifestyle product shot of a blue Bluetooth speaker with a black smartphone leaning to its right on a wooden table, NEXUS on speaker body, warm lighting","[""bluetooth speaker"", ""smartphone""]","{""bluetooth speaker"": ""blue"", ""smartphone"": ""black""}","[""smartphone right of bluetooth speaker""]","[""NEXUS""]","[""lifestyle photography"", ""wooden surface"", ""warm lighting""]"
MB008,tech_product,KOVAL,"Studio product photography of a black DSLR camera with a silver camera lens placed to its right on a white pedestal, KOVAL engraved on lens barrel, professional lighting","[""camera"", ""camera lens""]","{""camera"": ""black"", ""camera lens"": ""silver""}","[""camera lens right of camera""]","[""KOVAL""]","[""studio photography"", ""white background"", ""professional lighting""]"
MB009,tech_product,LUNEX,"Product photography of a white gaming controller placed to the left of a black gaming headset on a clean gray surface, LUNEX logo on controller, dramatic side lighting","[""gaming controller"", ""gaming headset""]","{""gaming controller"": ""white"", ""gaming headset"": ""black""}","[""gaming controller left of gaming headset""]","[""LUNEX""]","[""product photography"", ""gray background"", ""dramatic lighting""]"
MB010,tech_product,KORE,"Clean product shot of a black smart display with a silver remote control placed below it on a white surface, KORE on display screen, studio lighting","[""smart display"", ""remote control""]","{""smart display"": ""black"", ""remote control"": ""silver""}","[""remote control below smart display""]","[""KORE""]","[""product photography"", ""white background"", ""studio lighting""]"
MB011,tech_product,LUMIX,"Minimalist product photography of a white rectangular power bank with a red USB cable coiled below it on a light gray surface, LUMIX on power bank, clean composition","[""power bank"", ""USB cable""]","{""power bank"": ""white"", ""USB cable"": ""red""}","[""USB cable below power bank""]","[""LUMIX""]","[""minimalist"", ""gray background"", ""clean composition""]"
MB012,tech_product,MIRAX,"Lifestyle product shot of an open silver laptop with a white ceramic coffee mug to its right on a dark wood desk, MIRAX logo on laptop screen, morning light","[""laptop"", ""coffee mug""]","{""laptop"": ""silver"", ""coffee mug"": ""white""}","[""coffee mug right of laptop""]","[""MIRAX""]","[""lifestyle photography"", ""dark wood surface"", ""morning light""]"
