prompt_id,category,dag_node,source,human_score,caption_en,caption_translated,back_translated,cc_score,status,language
DB001,Colors,node3_attribute,DrawBench,,A black colored banana.,Un plátano de color negro.,A black banana.,0.9773,PASS,es
DB002,Colors,node3_attribute,DrawBench,,A blue bird and a brown bear.,Un pájaro azul y un oso pardo.,A blue bird and a brown bear.,1.0,PASS,es
DB003,Colors,node3_attribute,DrawBench,,A red colored car.,Un coche de color rojo.,A red car.,0.9809,PASS,es
DB004,Colors,node3_attribute,DrawBench,,A blue cup and a green cell phone.,Una taza azul y un móvil verde.,A blue cup and a green mobile.,0.952,PASS,es
DB005,Colors,node3_attribute,DrawBench,,An orange colored sandwich.,Un bocadillo de color naranja.,An orange snack.,0.8974,PASS,es
DB006,Colors,node3_attribute,DrawBench,,A white colored sandwich.,Un bocadillo de color blanco.,A white sandwich.,0.9744,PASS,es
DB007,Colors,node3_attribute,DrawBench,,A yellow colored giraffe.,Una jirafa de color amarillo.,A yellow giraffe.,0.9805,PASS,es
DB008,Colors,node3_attribute,DrawBench,,A black colored car.,Un coche de color negro.,A black car.,0.9791,PASS,es
DB009,Colors,node3_attribute,DrawBench,,A black apple and a green backpack.,Una manzana negra y una mochila verde.,A black apple and a green backpack.,1.0,PASS,es
DB010,Colors,node3_attribute,DrawBench,,A blue colored dog.,Un perro de color azul.,A blue-coloured dog.,0.9835,PASS,es
DB011,Colors,node3_attribute,DrawBench,,A pink colored car.,Un coche de color rosa.,A pink car.,0.9908,PASS,es
DB012,Colors,node3_attribute,DrawBench,,A pink colored giraffe.,Una jirafa de color rosa.,A pink giraffe.,0.9823,PASS,es
DB013,Colors,node3_attribute,DrawBench,,A red car and a white sheep.,Un coche rojo y una oveja blanca.,A red car and a white sheep.,1.0,PASS,es
DB014,Counting,node1_object_presence,DrawBench,,One car on the street.,Un coche en la calle.,A car in the street.,0.9876,PASS,es
DB015,Counting,node1_object_presence,DrawBench,,One dog on the street.,Un perro en la calle.,A dog in the street.,0.9877,PASS,es
