brief_id,model,language,node1_pass,node1_score,node1_short_circuit,node2_pass,node2_score,node2_skipped,node3_pass,node3_score,node3_skipped,node4_pass,node4_score,node4_skipped,node4_skipped_reason,node4_clcg_interpretable,node5_pass,node5_score,compliance_score,failure_diagnosis
MB001,sd15,de,False,0.0,True,,0.0,True,,0.0,True,,0.0,True,short_circuit,False,,0.0,0.0,[MB001] NON-COMPLIANT — Node1: required objects absent (short-circuit triggered); Node2/Node3: skipped — object presence failed upstream
MB001,flux,de,True,1.0,False,False,0.0,False,True,1.0,False,False,0.0,False,,True,True,0.6181,0.5618,[MB001] NON-COMPLIANT — Node2: spatial constraints not satisfied; Node4: required text not legibly rendered
MB002,sd15,de,False,0.0,True,,0.0,True,,0.0,True,,0.0,True,short_circuit,False,,0.0,0.0,[MB002] NON-COMPLIANT — Node1: required objects absent (short-circuit triggered); Node2/Node3: skipped — object presence failed upstream
MB002,flux,de,True,1.0,False,True,1.0,False,False,0.5,False,False,0.0,False,,True,True,0.6136,0.6614,[MB002] NON-COMPLIANT — Node3: colour attributes not satisfied; Node4: required text not legibly rendered
MB003,sd15,de,False,0.0,True,,0.0,True,,0.0,True,,0.0,True,short_circuit,False,,0.0,0.0,[MB003] NON-COMPLIANT — Node1: required objects absent (short-circuit triggered); Node2/Node3: skipped — object presence failed upstream
MB003,flux,de,True,1.0,False,False,0.0,False,True,1.0,False,True,1.0,False,,True,True,0.6169,0.7617,[MB003] NON-COMPLIANT — Node2: spatial constraints not satisfied
MB004,sd15,de,False,0.5,True,,0.0,True,,0.0,True,,0.0,True,short_circuit,False,,0.0,0.15,[MB004] NON-COMPLIANT — Node1: required objects absent (short-circuit triggered); Node2/Node3: skipped — object presence failed upstream
MB004,flux,de,False,0.5,True,,0.0,True,,0.0,True,,0.0,True,short_circuit,True,,0.0,0.15,[MB004] NON-COMPLIANT — Node1: required objects absent (short-circuit triggered); Node2/Node3: skipped — object presence failed upstream
MB005,sd15,de,True,1.0,False,True,1.0,False,False,0.5,False,,0.0,True,sd15_architectural,False,True,0.604,0.6604,[MB005] NON-COMPLIANT — Node3: colour attributes not satisfied; Node4: SD v1.5 architectural limitation — text rendering unreliable (Phase 1C accuracy=0.1667); scored as 0.0 in compliance score; excluded from CLCG heatmap in Phase 2B
MB005,flux,de,True,1.0,False,True,1.0,False,True,1.0,False,False,0.1667,False,,True,True,0.6221,0.7955,[MB005] NON-COMPLIANT — Node4: required text not legibly rendered
MB006,sd15,de,False,0.5,True,,0.0,True,,0.0,True,,0.0,True,short_circuit,False,,0.0,0.15,[MB006] NON-COMPLIANT — Node1: required objects absent (short-circuit triggered); Node2/Node3: skipped — object presence failed upstream
MB006,flux,de,False,0.5,True,,0.0,True,,0.0,True,,0.0,True,short_circuit,True,,0.0,0.15,[MB006] NON-COMPLIANT — Node1: required objects absent (short-circuit triggered); Node2/Node3: skipped — object presence failed upstream
MB007,sd15,de,False,0.5,True,,0.0,True,,0.0,True,,0.0,True,short_circuit,False,,0.0,0.15,[MB007] NON-COMPLIANT — Node1: required objects absent (short-circuit triggered); Node2/Node3: skipped — object presence failed upstream
MB007,flux,de,True,1.0,False,True,1.0,False,True,1.0,False,True,0.5455,False,,True,True,0.6219,0.8713,[MB007] COMPLIANT — all constraints satisfied
MB008,sd15,de,False,0.5,True,,0.0,True,,0.0,True,,0.0,True,short_circuit,False,,0.0,0.15,[MB008] NON-COMPLIANT — Node1: required objects absent (short-circuit triggered); Node2/Node3: skipped — object presence failed upstream
MB008,flux,de,True,1.0,False,True,1.0,False,False,0.5,False,True,0.5,False,,True,True,0.5999,0.76,[MB008] NON-COMPLIANT — Node3: colour attributes not satisfied
MB009,sd15,de,False,0.5,True,,0.0,True,,0.0,True,,0.0,True,short_circuit,False,,0.0,0.15,[MB009] NON-COMPLIANT — Node1: required objects absent (short-circuit triggered); Node2/Node3: skipped — object presence failed upstream
MB009,flux,de,True,1.0,False,False,0.0,False,True,1.0,False,False,0.0,False,,True,True,0.6173,0.5617,[MB009] NON-COMPLIANT — Node2: spatial constraints not satisfied; Node4: required text not legibly rendered
MB010,sd15,de,False,0.5,True,,0.0,True,,0.0,True,,0.0,True,short_circuit,False,,0.0,0.15,[MB010] NON-COMPLIANT — Node1: required objects absent (short-circuit triggered); Node2/Node3: skipped — object presence failed upstream
MB010,flux,de,True,1.0,False,True,1.0,False,False,0.0,False,True,1.0,False,,True,True,0.61,0.761,[MB010] NON-COMPLIANT — Node3: colour attributes not satisfied
MB011,sd15,de,True,1.0,False,True,1.0,False,False,0.5,False,,0.0,True,sd15_architectural,False,True,0.6003,0.66,[MB011] NON-COMPLIANT — Node3: colour attributes not satisfied; Node4: SD v1.5 architectural limitation — text rendering unreliable (Phase 1C accuracy=0.1667); scored as 0.0 in compliance score; excluded from CLCG heatmap in Phase 2B
MB011,flux,de,True,1.0,False,True,1.0,False,False,0.5,False,True,1.0,False,,True,True,0.6242,0.8624,[MB011] NON-COMPLIANT — Node3: colour attributes not satisfied
MB012,sd15,de,True,1.0,False,False,0.0,False,True,1.0,False,,0.0,True,sd15_architectural,False,True,0.5963,0.5596,[MB012] NON-COMPLIANT — Node2: spatial constraints not satisfied; Node4: SD v1.5 architectural limitation — text rendering unreliable (Phase 1C accuracy=0.1667); scored as 0.0 in compliance score; excluded from CLCG heatmap in Phase 2B
MB012,flux,de,True,1.0,False,True,1.0,False,True,1.0,False,True,1.0,False,,True,True,0.6221,0.9622,[MB012] COMPLIANT — all constraints satisfied
MB013,sd15,de,False,0.5,True,,0.0,True,,0.0,True,,0.0,True,short_circuit,False,,0.0,0.15,[MB013] NON-COMPLIANT — Node1: required objects absent (short-circuit triggered); Node2/Node3: skipped — object presence failed upstream
MB013,flux,de,True,1.0,False,False,0.0,False,True,1.0,False,True,1.0,False,,True,True,0.6246,0.7625,[MB013] NON-COMPLIANT — Node2: spatial constraints not satisfied
MB014,sd15,de,False,0.5,True,,0.0,True,,0.0,True,,0.0,True,short_circuit,False,,0.0,0.15,[MB014] NON-COMPLIANT — Node1: required objects absent (short-circuit triggered); Node2/Node3: skipped — object presence failed upstream
MB014,flux,de,True,1.0,False,False,0.0,False,False,0.5,False,True,1.0,False,,True,True,0.6293,0.6629,[MB014] NON-COMPLIANT — Node2: spatial constraints not satisfied; Node3: colour attributes not satisfied
MB015,sd15,de,False,0.5,True,,0.0,True,,0.0,True,,0.0,True,short_circuit,False,,0.0,0.15,[MB015] NON-COMPLIANT — Node1: required objects absent (short-circuit triggered); Node2/Node3: skipped — object presence failed upstream
MB015,flux,de,True,1.0,False,True,1.0,False,True,1.0,False,True,0.9091,False,,True,True,0.6188,0.9437,[MB015] COMPLIANT — all constraints satisfied
MB016,sd15,de,True,1.0,False,False,0.0,False,False,0.5,False,,0.0,True,sd15_architectural,False,True,0.5992,0.4599,[MB016] NON-COMPLIANT — Node2: spatial constraints not satisfied; Node3: colour attributes not satisfied; Node4: SD v1.5 architectural limitation — text rendering unreliable (Phase 1C accuracy=0.1667); scored as 0.0 in compliance score; excluded from CLCG heatmap in Phase 2B
MB016,flux,de,True,1.0,False,True,1.0,False,True,1.0,False,True,1.0,False,,True,True,0.6158,0.9616,[MB016] COMPLIANT — all constraints satisfied
MB017,sd15,de,False,0.0,True,,0.0,True,,0.0,True,,0.0,True,short_circuit,False,,0.0,0.0,[MB017] NON-COMPLIANT — Node1: required objects absent (short-circuit triggered); Node2/Node3: skipped — object presence failed upstream
MB017,flux,de,False,0.5,True,,0.0,True,,0.0,True,,0.0,True,short_circuit,True,,0.0,0.15,[MB017] NON-COMPLIANT — Node1: required objects absent (short-circuit triggered); Node2/Node3: skipped — object presence failed upstream
MB018,sd15,de,False,0.5,True,,0.0,True,,0.0,True,,0.0,True,short_circuit,False,,0.0,0.15,[MB018] NON-COMPLIANT — Node1: required objects absent (short-circuit triggered); Node2/Node3: skipped — object presence failed upstream
MB018,flux,de,False,0.5,True,,0.0,True,,0.0,True,,0.0,True,short_circuit,True,,0.0,0.15,[MB018] NON-COMPLIANT — Node1: required objects absent (short-circuit triggered); Node2/Node3: skipped — object presence failed upstream
MB019,sd15,de,False,0.5,True,,0.0,True,,0.0,True,,0.0,True,short_circuit,False,,0.0,0.15,[MB019] NON-COMPLIANT — Node1: required objects absent (short-circuit triggered); Node2/Node3: skipped — object presence failed upstream
MB019,flux,de,True,1.0,False,False,0.0,False,True,1.0,False,True,1.0,False,,True,True,0.6144,0.7614,[MB019] NON-COMPLIANT — Node2: spatial constraints not satisfied
MB020,sd15,de,False,0.5,True,,0.0,True,,0.0,True,,0.0,True,short_circuit,False,,0.0,0.15,[MB020] NON-COMPLIANT — Node1: required objects absent (short-circuit triggered); Node2/Node3: skipped — object presence failed upstream
MB020,flux,de,False,0.5,True,,0.0,True,,0.0,True,,0.0,True,short_circuit,True,,0.0,0.15,[MB020] NON-COMPLIANT — Node1: required objects absent (short-circuit triggered); Node2/Node3: skipped — object presence failed upstream
MB021,sd15,de,False,0.5,True,,0.0,True,,0.0,True,,0.0,True,short_circuit,False,,0.0,0.15,[MB021] NON-COMPLIANT — Node1: required objects absent (short-circuit triggered); Node2/Node3: skipped — object presence failed upstream
MB021,flux,de,True,1.0,False,False,0.0,False,True,1.0,False,True,1.0,False,,True,True,0.6204,0.762,[MB021] NON-COMPLIANT — Node2: spatial constraints not satisfied
MB022,sd15,de,False,0.0,True,,0.0,True,,0.0,True,,0.0,True,short_circuit,False,,0.0,0.0,[MB022] NON-COMPLIANT — Node1: required objects absent (short-circuit triggered); Node2/Node3: skipped — object presence failed upstream
MB022,flux,de,True,1.0,False,True,1.0,False,True,1.0,False,True,0.8,False,,True,True,0.6184,0.9218,[MB022] COMPLIANT — all constraints satisfied
MB023,sd15,de,False,0.0,True,,0.0,True,,0.0,True,,0.0,True,short_circuit,False,,0.0,0.0,[MB023] NON-COMPLIANT — Node1: required objects absent (short-circuit triggered); Node2/Node3: skipped — object presence failed upstream
MB023,flux,de,True,1.0,False,True,1.0,False,True,1.0,False,True,1.0,False,,True,True,0.626,0.9626,[MB023] COMPLIANT — all constraints satisfied
MB024,sd15,de,False,0.5,True,,0.0,True,,0.0,True,,0.0,True,short_circuit,False,,0.0,0.15,[MB024] NON-COMPLIANT — Node1: required objects absent (short-circuit triggered); Node2/Node3: skipped — object presence failed upstream
MB024,flux,de,False,0.5,True,,0.0,True,,0.0,True,,0.0,True,short_circuit,True,,0.0,0.15,[MB024] NON-COMPLIANT — Node1: required objects absent (short-circuit triggered); Node2/Node3: skipped — object presence failed upstream
MB025,sd15,de,False,0.0,True,,0.0,True,,0.0,True,,0.0,True,short_circuit,False,,0.0,0.0,[MB025] NON-COMPLIANT — Node1: required objects absent (short-circuit triggered); Node2/Node3: skipped — object presence failed upstream
MB025,flux,de,False,0.5,True,,0.0,True,,0.0,True,,0.0,True,short_circuit,True,,0.0,0.15,[MB025] NON-COMPLIANT — Node1: required objects absent (short-circuit triggered); Node2/Node3: skipped — object presence failed upstream
MB026,sd15,de,False,0.5,True,,0.0,True,,0.0,True,,0.0,True,short_circuit,False,,0.0,0.15,[MB026] NON-COMPLIANT — Node1: required objects absent (short-circuit triggered); Node2/Node3: skipped — object presence failed upstream
MB026,flux,de,True,1.0,False,True,1.0,False,False,0.5,False,True,0.9091,False,,True,True,0.6165,0.8435,[MB026] NON-COMPLIANT — Node3: colour attributes not satisfied
MB027,sd15,de,False,0.0,True,,0.0,True,,0.0,True,,0.0,True,short_circuit,False,,0.0,0.0,[MB027] NON-COMPLIANT — Node1: required objects absent (short-circuit triggered); Node2/Node3: skipped — object presence failed upstream
MB027,flux,de,True,1.0,False,False,0.0,False,True,1.0,False,True,1.0,False,,True,True,0.6203,0.762,[MB027] NON-COMPLIANT — Node2: spatial constraints not satisfied
MB028,sd15,de,False,0.5,True,,0.0,True,,0.0,True,,0.0,True,short_circuit,False,,0.0,0.15,[MB028] NON-COMPLIANT — Node1: required objects absent (short-circuit triggered); Node2/Node3: skipped — object presence failed upstream
MB028,flux,de,False,0.5,True,,0.0,True,,0.0,True,,0.0,True,short_circuit,True,,0.0,0.15,[MB028] NON-COMPLIANT — Node1: required objects absent (short-circuit triggered); Node2/Node3: skipped — object presence failed upstream
MB029,sd15,de,True,1.0,False,True,1.0,False,False,0.5,False,,0.0,True,sd15_architectural,False,True,0.6006,0.6601,[MB029] NON-COMPLIANT — Node3: colour attributes not satisfied; Node4: SD v1.5 architectural limitation — text rendering unreliable (Phase 1C accuracy=0.1667); scored as 0.0 in compliance score; excluded from CLCG heatmap in Phase 2B
MB029,flux,de,False,0.5,True,,0.0,True,,0.0,True,,0.0,True,short_circuit,True,,0.0,0.15,[MB029] NON-COMPLIANT — Node1: required objects absent (short-circuit triggered); Node2/Node3: skipped — object presence failed upstream
MB030,sd15,de,True,1.0,False,True,1.0,False,False,0.0,False,,0.0,True,sd15_architectural,False,True,0.5955,0.5595,[MB030] NON-COMPLIANT — Node3: colour attributes not satisfied; Node4: SD v1.5 architectural limitation — text rendering unreliable (Phase 1C accuracy=0.1667); scored as 0.0 in compliance score; excluded from CLCG heatmap in Phase 2B
MB030,flux,de,True,1.0,False,False,0.0,False,True,1.0,False,False,0.0,False,,True,True,0.6196,0.562,[MB030] NON-COMPLIANT — Node2: spatial constraints not satisfied; Node4: required text not legibly rendered
MB031,sd15,de,False,0.5,True,,0.0,True,,0.0,True,,0.0,True,short_circuit,False,,0.0,0.15,[MB031] NON-COMPLIANT — Node1: required objects absent (short-circuit triggered); Node2/Node3: skipped — object presence failed upstream
MB031,flux,de,False,0.5,True,,0.0,True,,0.0,True,,0.0,True,short_circuit,True,,0.0,0.15,[MB031] NON-COMPLIANT — Node1: required objects absent (short-circuit triggered); Node2/Node3: skipped — object presence failed upstream
MB032,sd15,de,False,0.5,True,,0.0,True,,0.0,True,,0.0,True,short_circuit,False,,0.0,0.15,[MB032] NON-COMPLIANT — Node1: required objects absent (short-circuit triggered); Node2/Node3: skipped — object presence failed upstream
MB032,flux,de,True,1.0,False,True,1.0,False,True,1.0,False,True,1.0,False,,True,True,0.6091,0.9609,[MB032] COMPLIANT — all constraints satisfied
