prompt_id,model,prompt_text,color_pairs,gpt_score,blip_score
CV001,sd15,a blue bench and a green cake,"[('blue', 'bench'), ('green', 'cake')]",0.5,0.5
CV002,sd15,a red orange and a brown sheep,"[('red', 'orange'), ('brown', 'sheep')]",0.0,0.5
CV003,sd15,a brown orange and a red sheep,"[('red', 'sheep'), ('brown', 'orange')]",0.5,0.0
CV005,sd15,a green banana and a brown horse,"[('green', 'banana'), ('brown', 'horse')]",0.0,0.5
CV006,sd15,a blue backpack and a green banana,"[('blue', 'backpack'), ('green', 'banana')]",0.5,0.5
CV007,sd15,a red horse and a brown orange,"[('red', 'horse'), ('brown', 'orange')]",0.5,0.0
CV008,sd15,a blue backpack and a gold clock,"[('blue', 'backpack'), ('gold', 'clock')]",1.0,0.5
CV009,sd15,a brown backpack and a blue sheep,"[('blue', 'sheep'), ('brown', 'backpack')]",0.5,0.5
CV010,sd15,a blue bowl and a red train,"[('red', 'train'), ('blue', 'bowl')]",1.0,1.0
CV011,sd15,a brown giraffe and a red train,"[('red', 'train'), ('brown', 'giraffe')]",0.5,1.0
CV012,sd15,a blue boat and a red suitcase,"[('red', 'suitcase'), ('blue', 'boat')]",1.0,1.0
CV013,sd15,a blue backpack and a red car,"[('red', 'car'), ('blue', 'backpack')]",1.0,1.0
CV014,sd15,a brown banana and a green cow,"[('green', 'cow'), ('brown', 'banana')]",0.0,0.0
CV015,sd15,a brown giraffe and a blue vase,"[('blue', 'vase'), ('brown', 'giraffe')]",1.0,1.0
CV016,sd15,a blue giraffe and a brown vase,"[('blue', 'giraffe'), ('brown', 'vase')]",1.0,0.5
CV017,sd15,a red cow and a brown suitcase,"[('red', 'cow'), ('brown', 'suitcase')]",1.0,0.5
CV018,sd15,a green banana and a brown giraffe,"[('green', 'banana'), ('brown', 'giraffe')]",1.0,1.0
CV019,sd15,a red chair and a brown sheep,"[('red', 'chair'), ('brown', 'sheep')]",0.5,0.5
CV020,sd15,a yellow apple and red bananas,"[('red', 'bananas'), ('yellow', 'apple')]",0.5,0.5
CV021,sd15,a red hat and a black scarf,"[('red', 'hat'), ('black', 'scarf')]",1.0,0.5
CV022,sd15,a yellow grass and a green dandelion,"[('green', 'dandelion'), ('yellow', 'grass')]",0.0,0.0
CV023,sd15,a gray cat and a black mouse,"[('black', 'mouse'), ('gray', 'cat')]",0.5,1.0
CV024,sd15,a yellow tomato and a red pepper,"[('red', 'pepper'), ('yellow', 'tomato')]",0.0,0.5
CV025,sd15,a green jay and a blue parrot,"[('blue', 'parrot'), ('green', 'jay')]",1.0,0.5
CV026,sd15,a black squirrel and a brown nut,"[('brown', 'nut'), ('black', 'squirrel')]",1.0,0.5
CV027,sd15,a black jacket and a brown hat,"[('brown', 'hat'), ('black', 'jacket')]",1.0,0.5
CV028,sd15,Bathroom scene with white background and tan accents.,"[('white', 'background')]",0.0,1.0
CV029,sd15,A white carpet in a bathroom with red fixtures.,"[('red', 'fixtures'), ('white', 'carpet')]",0.5,0.5
CV030,sd15,"Bathroom scene, white commode and matching white sink on light brown tone tiled floor.","[('brown', 'tone'), ('white', 'commode'), ('white', 'sink')]",1.0,1.0
CV001,flux,a blue bench and a green cake,"[('blue', 'bench'), ('green', 'cake')]",1.0,1.0
CV002,flux,a red orange and a brown sheep,"[('red', 'orange'), ('brown', 'sheep')]",0.5,0.0
CV003,flux,a brown orange and a red sheep,"[('red', 'sheep'), ('brown', 'orange')]",0.5,0.5
CV004,flux,a brown banana and a green dog,"[('green', 'dog'), ('brown', 'banana')]",0.5,0.5
CV005,flux,a green banana and a brown horse,"[('green', 'banana'), ('brown', 'horse')]",0.5,0.5
CV006,flux,a blue backpack and a green banana,"[('blue', 'backpack'), ('green', 'banana')]",1.0,0.5
CV007,flux,a red horse and a brown orange,"[('red', 'horse'), ('brown', 'orange')]",0.5,0.5
CV008,flux,a blue backpack and a gold clock,"[('blue', 'backpack'), ('gold', 'clock')]",1.0,1.0
CV009,flux,a brown backpack and a blue sheep,"[('blue', 'sheep'), ('brown', 'backpack')]",0.5,1.0
CV010,flux,a blue bowl and a red train,"[('red', 'train'), ('blue', 'bowl')]",1.0,1.0
