prompt_id,category,dag_node,source,human_score,caption_en,caption_translated,back_translated,cc_score,status,language,cometkiwi_score
DB001,Colors,node3_attribute,DrawBench,,A black colored banana.,Un plátano de color negro.,A black banana.,0.9773,PASS,es,0.8659120798110962
DB002,Colors,node3_attribute,DrawBench,,A blue bird and a brown bear.,Un pájaro azul y un oso pardo.,A blue bird and a brown bear.,1.0,PASS,es,0.8733032941818237
DB003,Colors,node3_attribute,DrawBench,,A red colored car.,Un coche de color rojo.,A red car.,0.9809,PASS,es,0.866796612739563
DB004,Colors,node3_attribute,DrawBench,,A blue cup and a green cell phone.,Una taza azul y un móvil verde.,A blue cup and a green mobile.,0.952,PASS,es,0.879015326499939
DB005,Colors,node3_attribute,DrawBench,,An orange colored sandwich.,Un bocadillo de color naranja.,An orange snack.,0.8974,PASS,es,0.7165442705154419
DB006,Colors,node3_attribute,DrawBench,,A white colored sandwich.,Un bocadillo de color blanco.,A white sandwich.,0.9744,PASS,es,0.7784542441368103
DB007,Colors,node3_attribute,DrawBench,,A yellow colored giraffe.,Una jirafa de color amarillo.,A yellow giraffe.,0.9805,PASS,es,0.8673514723777771
DB008,Colors,node3_attribute,DrawBench,,A black colored car.,Un coche de color negro.,A black car.,0.9791,PASS,es,0.8743309378623962
DB009,Colors,node3_attribute,DrawBench,,A black apple and a green backpack.,Una manzana negra y una mochila verde.,A black apple and a green backpack.,1.0,PASS,es,0.8702856302261353
DB010,Colors,node3_attribute,DrawBench,,A blue colored dog.,Un perro de color azul.,A blue-coloured dog.,0.9835,PASS,es,0.8643454909324646
DB011,Colors,node3_attribute,DrawBench,,A pink colored car.,Un coche de color rosa.,A pink car.,0.9908,PASS,es,0.8738086223602295
DB012,Colors,node3_attribute,DrawBench,,A pink colored giraffe.,Una jirafa de color rosa.,A pink giraffe.,0.9823,PASS,es,0.8715927004814148
DB013,Colors,node3_attribute,DrawBench,,A red car and a white sheep.,Un coche rojo y una oveja blanca.,A red car and a white sheep.,1.0,PASS,es,0.8842077255249023
DB014,Counting,node1_object_presence,DrawBench,,One car on the street.,Un coche en la calle.,A car in the street.,0.9876,PASS,es,0.8307825922966003
DB015,Counting,node1_object_presence,DrawBench,,One dog on the street.,Un perro en la calle.,A dog in the street.,0.9877,PASS,es,0.8625892400741577
DB016,Counting,node1_object_presence,DrawBench,,One cat and two dogs sitting on the grass.,Un gato y dos perros sentados en la hierba.,A cat and two dogs sitting on the grass.,0.985,PASS,es,0.8795126080513
DB017,Counting,node1_object_presence,DrawBench,,Two cars on the street.,Dos coches en la calle.,Two cars in the street.,0.9984,PASS,es,0.8488976359367371
DB018,Counting,node1_object_presence,DrawBench,,Four dogs on the street.,Cuatro perros en la calle.,Four dogs in the street.,0.9985,PASS,es,0.8754414319992065
DB019,Counting,node1_object_presence,DrawBench,,Three cats and one dog sitting on the grass.,Tres gatos y un perro sentados en la hierba.,Three cats and a dog sitting on the grass.,0.9981,PASS,es,0.8824772834777832
DB020,Counting,node1_object_presence,DrawBench,,Four cars on the street.,Cuatro coches en la calle.,Four cars on the street.,1.0,PASS,es,0.8671679496765137
DB021,Counting,node1_object_presence,DrawBench,,Two cats and one dog sitting on the grass.,Dos gatos y un perro sentados en la hierba.,Two cats and a dog sitting on the grass.,0.9965,PASS,es,0.8814549446105957
DB022,Counting,node1_object_presence,DrawBench,,Two cats and three dogs sitting on the grass.,Dos gatos y tres perros sentados en la hierba.,Two cats and three dogs sitting on the grass.,1.0,PASS,es,0.8771652579307556
DB023,Counting,node1_object_presence,DrawBench,,Three cats and two dogs sitting on the grass.,Tres gatos y dos perros sentados en la hierba.,Three cats and two dogs sitting on the grass.,1.0,PASS,es,0.8769692182540894
