prompt_id,category,image_id,caption_en,caption_translated,back_translated,cc_score,status,language
P001,people,235836,A boy playing baseball about to hit a ball.,Ein Junge spielt Baseball und will einen Ball schlagen.,A boy is playing baseball and wants to hit a ball.,0.9484,PASS,de
P002,people,186449,An elderly woman sits on a bench with a crowd behind her.,Eine ältere Frau sitzt auf einer Bank mit einer Menschenmenge hinter ihr.,An elderly woman sits on a bench with a crowd of people behind her.,0.9967,PASS,de
P003,people,17436,A man sitting on a bench with a tall building behind him.,"Ein Mann sitzt auf einer Bank, hinter ihm ein hohes Gebäude.",A man is sitting on a bench with a tall building behind him.,0.9961,PASS,de
P004,people,161781,A woman in gear skiing down a snowy slope,Eine Frau in Ausrüstung fährt einen verschneiten Hang hinunter,A woman in gear rides down a snowy slope,0.9438,PASS,de
P005,people,2473,A man flying through the air while riding skis.,"Ein Mann, der beim Skifahren durch die Luft fliegt.",A man flying through the air while skiing.,0.9939,PASS,de
P006,people,438907,A man is doing a trick on a skateboard.,Ein Mann macht einen Trick auf einem Skateboard.,A man does a trick on a skateboard.,0.9951,PASS,de
P007,people,476415,A man wearing a white shirt and tie standing in  a room.,Ein Mann mit weißem Hemd und Krawatte steht in einem Raum.,A man in a white shirt and tie is standing in a room.,0.984,PASS,de
P008,people,572462,A group of people standing inside of a moving tram.,"Eine Gruppe von Menschen, die in einer fahrenden Straßenbahn stehen.",A group of people standing in a moving tram.,0.9878,PASS,de
P009,people,259690,A handicapped man in a wheelchair is being helped to hold the bat by another man on a tee ball,Ein behinderter Mann im Rollstuhl wird von einem anderen Mann beim Halten des Schlägers auf einem Teeball unterstützt,A disabled man in a wheelchair is helped by another man to hold the bat on a tee ball,0.9894,PASS,de
P010,people,447187,A man is swinging a bat a ball being pitched at him.,"Ein Mann schwingt einen Schläger, während ihm ein Ball zugeworfen wird.",A man swings a bat while a ball is thrown to him.,0.9842,PASS,de
P011,people,308394,An older woman riding a train while sitting under it's window.,Eine ältere Frau fährt in einem Zug und sitzt unter dem Fenster.,An elderly woman is travelling on a train and sits under the window.,0.9748,PASS,de
P012,people,240250,A woman sitting down at a table with pizza.,"Eine Frau, die sich mit einer Pizza an einen Tisch setzt.",A woman sitting down at a table with a pizza.,0.9989,PASS,de
P013,people,554156,A man holding a tennis racket in the air,Ein Mann hält einen Tennisschläger in die Luft,A man holds a tennis racket in the air,0.9978,PASS,de
P014,vehicles,152771,A bike in the middle of an empty parking lot next to trees,Ein Fahrrad in der Mitte eines leeren Parkplatzes neben den Bäumen,A bicycle in the middle of an empty car park next to the trees,0.9778,PASS,de
P015,vehicles,86220,A car and a public transit vehicle on a road.,Ein Auto und ein öffentliches Verkehrsmittel auf einer Straße.,A car and a means of public transport on one road.,0.9612,PASS,de
P016,vehicles,245448,A man standing with his motorcycle outside of a repair shop.,Ein Mann steht mit seinem Motorrad vor einer Reparaturwerkstatt.,A man is standing in front of a repair shop with his motorbike.,0.9846,PASS,de
P017,vehicles,571264,a man is standing next to a motorcycle outside,ein Mann steht draußen neben einem Motorrad,a man stands outside next to a motorbike,0.9802,PASS,de
P018,vehicles,89556,A couple of silver cars parked around a fire hydrant.,Ein paar silberne Autos parken um einen Hydranten herum.,A few silver cars are parked around a fire hydrant.,0.9592,PASS,de
P019,vehicles,269632,A bright yellow transit bus is making it's way down a street in the dark.,Ein leuchtend gelber Linienbus fährt in der Dunkelheit eine Straße entlang.,A bright yellow bus drives along a road in the dark.,0.9484,PASS,de
P020,vehicles,574425,Two old fashioned buses parked on the side of the road.,Zwei altmodische Busse parken am Straßenrand.,Two old-fashioned buses are parked at the side of the road.,0.9805,PASS,de
P021,vehicles,48924,A dirt bike parked near a tent in the woods.,"Ein Geländemotorrad, das in der Nähe eines Zeltes im Wald geparkt ist.",An off-road motorbike parked near a tent in the forest.,0.9074,PASS,de
P022,vehicles,516143,a green and white bus is on the street,ein grün-weißer Bus steht auf der Straße,a green and white bus is parked on the road,0.9706,PASS,de
P023,vehicles,259830,A moped is parked next to bicycles on a sidewalk.,Ein Moped ist neben Fahrrädern auf einem Gehweg geparkt.,A moped is parked next to bicycles on a pavement.,0.9921,PASS,de
P024,vehicles,286507,A long red train traveling through snow covered country side.,"Ein langer roter Zug, der durch eine schneebedeckte Landschaft fährt.",A long red train travelling through a snow-covered landscape.,0.9749,PASS,de
P025,vehicles,134722,Fast commuter train moving past an outdoor platform.,"Schneller Nahverkehrszug, der an einem Außenbahnsteig vorbeifährt.",Fast local train passing an outside platform.,0.9722,PASS,de
P026,vehicles,137727,A motorized cart fills a train with luggage,Ein motorisierter Wagen füllt einen Zug mit Gepäck,A motorised carriage fills a train with luggage,0.964,PASS,de
P027,food,460929,A hot dog with mustard is next to a bottle of soda.,Ein Hot Dog mit Senf steht neben einer Flasche Limonade.,A hot dog with mustard stands next to a bottle of lemonade.,0.9376,PASS,de
P028,food,47112,A dining table has a large pizza and wine glasses.,Ein Esstisch mit einer großen Pizza und Weingläsern.,A dining table with a large pizza and wine glasses.,0.9743,PASS,de
P029,food,99053,"A bowl of noodles, meat and broccoli with a fork.","Eine Schüssel mit Nudeln, Fleisch und Brokkoli mit einer Gabel.","A bowl of pasta, meat and broccoli with a fork.",0.96,PASS,de
P030,food,91406,Several women gathered together posing with 6 pizzas in take out boxes.,Mehrere Frauen haben sich versammelt und posieren mit 6 Pizzen in Boxen zum Mitnehmen.,Several women have gathered and are posing with 6 pizzas in takeaway boxes.,0.9785,PASS,de
P031,food,108253,A plate of cheese bread next to bread sticks and wine.,"Ein Teller mit Käsebrot, daneben Brotstangen und Wein.","A plate with cheese bread, breadsticks and wine next to it.",0.965,PASS,de
P032,food,371472,A pile of pineapple sitting next to a pile of bananas.,Ein Stapel Ananas liegt neben einem Stapel Bananen.,A pile of pineapples lies next to a pile of bananas.,0.9877,PASS,de
P033,food,66706,A plate topped with banana slice covered pan cakes.,"Ein Teller mit Bananenscheiben, die mit Pfannkuchen belegt sind.",A plate of banana slices topped with pancakes.,0.9455,PASS,de
P034,food,348708,The banana is laying next to an almost empty bowl.,Die Banane liegt neben einer fast leeren Schüssel.,The banana is lying next to an almost empty bowl.,0.998,PASS,de
P035,food,323151,A pizza sitting on top of a white plate next to a glass of beer.,Eine Pizza liegt auf einem weißen Teller neben einem Glas Bier.,A pizza lies on a white plate next to a glass of beer.,0.9808,PASS,de
P036,food,286908,Various dishes of food sit in bowls on a table.,Auf einem Tisch stehen verschiedene Gerichte in Schüsseln.,Various dishes are placed in bowls on a table.,0.9796,PASS,de
P037,food,112378,A wooden table topped with a bunch of green bananas.,"Ein Holztisch, auf dem ein Bündel grüner Bananen liegt.",A wooden table with a bunch of green bananas on it.,0.993,PASS,de
P038,food,75456,A pizza with Canadian bacon and pineapple in a fluted pan.,Eine Pizza mit kanadischem Speck und Ananas in einer geriffelten Pfanne.,A pizza with Canadian bacon and pineapple in a ribbed pan.,0.9925,PASS,de
P039,animals,193162,a man on a three wheeler following behind a two dogs and a cow,"ein Mann auf einem Dreirad, der zwei Hunden und einer Kuh hinterherfährt",a man on a tricycle chasing two dogs and a cow,0.9569,PASS,de
P040,animals,90062,A black and white cow stands in a paddock with firewood in the background.,Eine schwarz-weiße Kuh steht auf einer Koppel mit Brennholz im Hintergrund.,A black and white cow stands in a paddock with firewood in the background.,1.0,PASS,de
P041,animals,155571,An elephant walking across a green grass covered field.,"Ein Elefant, der über ein grünes, grasbewachsenes Feld läuft.","An elephant running across a green, grassy field.",0.9714,PASS,de
P042,animals,357060,A bird is trying to find food in the water.,"Ein Vogel versucht, im Wasser nach Nahrung zu suchen.",A bird tries to search for food in the water.,0.9912,PASS,de
P043,animals,345261,Two giraffe standing on to of a dry grass covered field.,Zwei Giraffen stehen auf einem mit trockenem Gras bewachsenen Feld.,Two giraffes are standing in a field overgrown with dry grass.,0.9751,PASS,de
P044,animals,347664,A herd of cattle walking across a sandy beach near the ocean.,"Eine Rinderherde, die über einen Sandstrand in Meeresnähe läuft.",A herd of cattle running across a sandy beach near the sea.,0.9862,PASS,de
P045,animals,222235,A cat is playing with a plan in a park.,Eine Katze spielt mit einem Plan in einem Park.,A cat plays with a plan in a park.,0.9972,PASS,de
P046,animals,180011,"Four young giraffes in a zoo, with one of them being fed leaves by a person","Vier junge Giraffen in einem Zoo, wobei eine von ihnen von einem Menschen mit Blättern gefüttert wird","Four young giraffes in a zoo, one of them being fed leaves by a human",0.9915,PASS,de
P047,animals,512648,A brown cow under a tree in a grassy area.,Eine braune Kuh unter einem Baum auf einer Wiese.,A brown cow under a tree in a meadow.,0.9749,PASS,de
P048,animals,547383,Two adult sheep lay on the green grass.,Zwei erwachsene Schafe lagen auf dem grünen Gras.,Two adult sheep were lying on the green grass.,0.9752,PASS,de
P049,animals,357081,A photograph of two cows grazing on a green pasture.,Ein Foto von zwei grasenden Kühen auf einer grünen Weide.,A photo of two grazing cows in a green pasture.,0.9925,PASS,de
P050,animals,1675,A cat resting on an open laptop computer.,"Eine Katze, die sich auf einem offenen Laptop ausruht.",A cat resting on an open laptop.,0.9769,PASS,de
